human_team,human_off,human_def,bot_team,bot_off,bot_def
Black,nuke,heal,Black,nuke,heal
Black,nuke,heal,Black,nuke,reinforcements
Black,nuke,heal,Black,nuke,speed
Black,nuke,heal,Black,nuke,wall
Black,nuke,heal,Black,firebomb,heal
Black,nuke,heal,Black,firebomb,reinforcements
Black,nuke,heal,Black,firebomb,speed
Black,nuke,heal,Black,firebomb,wall
Black,nuke,heal,Black,snipe,heal
Black,nuke,heal,Black,snipe,reinforcements
Black,nuke,heal,Black,snipe,speed
Black,nuke,heal,Black,snipe,wall
Black,nuke,heal,Black,freeze,heal
Black,nuke,heal,Black,freeze,reinforcements
Black,nuke,heal,Black,freeze,speed
Black,nuke,heal,Black,freeze,wall
Black,nuke,heal,Blue,nuke,heal
Black,nuke,heal,Blue,nuke,reinforcements
Black,nuke,heal,Blue,nuke,speed
Black,nuke,heal,Blue,nuke,wall
Black,nuke,heal,Blue,firebomb,heal
Black,nuke,heal,Blue,firebomb,reinforcements
Black,nuke,heal,Blue,firebomb,speed
Black,nuke,heal,Blue,firebomb,wall
Black,nuke,heal,Blue,snipe,heal
Black,nuke,heal,Blue,snipe,reinforcements
Black,nuke,heal,Blue,snipe,speed
Black,nuke,heal,Blue,snipe,wall
Black,nuke,heal,Blue,freeze,heal
Black,nuke,heal,Blue,freeze,reinforcements
Black,nuke,heal,Blue,freeze,speed
Black,nuke,heal,Blue,freeze,wall
Black,nuke,heal,Green,nuke,heal
Black,nuke,heal,Green,nuke,reinforcements
Black,nuke,heal,Green,nuke,speed
Black,nuke,heal,Green,nuke,wall
Black,nuke,heal,Green,firebomb,heal
Black,nuke,heal,Green,firebomb,reinforcements
Black,nuke,heal,Green,firebomb,speed
Black,nuke,heal,Green,firebomb,wall
Black,nuke,heal,Green,snipe,heal
Black,nuke,heal,Green,snipe,reinforcements
Black,nuke,heal,Green,snipe,speed
Black,nuke,heal,Green,snipe,wall
Black,nuke,heal,Green,freeze,heal
Black,nuke,heal,Green,freeze,reinforcements
Black,nuke,heal,Green,freeze,speed
Black,nuke,heal,Green,freeze,wall
Black,nuke,heal,Orange,nuke,heal
Black,nuke,heal,Orange,nuke,reinforcements
Black,nuke,heal,Orange,nuke,speed
Black,nuke,heal,Orange,nuke,wall
Black,nuke,heal,Orange,firebomb,heal
Black,nuke,heal,Orange,firebomb,reinforcements
Black,nuke,heal,Orange,firebomb,speed
Black,nuke,heal,Orange,firebomb,wall
Black,nuke,heal,Orange,snipe,heal
Black,nuke,heal,Orange,snipe,reinforcements
Black,nuke,heal,Orange,snipe,speed
Black,nuke,heal,Orange,snipe,wall
Black,nuke,heal,Orange,freeze,heal
Black,nuke,heal,Orange,freeze,reinforcements
Black,nuke,heal,Orange,freeze,speed
Black,nuke,heal,Orange,freeze,wall
Black,nuke,heal,Purple,nuke,heal
Black,nuke,heal,Purple,nuke,reinforcements
Black,nuke,heal,Purple,nuke,speed
Black,nuke,heal,Purple,nuke,wall
Black,nuke,heal,Purple,firebomb,heal
Black,nuke,heal,Purple,firebomb,reinforcements
Black,nuke,heal,Purple,firebomb,speed
Black,nuke,heal,Purple,firebomb,wall
Black,nuke,heal,Purple,snipe,heal
Black,nuke,heal,Purple,snipe,reinforcements
Black,nuke,heal,Purple,snipe,speed
Black,nuke,heal,Purple,snipe,wall
Black,nuke,heal,Purple,freeze,heal
Black,nuke,heal,Purple,freeze,reinforcements
Black,nuke,heal,Purple,freeze,speed
Black,nuke,heal,Purple,freeze,wall
Black,nuke,heal,Red,nuke,heal
Black,nuke,heal,Red,nuke,reinforcements
Black,nuke,heal,Red,nuke,speed
Black,nuke,heal,Red,nuke,wall
Black,nuke,heal,Red,firebomb,heal
Black,nuke,heal,Red,firebomb,reinforcements
Black,nuke,heal,Red,firebomb,speed
Black,nuke,heal,Red,firebomb,wall
Black,nuke,heal,Red,snipe,heal
Black,nuke,heal,Red,snipe,reinforcements
Black,nuke,heal,Red,snipe,speed
Black,nuke,heal,Red,snipe,wall
Black,nuke,heal,Red,freeze,heal
Black,nuke,heal,Red,freeze,reinforcements
Black,nuke,heal,Red,freeze,speed
Black,nuke,heal,Red,freeze,wall
Black,nuke,heal,White,nuke,heal
Black,nuke,heal,White,nuke,reinforcements
Black,nuke,heal,White,nuke,speed
Black,nuke,heal,White,nuke,wall
Black,nuke,heal,White,firebomb,heal
Black,nuke,heal,White,firebomb,reinforcements
Black,nuke,heal,White,firebomb,speed
Black,nuke,heal,White,firebomb,wall
Black,nuke,heal,White,snipe,heal
Black,nuke,heal,White,snipe,reinforcements
Black,nuke,heal,White,snipe,speed
Black,nuke,heal,White,snipe,wall
Black,nuke,heal,White,freeze,heal
Black,nuke,heal,White,freeze,reinforcements
Black,nuke,heal,White,freeze,speed
Black,nuke,heal,White,freeze,wall
Black,nuke,heal,Yellow,nuke,heal
Black,nuke,heal,Yellow,nuke,reinforcements
Black,nuke,heal,Yellow,nuke,speed
Black,nuke,heal,Yellow,nuke,wall
Black,nuke,heal,Yellow,firebomb,heal
Black,nuke,heal,Yellow,firebomb,reinforcements
Black,nuke,heal,Yellow,firebomb,speed
Black,nuke,heal,Yellow,firebomb,wall
Black,nuke,heal,Yellow,snipe,heal
Black,nuke,heal,Yellow,snipe,reinforcements
Black,nuke,heal,Yellow,snipe,speed
Black,nuke,heal,Yellow,snipe,wall
Black,nuke,heal,Yellow,freeze,heal
Black,nuke,heal,Yellow,freeze,reinforcements
Black,nuke,heal,Yellow,freeze,speed
Black,nuke,heal,Yellow,freeze,wall
Black,nuke,reinforcements,Black,nuke,heal
Black,nuke,reinforcements,Black,nuke,reinforcements
Black,nuke,reinforcements,Black,nuke,speed
Black,nuke,reinforcements,Black,nuke,wall
Black,nuke,reinforcements,Black,firebomb,heal
Black,nuke,reinforcements,Black,firebomb,reinforcements
Black,nuke,reinforcements,Black,firebomb,speed
Black,nuke,reinforcements,Black,firebomb,wall
Black,nuke,reinforcements,Black,snipe,heal
Black,nuke,reinforcements,Black,snipe,reinforcements
Black,nuke,reinforcements,Black,snipe,speed
Black,nuke,reinforcements,Black,snipe,wall
Black,nuke,reinforcements,Black,freeze,heal
Black,nuke,reinforcements,Black,freeze,reinforcements
Black,nuke,reinforcements,Black,freeze,speed
Black,nuke,reinforcements,Black,freeze,wall
Black,nuke,reinforcements,Blue,nuke,heal
Black,nuke,reinforcements,Blue,nuke,reinforcements
Black,nuke,reinforcements,Blue,nuke,speed
Black,nuke,reinforcements,Blue,nuke,wall
Black,nuke,reinforcements,Blue,firebomb,heal
Black,nuke,reinforcements,Blue,firebomb,reinforcements
Black,nuke,reinforcements,Blue,firebomb,speed
Black,nuke,reinforcements,Blue,firebomb,wall
Black,nuke,reinforcements,Blue,snipe,heal
Black,nuke,reinforcements,Blue,snipe,reinforcements
Black,nuke,reinforcements,Blue,snipe,speed
Black,nuke,reinforcements,Blue,snipe,wall
Black,nuke,reinforcements,Blue,freeze,heal
Black,nuke,reinforcements,Blue,freeze,reinforcements
Black,nuke,reinforcements,Blue,freeze,speed
Black,nuke,reinforcements,Blue,freeze,wall
Black,nuke,reinforcements,Green,nuke,heal
Black,nuke,reinforcements,Green,nuke,reinforcements
Black,nuke,reinforcements,Green,nuke,speed
Black,nuke,reinforcements,Green,nuke,wall
Black,nuke,reinforcements,Green,firebomb,heal
Black,nuke,reinforcements,Green,firebomb,reinforcements
Black,nuke,reinforcements,Green,firebomb,speed
Black,nuke,reinforcements,Green,firebomb,wall
Black,nuke,reinforcements,Green,snipe,heal
Black,nuke,reinforcements,Green,snipe,reinforcements
Black,nuke,reinforcements,Green,snipe,speed
Black,nuke,reinforcements,Green,snipe,wall
Black,nuke,reinforcements,Green,freeze,heal
Black,nuke,reinforcements,Green,freeze,reinforcements
Black,nuke,reinforcements,Green,freeze,speed
Black,nuke,reinforcements,Green,freeze,wall
Black,nuke,reinforcements,Orange,nuke,heal
Black,nuke,reinforcements,Orange,nuke,reinforcements
Black,nuke,reinforcements,Orange,nuke,speed
Black,nuke,reinforcements,Orange,nuke,wall
Black,nuke,reinforcements,Orange,firebomb,heal
