human_team,human_off,human_def,bot_team,bot_off,bot_def
Orange,nuke,wall,White,freeze,wall
Orange,nuke,wall,White,firebomb,wall
Orange,nuke,wall,White,firebomb,speed
Orange,nuke,wall,Yellow,nuke,wall
Orange,nuke,wall,Yellow,nuke,reinforcements
Orange,nuke,wall,Blue,nuke,wall
Orange,firebomb,heal,White,nuke,wall
Orange,firebomb,heal,White,nuke,reinforcements
Orange,firebomb,heal,White,freeze,wall
Orange,firebomb,heal,White,firebomb,heal
Orange,firebomb,heal,White,freeze,reinforcements
Orange,firebomb,heal,White,freeze,speed
Orange,firebomb,heal,White,firebomb,reinforcements
Orange,firebomb,heal,Black,nuke,heal
Orange,firebomb,reinforcements,White,nuke,wall
Orange,firebomb,reinforcements,White,nuke,reinforcements
Orange,firebomb,reinforcements,White,freeze,heal
Orange,firebomb,reinforcements,White,freeze,wall
Orange,firebomb,reinforcements,White,nuke,heal
Orange,firebomb,reinforcements,White,firebomb,heal
Orange,firebomb,reinforcements,White,firebomb,wall
Orange,firebomb,reinforcements,White,freeze,reinforcements
Orange,firebomb,speed,White,nuke,wall
Orange,firebomb,speed,White,nuke,reinforcements
Orange,firebomb,speed,White,freeze,heal
Orange,firebomb,speed,White,freeze,wall
Orange,firebomb,speed,White,nuke,heal
Orange,firebomb,speed,White,firebomb,heal
Orange,firebomb,speed,White,firebomb,wall
Orange,firebomb,speed,White,freeze,reinforcements
Orange,firebomb,wall,White,nuke,wall
Orange,firebomb,wall,White,nuke,reinforcements
Orange,firebomb,wall,White,freeze,heal
Orange,firebomb,wall,White,freeze,wall
Orange,firebomb,wall,White,nuke,heal
Orange,firebomb,wall,White,firebomb,heal
Orange,firebomb,wall,White,firebomb,wall
Orange,firebomb,wall,White,freeze,reinforcements
Orange,snipe,heal,White,nuke,wall
Orange,snipe,heal,White,nuke,reinforcements
Orange,snipe,heal,White,freeze,heal
Orange,snipe,heal,White,freeze,wall
Orange,snipe,heal,White,firebomb,heal
Orange,snipe,heal,White,firebomb,wall
Orange,snipe,heal,White,freeze,reinforcements
Orange,snipe,heal,White,freeze,speed
Orange,snipe,reinforcements,White,nuke,wall
Orange,snipe,reinforcements,White,nuke,reinforcements
Orange,snipe,reinforcements,White,freeze,heal
Orange,snipe,reinforcements,White,freeze,wall
Orange,snipe,reinforcements,White,nuke,heal
Orange,snipe,reinforcements,White,firebomb,heal
Orange,snipe,reinforcements,White,firebomb,wall
Orange,snipe,reinforcements,White,freeze,reinforcements
Orange,snipe,speed,White,nuke,wall
Orange,snipe,speed,White,nuke,reinforcements
Orange,snipe,speed,White,freeze,heal
Orange,snipe,speed,White,freeze,wall
Orange,snipe,speed,White,nuke,heal
Orange,snipe,speed,White,firebomb,heal
Orange,snipe,speed,White,firebomb,wall
Orange,snipe,speed,White,freeze,reinforcements
Orange,snipe,wall,White,nuke,wall
Orange,snipe,wall,White,nuke,reinforcements
Orange,snipe,wall,White,freeze,heal
Orange,snipe,wall,White,freeze,wall
Orange,snipe,wall,White,nuke,heal
Orange,snipe,wall,White,firebomb,heal
Orange,snipe,wall,White,firebomb,wall
Orange,snipe,wall,White,freeze,reinforcements
Orange,freeze,heal,White,nuke,wall
Orange,freeze,heal,White,nuke,reinforcements
Orange,freeze,heal,White,freeze,wall
Orange,freeze,heal,White,firebomb,heal
Orange,freeze,heal,White,firebomb,wall
Orange,freeze,heal,White,freeze,reinforcements
Orange,freeze,heal,White,firebomb,reinforcements
Orange,freeze,heal,White,snipe,reinforcements
Orange,freeze,reinforcements,White,nuke,wall
Orange,freeze,reinforcements,White,nuke,reinforcements
Orange,freeze,reinforcements,White,freeze,wall
Orange,freeze,reinforcements,White,nuke,heal
Orange,freeze,reinforcements,White,firebomb,heal
Orange,freeze,reinforcements,White,firebomb,wall
Orange,freeze,reinforcements,White,freeze,reinforcements
Orange,freeze,reinforcements,White,firebomb,reinforcements
Orange,freeze,speed,White,nuke,reinforcements
Orange,freeze,speed,White,freeze,heal
Orange,freeze,speed,White,freeze,wall
Orange,freeze,speed,White,nuke,heal
Orange,freeze,speed,White,firebomb,heal
Orange,freeze,speed,White,firebomb,wall
Orange,freeze,speed,White,freeze,reinforcements
Orange,freeze,speed,White,freeze,speed
Orange,freeze,wall,White,nuke,wall
Orange,freeze,wall,White,nuke,reinforcements
Orange,freeze,wall,White,freeze,wall
Orange,freeze,wall,White,firebomb,heal
Orange,freeze,wall,White,firebomb,wall
Orange,freeze,wall,White,freeze,reinforcements
Orange,freeze,wall,White,firebomb,reinforcements
Orange,freeze,wall,Black,nuke,heal
Purple,nuke,heal,White,nuke,wall
Purple,nuke,heal,White,nuke,reinforcements
Purple,nuke,heal,White,freeze,heal
Purple,nuke,heal,White,nuke,heal
Purple,nuke,heal,White,firebomb,wall
Purple,nuke,heal,Black,nuke,heal
Purple,nuke,heal,Blue,nuke,heal
Purple,nuke,heal,Black,nuke,wall
Purple,nuke,reinforcements,White,nuke,wall
Purple,nuke,reinforcements,White,nuke,reinforcements
Purple,nuke,reinforcements,White,freeze,heal
Purple,nuke,reinforcements,White,freeze,wall
Purple,nuke,reinforcements,White,nuke,heal
Purple,nuke,reinforcements,White,firebomb,heal
Purple,nuke,reinforcements,White,firebomb,wall
Purple,nuke,reinforcements,White,freeze,reinforcements
Purple,nuke,speed,White,nuke,wall
Purple,nuke,speed,White,nuke,reinforcements
Purple,nuke,speed,White,freeze,heal
Purple,nuke,speed,White,freeze,wall
Purple,nuke,speed,White,nuke,heal
Purple,nuke,speed,White,firebomb,heal
Purple,nuke,speed,White,firebomb,wall
Purple,nuke,speed,White,freeze,speed
Purple,nuke,wall,White,nuke,wall
Purple,nuke,wall,White,nuke,reinforcements
Purple,nuke,wall,White,freeze,wall
Purple,nuke,wall,White,nuke,heal
Purple,nuke,wall,White,firebomb,heal
Purple,nuke,wall,White,firebomb,wall
Purple,nuke,wall,White,freeze,reinforcements
Purple,nuke,wall,White,freeze,speed
Purple,firebomb,heal,White,nuke,wall
Purple,firebomb,heal,White,nuke,reinforcements
Purple,firebomb,heal,White,freeze,heal
Purple,firebomb,heal,White,freeze,wall
Purple,firebomb,heal,White,nuke,heal
Purple,firebomb,heal,White,firebomb,heal
Purple,firebomb,heal,White,firebomb,wall
Purple,firebomb,heal,White,freeze,reinforcements
Purple,firebomb,reinforcements,White,nuke,wall
Purple,firebomb,reinforcements,White,nuke,reinforcements
Purple,firebomb,reinforcements,White,freeze,heal
Purple,firebomb,reinforcements,White,freeze,wall
Purple,firebomb,reinforcements,White,nuke,heal
Purple,firebomb,reinforcements,White,firebomb,heal
Purple,firebomb,reinforcements,White,firebomb,wall
Purple,firebomb,reinforcements,White,freeze,reinforcements
Purple,firebomb,speed,White,nuke,wall
Purple,firebomb,speed,White,nuke,reinforcements
Purple,firebomb,speed,White,freeze,heal
Purple,firebomb,speed,White,freeze,wall
Purple,firebomb,speed,White,nuke,heal
Purple,firebomb,speed,White,firebomb,heal
Purple,firebomb,speed,White,firebomb,wall
Purple,firebomb,speed,White,freeze,reinforcements
Purple,firebomb,wall,White,nuke,wall
Purple,firebomb,wall,White,nuke,reinforcements
Purple,firebomb,wall,White,freeze,heal
Purple,firebomb,wall,White,freeze,wall
Purple,firebomb,wall,White,nuke,heal
Purple,firebomb,wall,White,firebomb,heal
Purple,firebomb,wall,White,firebomb,wall
Purple,firebomb,wall,White,freeze,reinforcements
Purple,snipe,heal,White,nuke,wall
Purple,snipe,heal,White,nuke,reinforcements
Purple,snipe,heal,White,freeze,heal
Purple,snipe,heal,White,freeze,wall
Purple,snipe,heal,White,nuke,heal
Purple,snipe,heal,White,firebomb,heal
Purple,snipe,heal,White,firebomb,wall
Purple,snipe,heal,White,freeze,reinforcements
Purple,snipe,reinforcements,White,nuke,wall
Purple,snipe,reinforcements,White,nuke,reinforcements
Purple,snipe,reinforcements,White,freeze,heal
Purple,snipe,reinforcements,White,freeze,wall
Purple,snipe,reinforcements,White,nuke,heal
Purple,snipe,reinforcements,White,firebomb,heal
Purple,snipe,reinforcements,White,firebomb,wall
Purple,snipe,reinforcements,White,freeze,reinforcements
Purple,snipe,speed,White,nuke,wall
Purple,snipe,speed,White,nuke,reinforcements
Purple,snipe,speed,White,freeze,heal
Purple,snipe,speed,White,freeze,wall
Purple,snipe,speed,White,nuke,heal
Purple,snipe,speed,White,firebomb,heal
Purple,snipe,speed,White,firebomb,wall
