human_team,human_off,human_def,bot_team,bot_off,bot_def,games,bot_decisive_wins,bot_timeout_wins,draws,bot_timeout_losses,bot_decisive_losses,avg_ticks
Purple,freeze,heal,White,freeze,reinforcements,200,200,0,0,0,0,5275
Purple,freeze,reinforcements,White,nuke,wall,200,200,0,0,0,0,7960
Purple,freeze,reinforcements,White,nuke,reinforcements,200,200,0,0,0,0,5073
Purple,freeze,reinforcements,White,freeze,heal,200,200,0,0,0,0,8327
Purple,freeze,reinforcements,White,freeze,wall,200,200,0,0,0,0,6977
Purple,freeze,reinforcements,White,nuke,heal,200,200,0,0,0,0,5814
Purple,freeze,reinforcements,White,firebomb,heal,200,200,0,0,0,0,5086
Purple,freeze,reinforcements,White,firebomb,wall,200,200,0,0,0,0,6832
Purple,freeze,reinforcements,White,freeze,reinforcements,200,200,0,0,0,0,5057
Purple,freeze,speed,White,nuke,wall,200,200,0,0,0,0,7775
Purple,freeze,speed,White,nuke,reinforcements,200,200,0,0,0,0,4353
Purple,freeze,speed,White,freeze,heal,200,200,0,0,0,0,7657
Purple,freeze,speed,White,freeze,wall,200,200,0,0,0,0,7577
Purple,freeze,speed,White,nuke,heal,200,200,0,0,0,0,7749
Purple,freeze,speed,White,firebomb,heal,200,200,0,0,0,0,7667
Purple,freeze,speed,White,firebomb,wall,200,200,0,0,0,0,7548
Purple,freeze,speed,White,freeze,reinforcements,200,200,0,0,0,0,4704
Purple,freeze,wall,White,nuke,wall,200,200,0,0,0,0,7797
Purple,freeze,wall,White,nuke,reinforcements,200,200,0,0,0,0,4738
Purple,freeze,wall,White,freeze,heal,200,200,0,0,0,0,8043
Purple,freeze,wall,White,freeze,wall,200,200,0,0,0,0,7679
Purple,freeze,wall,White,nuke,heal,200,200,0,0,0,0,7696
Purple,freeze,wall,White,firebomb,heal,200,200,0,0,0,0,7798
Purple,freeze,wall,White,firebomb,wall,200,200,0,0,0,0,7765
Purple,freeze,wall,White,freeze,reinforcements,200,200,0,0,0,0,5280
Red,nuke,heal,White,nuke,wall,200,200,0,0,0,0,8284
Red,nuke,heal,White,nuke,reinforcements,200,200,0,0,0,0,5262
Red,nuke,heal,White,freeze,heal,200,200,0,0,0,0,6594
Red,nuke,heal,White,freeze,wall,200,200,0,0,0,0,7014
Red,nuke,heal,White,nuke,heal,200,200,0,0,0,0,6973
Red,nuke,heal,White,firebomb,heal,200,200,0,0,0,0,7753
Red,nuke,heal,White,firebomb,wall,200,200,0,0,0,0,6952
Red,nuke,heal,White,freeze,speed,200,200,0,0,0,0,5160
Red,nuke,reinforcements,White,nuke,wall,200,200,0,0,0,0,7047
Red,nuke,reinforcements,White,nuke,reinforcements,200,200,0,0,0,0,5113
Red,nuke,reinforcements,White,freeze,heal,200,200,0,0,0,0,5902
Red,nuke,reinforcements,White,nuke,heal,200,200,0,0,0,0,6632
Red,nuke,reinforcements,White,firebomb,heal,200,200,0,0,0,0,6643
Red,nuke,reinforcements,White,firebomb,wall,200,200,0,0,0,0,6034
Red,nuke,reinforcements,White,freeze,reinforcements,200,200,0,0,0,0,5228
Red,nuke,reinforcements,White,freeze,speed,200,200,0,0,0,0,6076
Red,nuke,speed,White,nuke,wall,200,200,0,0,0,0,6308
Red,nuke,speed,White,freeze,heal,200,200,0,0,0,0,7580
Red,nuke,speed,White,freeze,wall,200,200,0,0,0,0,6993
Red,nuke,speed,White,nuke,heal,200,200,0,0,0,0,6425
Red,nuke,speed,White,firebomb,heal,200,200,0,0,0,0,6693
Red,nuke,speed,White,firebomb,wall,200,200,0,0,0,0,7580
Red,nuke,speed,White,freeze,speed,200,200,0,0,0,0,8088
Red,nuke,speed,Black,nuke,heal,200,200,0,0,0,0,7459
Red,nuke,wall,White,nuke,wall,200,200,0,0,0,0,4934
Red,nuke,wall,White,nuke,reinforcements,200,200,0,0,0,0,5213
Red,nuke,wall,White,freeze,heal,200,200,0,0,0,0,5293
Red,nuke,wall,White,freeze,wall,200,200,0,0,0,0,5515
Red,nuke,wall,White,nuke,heal,200,200,0,0,0,0,6940
Red,nuke,wall,White,firebomb,heal,200,200,0,0,0,0,8251
Red,nuke,wall,White,firebomb,wall,200,200,0,0,0,0,8598
Red,nuke,wall,White,freeze,speed,200,200,0,0,0,0,5128
Red,firebomb,heal,White,nuke,wall,200,200,0,0,0,0,4729
