human_team,human_off,human_def,bot_team,bot_off,bot_def
Black,nuke,heal,White,nuke,wall
Black,nuke,heal,White,freeze,heal
Black,nuke,heal,White,nuke,heal
Black,nuke,heal,White,firebomb,heal
Black,nuke,heal,White,freeze,speed
Black,nuke,heal,Black,nuke,heal
Black,nuke,heal,Blue,nuke,heal
Black,nuke,heal,Black,nuke,wall
Black,nuke,reinforcements,White,nuke,wall
Black,nuke,reinforcements,White,nuke,reinforcements
Black,nuke,reinforcements,White,freeze,heal
Black,nuke,reinforcements,White,freeze,wall
Black,nuke,reinforcements,White,nuke,heal
Black,nuke,reinforcements,White,firebomb,heal
Black,nuke,reinforcements,White,freeze,reinforcements
Black,nuke,reinforcements,White,freeze,speed
Black,nuke,speed,White,nuke,wall
Black,nuke,speed,White,nuke,heal
Black,nuke,speed,White,firebomb,heal
Black,nuke,speed,White,freeze,speed
Black,nuke,speed,Black,nuke,heal
Black,nuke,speed,Blue,nuke,heal
Black,nuke,speed,White,firebomb,speed
Black,nuke,speed,Black,nuke,wall
Black,nuke,wall,White,nuke,wall
Black,nuke,wall,White,nuke,reinforcements
Black,nuke,wall,White,freeze,heal
Black,nuke,wall,White,nuke,heal
Black,nuke,wall,White,firebomb,heal
Black,nuke,wall,White,firebomb,wall
Black,nuke,wall,White,freeze,speed
Black,nuke,wall,White,firebomb,reinforcements
Black,firebomb,heal,White,nuke,wall
Black,firebomb,heal,White,nuke,reinforcements
Black,firebomb,heal,White,freeze,heal
Black,firebomb,heal,White,freeze,wall
Black,firebomb,heal,White,nuke,heal
Black,firebomb,heal,White,firebomb,heal
Black,firebomb,heal,White,firebomb,wall
Black,firebomb,heal,White,freeze,reinforcements
Black,firebomb,reinforcements,White,nuke,wall
Black,firebomb,reinforcements,White,nuke,reinforcements
Black,firebomb,reinforcements,White,freeze,heal
Black,firebomb,reinforcements,White,freeze,wall
Black,firebomb,reinforcements,White,nuke,heal
Black,firebomb,reinforcements,White,firebomb,heal
Black,firebomb,reinforcements,White,firebomb,wall
Black,firebomb,reinforcements,White,freeze,reinforcements
Black,firebomb,speed,White,nuke,wall
Black,firebomb,speed,White,nuke,reinforcements
Black,firebomb,speed,White,freeze,heal
Black,firebomb,speed,White,firebomb,heal
Black,firebomb,speed,White,freeze,reinforcements
Black,firebomb,speed,White,freeze,speed
Black,firebomb,speed,White,firebomb,reinforcements
Black,firebomb,speed,Blue,nuke,heal
Black,firebomb,wall,White,nuke,reinforcements
Black,firebomb,wall,White,freeze,heal
Black,firebomb,wall,White,freeze,wall
Black,firebomb,wall,White,nuke,heal
Black,firebomb,wall,White,firebomb,heal
Black,firebomb,wall,White,firebomb,wall
Black,firebomb,wall,White,freeze,reinforcements
Black,firebomb,wall,White,freeze,speed
Black,snipe,heal,White,nuke,wall
Black,snipe,heal,White,nuke,reinforcements
Black,snipe,heal,White,freeze,heal
Black,snipe,heal,White,nuke,heal
Black,snipe,heal,White,firebomb,heal
Black,snipe,heal,White,firebomb,wall
Black,snipe,heal,White,freeze,reinforcements
Black,snipe,heal,White,freeze,speed
Black,snipe,reinforcements,White,nuke,wall
Black,snipe,reinforcements,White,nuke,reinforcements
Black,snipe,reinforcements,White,freeze,heal
Black,snipe,reinforcements,White,freeze,wall
Black,snipe,reinforcements,White,nuke,heal
Black,snipe,reinforcements,White,firebomb,heal
Black,snipe,reinforcements,White,firebomb,wall
Black,snipe,reinforcements,White,freeze,reinforcements
Black,snipe,speed,White,nuke,wall
Black,snipe,speed,White,nuke,reinforcements
Black,snipe,speed,White,freeze,heal
Black,snipe,speed,White,freeze,wall
Black,snipe,speed,White,nuke,heal
Black,snipe,speed,White,firebomb,heal
Black,snipe,speed,White,firebomb,wall
Black,snipe,speed,White,freeze,reinforcements
Black,snipe,wall,White,nuke,wall
Black,snipe,wall,White,nuke,reinforcements
Black,snipe,wall,White,freeze,heal
Black,snipe,wall,White,freeze,wall
Black,snipe,wall,White,nuke,heal
Black,snipe,wall,White,firebomb,heal
Black,snipe,wall,White,firebomb,wall
Black,snipe,wall,White,freeze,reinforcements
Black,freeze,heal,White,nuke,wall
Black,freeze,heal,White,nuke,reinforcements
Black,freeze,heal,White,freeze,heal
Black,freeze,heal,White,freeze,wall
Black,freeze,heal,White,firebomb,heal
Black,freeze,heal,White,firebomb,wall
Black,freeze,heal,White,freeze,reinforcements
Black,freeze,heal,White,firebomb,reinforcements
Black,freeze,reinforcements,White,nuke,wall
Black,freeze,reinforcements,White,nuke,reinforcements
Black,freeze,reinforcements,White,nuke,heal
Black,freeze,reinforcements,White,firebomb,heal
Black,freeze,reinforcements,White,firebomb,wall
Black,freeze,reinforcements,White,freeze,reinforcements
Black,freeze,reinforcements,White,freeze,speed
Black,freeze,reinforcements,White,firebomb,reinforcements
Black,freeze,speed,White,nuke,wall
Black,freeze,speed,White,nuke,reinforcements
Black,freeze,speed,White,freeze,heal
Black,freeze,speed,White,freeze,wall
Black,freeze,speed,White,firebomb,heal
Black,freeze,speed,White,firebomb,wall
Black,freeze,speed,White,freeze,reinforcements
Black,freeze,speed,White,freeze,speed
Black,freeze,wall,White,nuke,wall
Black,freeze,wall,White,nuke,reinforcements
Black,freeze,wall,White,freeze,heal
Black,freeze,wall,White,freeze,wall
Black,freeze,wall,White,nuke,heal
Black,freeze,wall,White,firebomb,heal
Black,freeze,wall,White,firebomb,wall
Black,freeze,wall,White,freeze,reinforcements
Blue,nuke,heal,White,nuke,wall
Blue,nuke,heal,White,freeze,heal
Blue,nuke,heal,White,nuke,heal
Blue,nuke,heal,White,firebomb,heal
Blue,nuke,heal,White,freeze,speed
Blue,nuke,heal,White,firebomb,speed
Blue,nuke,heal,Black,nuke,wall
Blue,nuke,heal,White,nuke,speed
Blue,nuke,reinforcements,White,nuke,wall
Blue,nuke,reinforcements,White,nuke,reinforcements
Blue,nuke,reinforcements,White,freeze,heal
Blue,nuke,reinforcements,White,freeze,wall
Blue,nuke,reinforcements,White,firebomb,heal
Blue,nuke,reinforcements,White,firebomb,wall
Blue,nuke,reinforcements,White,freeze,reinforcements
Blue,nuke,reinforcements,White,firebomb,reinforcements
Blue,nuke,speed,White,nuke,wall
Blue,nuke,speed,White,freeze,heal
Blue,nuke,speed,White,nuke,heal
Blue,nuke,speed,White,freeze,speed
Blue,nuke,speed,Blue,nuke,heal
Blue,nuke,speed,White,firebomb,speed
Blue,nuke,speed,Black,nuke,wall
Blue,nuke,speed,White,nuke,speed
Blue,nuke,wall,White,nuke,wall
Blue,nuke,wall,White,nuke,reinforcements
Blue,nuke,wall,White,freeze,heal
Blue,nuke,wall,White,freeze,wall
Blue,nuke,wall,White,nuke,heal
Blue,nuke,wall,White,firebomb,heal
Blue,nuke,wall,White,firebomb,wall
Blue,nuke,wall,White,freeze,reinforcements
Blue,firebomb,heal,White,nuke,reinforcements
Blue,firebomb,heal,White,freeze,heal
Blue,firebomb,heal,White,freeze,wall
Blue,firebomb,heal,White,nuke,heal
Blue,firebomb,heal,White,firebomb,heal
Blue,firebomb,heal,White,firebomb,wall
