human_team,human_off,human_def,counter_winrate,random_winrate,fixed_winrate,counter_pick
Black,nuke,heal,0.9450,0.4300,1.0000,Orange/freeze/heal
Black,nuke,reinforcements,1.0000,0.2250,1.0000,White/nuke/reinforcements
Black,nuke,speed,1.0000,0.7975,1.0000,White/nuke/heal
Black,nuke,wall,1.0000,0.3000,1.0000,White/nuke/reinforcements
Black,firebomb,heal,1.0000,0.3550,1.0000,White/nuke/reinforcements
Black,firebomb,reinforcements,1.0000,0.3250,1.0000,White/nuke/reinforcements
Black,firebomb,speed,1.0000,0.8000,1.0000,White/nuke/reinforcements
Black,firebomb,wall,1.0000,0.3025,1.0000,White/nuke/reinforcements
Black,snipe,heal,1.0000,0.7000,1.0000,White/nuke/reinforcements
Black,snipe,reinforcements,1.0000,0.3900,1.0000,White/nuke/reinforcements
Black,snipe,speed,1.0000,0.9400,1.0000,White/nuke/reinforcements
Black,snipe,wall,1.0000,0.6850,1.0000,White/nuke/reinforcements
Black,freeze,heal,1.0000,0.3400,1.0000,White/nuke/reinforcements
Black,freeze,reinforcements,1.0000,0.1950,1.0000,White/nuke/reinforcements
Black,freeze,speed,1.0000,0.6700,1.0000,White/nuke/reinforcements
Black,freeze,wall,1.0000,0.2700,1.0000,White/nuke/reinforcements
Blue,nuke,heal,1.0000,0.4500,1.0000,White/nuke/heal
Blue,nuke,reinforcements,1.0000,0.4350,1.0000,White/nuke/reinforcements
Blue,nuke,speed,1.0000,0.6100,1.0000,White/nuke/heal
Blue,nuke,wall,1.0000,0.3300,1.0000,White/nuke/reinforcements
Blue,firebomb,heal,1.0000,0.3200,1.0000,White/nuke/reinforcements
Blue,firebomb,reinforcements,1.0000,0.5800,1.0000,White/nuke/reinforcements
Blue,firebomb,speed,1.0000,0.6300,1.0000,White/nuke/reinforcements
Blue,firebomb,wall,1.0000,0.3125,1.0000,White/nuke/reinforcements
Blue,snipe,heal,1.0000,0.7350,1.0000,White/nuke/reinforcements
Blue,snipe,reinforcements,1.0000,0.6100,1.0000,White/nuke/reinforcements
Blue,snipe,speed,1.0000,0.8400,1.0000,White/nuke/reinforcements
Blue,snipe,wall,1.0000,0.6325,1.0000,White/nuke/reinforcements
Blue,freeze,heal,1.0000,0.3225,1.0000,White/nuke/reinforcements
Blue,freeze,reinforcements,1.0000,0.4400,1.0000,White/nuke/reinforcements
Blue,freeze,speed,1.0000,0.5300,1.0000,White/nuke/reinforcements
Blue,freeze,wall,1.0000,0.3600,1.0000,White/nuke/reinforcements
Green,nuke,heal,1.0000,0.6200,1.0000,White/nuke/reinforcements
Green,nuke,reinforcements,1.0000,0.6000,1.0000,White/nuke/reinforcements
Green,nuke,speed,1.0000,0.8850,1.0000,White/nuke/reinforcements
Green,nuke,wall,1.0000,0.6525,1.0000,White/nuke/reinforcements
Green,firebomb,heal,1.0000,0.6650,1.0000,White/nuke/reinforcements
Green,firebomb,reinforcements,1.0000,0.7350,1.0000,White/nuke/reinforcements
Green,firebomb,speed,1.0000,0.9650,1.0000,White/nuke/reinforcements
Green,firebomb,wall,1.0000,0.6700,1.0000,White/nuke/reinforcements
Green,snipe,heal,1.0000,0.8400,1.0000,White/nuke/reinforcements
Green,snipe,reinforcements,1.0000,0.6650,1.0000,White/nuke/reinforcements
Green,snipe,speed,1.0000,0.9650,1.0000,White/nuke/reinforcements
Green,snipe,wall,1.0000,0.8800,1.0000,White/nuke/reinforcements
Green,freeze,heal,1.0000,0.6175,1.0000,White/nuke/reinforcements
Green,freeze,reinforcements,1.0000,0.6875,1.0000,White/nuke/reinforcements
Green,freeze,speed,1.0000,0.8850,1.0000,White/nuke/reinforcements
Green,freeze,wall,1.0000,0.6325,1.0000,White/nuke/reinforcements
Orange,nuke,heal,0.9175,0.5475,1.0000,Blue/nuke/wall
Orange,nuke,reinforcements,1.0000,0.1300,1.0000,White/nuke/reinforcements
Orange,nuke,speed,1.0000,0.8250,1.0000,White/nuke/heal
Orange,nuke,wall,1.0000,0.3500,1.0000,Blue/nuke/wall
Orange,firebomb,heal,1.0000,0.5900,1.0000,White/freeze/reinforcements
Orange,firebomb,reinforcements,1.0000,0.3250,1.0000,White/nuke/reinforcements
