p1_team,p1_off,p1_def,p2_team,p2_off,p2_def,map,shadow,winner_side,decided,ticks,seconds
Black,nuke,heal,Black,nuke,heal,Green,0,1,decisive,8784,292.8
Black,nuke,heal,Black,nuke,reinforcements,Purple,0,2,decisive,5228,174.3
Black,nuke,heal,Black,nuke,speed,White,0,1,decisive,8572,285.7
Black,nuke,heal,Black,nuke,wall,Yellow,0,1,decisive,7918,263.9
Black,nuke,heal,Black,firebomb,heal,Orange,0,2,decisive,8948,298.3
Black,nuke,heal,Black,firebomb,reinforcements,Yellow,0,2,decisive,7716,257.2
Black,nuke,heal,Black,firebomb,speed,White,0,1,decisive,8283,276.1
Black,nuke,heal,Black,firebomb,wall,Red,0,2,decisive,8545,284.8
Black,nuke,heal,Black,snipe,heal,White,0,2,decisive,9374,312.5
Black,nuke,heal,Black,snipe,reinforcements,Black,0,2,decisive,10639,354.6
Black,nuke,heal,Black,snipe,speed,Yellow,0,1,decisive,7544,251.5
Black,nuke,heal,Black,snipe,wall,Orange,1,1,decisive,8971,299.0
Black,nuke,heal,Black,freeze,heal,Red,0,1,decisive,7175,239.2
Black,nuke,heal,Black,freeze,reinforcements,Black,0,1,decisive,11089,369.6
Black,nuke,heal,Black,freeze,speed,Purple,0,1,decisive,8629,287.6
Black,nuke,heal,Black,freeze,wall,Red,0,1,decisive,9825,327.5
Black,nuke,heal,Blue,nuke,heal,Green,0,1,decisive,9519,317.3
Black,nuke,heal,Blue,nuke,reinforcements,Green,0,2,decisive,8029,267.6
Black,nuke,heal,Blue,nuke,speed,Purple,0,1,decisive,8081,269.4
Black,nuke,heal,Blue,nuke,wall,Red,0,2,decisive,8098,269.9
Black,nuke,heal,Blue,firebomb,heal,Blue,0,2,decisive,7451,248.4
Black,nuke,heal,Blue,firebomb,reinforcements,Purple,0,2,decisive,7377,245.9
Black,nuke,heal,Blue,firebomb,speed,Purple,1,1,decisive,6099,203.3
Black,nuke,heal,Blue,firebomb,wall,White,0,2,decisive,8517,283.9
Black,nuke,heal,Blue,snipe,heal,Purple,0,1,decisive,5787,192.9
Black,nuke,heal,Blue,snipe,reinforcements,Red,0,2,decisive,7627,254.2
Black,nuke,heal,Blue,snipe,speed,Red,0,1,decisive,9109,303.6
Black,nuke,heal,Blue,snipe,wall,Purple,0,1,decisive,9825,327.5
Black,nuke,heal,Blue,freeze,heal,Orange,0,2,decisive,9919,330.6
Black,nuke,heal,Blue,freeze,reinforcements,White,0,2,decisive,8282,276.1
Black,nuke,heal,Blue,freeze,speed,Yellow,0,1,decisive,8677,289.2
Black,nuke,heal,Blue,freeze,wall,Green,0,2,decisive,8102,270.1
Black,nuke,heal,Green,nuke,heal,White,0,2,decisive,7813,260.4
Black,nuke,heal,Green,nuke,reinforcements,Yellow,1,2,decisive,8597,286.6
Black,nuke,heal,Green,nuke,speed,Blue,0,1,decisive,6642,221.4
Black,nuke,heal,Green,nuke,wall,White,0,2,decisive,8724,290.8
Black,nuke,heal,Green,firebomb,heal,Orange,0,2,decisive,8551,285.0
Black,nuke,heal,Green,firebomb,reinforcements,Orange,0,2,decisive,6788,226.3
Black,nuke,heal,Green,firebomb,speed,Green,1,1,decisive,9649,321.6
Black,nuke,heal,Green,firebomb,wall,Blue,0,2,decisive,8337,277.9
Black,nuke,heal,Green,snipe,heal,Red,0,1,decisive,9170,305.7
Black,nuke,heal,Green,snipe,reinforcements,Red,0,2,decisive,11812,393.7
Black,nuke,heal,Green,snipe,speed,Purple,0,1,decisive,6345,211.5
Black,nuke,heal,Green,snipe,wall,Green,0,1,decisive,9527,317.6
Black,nuke,heal,Green,freeze,heal,Orange,0,2,decisive,8853,295.1
Black,nuke,heal,Green,freeze,reinforcements,White,1,2,decisive,9509,317.0
Black,nuke,heal,Green,freeze,speed,Black,0,1,decisive,7489,249.6
Black,nuke,heal,Green,freeze,wall,White,0,2,decisive,8694,289.8
Black,nuke,heal,Orange,nuke,heal,Purple,0,1,decisive,8459,282.0
Black,nuke,heal,Orange,nuke,reinforcements,Green,0,2,decisive,7442,248.1
Black,nuke,heal,Orange,nuke,speed,Green,0,1,decisive,9602,320.1
Black,nuke,heal,Orange,nuke,wall,Red,0,1,decisive,8847,294.9
Black,nuke,heal,Orange,firebomb,heal,Black,0,1,decisive,11808,393.6
Black,nuke,heal,Orange,firebomb,reinforcements,Yellow,0,2,decisive,7711,257.0
Black,nuke,heal,Orange,firebomb,speed,Green,0,1,decisive,8199,273.3
Black,nuke,heal,Orange,firebomb,wall,Purple,0,2,decisive,10737,357.9
Black,nuke,heal,Orange,snipe,heal,Red,0,1,decisive,7178,239.3
Black,nuke,heal,Orange,snipe,reinforcements,White,0,2,decisive,5869,195.6
Black,nuke,heal,Orange,snipe,speed,Red,1,1,decisive,7159,238.6
Black,nuke,heal,Orange,snipe,wall,Green,0,1,decisive,8839,294.6
Black,nuke,heal,Orange,freeze,heal,Green,0,1,decisive,8716,290.5
Black,nuke,heal,Orange,freeze,reinforcements,Blue,0,2,decisive,8045,268.2
Black,nuke,heal,Orange,freeze,speed,Blue,0,1,decisive,8657,288.6
Black,nuke,heal,Orange,freeze,wall,Purple,0,1,decisive,8809,293.6
Black,nuke,heal,Purple,nuke,heal,Green,0,1,decisive,10622,354.1
Black,nuke,heal,Purple,nuke,reinforcements,Red,0,2,decisive,8798,293.3
Black,nuke,heal,Purple,nuke,speed,Purple,0,1,decisive,8903,296.8
Black,nuke,heal,Purple,nuke,wall,Green,0,1,decisive,8879,296.0
Black,nuke,heal,Purple,firebomb,heal,Green,0,2,decisive,8995,299.8
Black,nuke,heal,Purple,firebomb,reinforcements,White,0,2,decisive,5887,196.2
Black,nuke,heal,Purple,firebomb,speed,Black,0,1,decisive,8551,285.0
Black,nuke,heal,Purple,firebomb,wall,Yellow,0,1,decisive,9237,307.9
Black,nuke,heal,Purple,snipe,heal,Blue,0,1,decisive,8772,292.4
Black,nuke,heal,Purple,snipe,reinforcements,Purple,0,2,decisive,10246,341.5
Black,nuke,heal,Purple,snipe,speed,White,0,1,decisive,8349,278.3
Black,nuke,heal,Purple,snipe,wall,White,0,1,decisive,8757,291.9
Black,nuke,heal,Purple,freeze,heal,Purple,0,1,decisive,8929,297.6
Black,nuke,heal,Purple,freeze,reinforcements,White,0,2,decisive,7730,257.7
Black,nuke,heal,Purple,freeze,speed,Yellow,0,1,decisive,9199,306.6
Black,nuke,heal,Purple,freeze,wall,White,0,1,decisive,9432,314.4
Black,nuke,heal,Red,nuke,heal,White,0,2,decisive,7896,263.2
Black,nuke,heal,Red,nuke,reinforcements,Purple,0,2,decisive,7909,263.6
Black,nuke,heal,Red,nuke,speed,Purple,0,1,decisive,4953,165.1
Black,nuke,heal,Red,nuke,wall,Blue,0,2,decisive,8719,290.6
Black,nuke,heal,Red,firebomb,heal,Orange,0,2,decisive,6651,221.7
Black,nuke,heal,Red,firebomb,reinforcements,Yellow,0,1,decisive,10380,346.0
Black,nuke,heal,Red,firebomb,speed,Yellow,0,1,decisive,5819,194.0
Black,nuke,heal,Red,firebomb,wall,Blue,0,2,decisive,8424,280.8
Black,nuke,heal,Red,snipe,heal,White,0,1,decisive,7689,256.3
Black,nuke,heal,Red,snipe,reinforcements,Purple,0,2,decisive,8634,287.8
Black,nuke,heal,Red,snipe,speed,Green,0,1,decisive,4881,162.7
Black,nuke,heal,Red,snipe,wall,Green,0,1,decisive,10120,337.3
Black,nuke,heal,Red,freeze,heal,Green,0,2,decisive,6591,219.7
Black,nuke,heal,Red,freeze,reinforcements,Orange,0,2,decisive,7245,241.5
Black,nuke,heal,Red,freeze,speed,Blue,0,1,decisive,5894,196.5
Black,nuke,heal,Red,freeze,wall,Yellow,0,2,decisive,8599,286.6
Black,nuke,heal,White,nuke,heal,Blue,0,1,decisive,5309,177.0
Black,nuke,heal,White,nuke,reinforcements,Purple,0,2,decisive,4871,162.4
Black,nuke,heal,White,nuke,speed,Red,0,1,decisive,7173,239.1
Black,nuke,heal,White,nuke,wall,Yellow,0,1,decisive,6537,217.9
Black,nuke,heal,White,firebomb,heal,Orange,0,1,decisive,5150,171.7
Black,nuke,heal,White,firebomb,reinforcements,Red,0,2,decisive,5499,183.3
Black,nuke,heal,White,firebomb,speed,Orange,0,1,decisive,6089,203.0
Black,nuke,heal,White,firebomb,wall,Blue,1,2,decisive,8269,275.6
Black,nuke,heal,White,snipe,heal,Yellow,0,1,decisive,4499,150.0
Black,nuke,heal,White,snipe,reinforcements,White,0,2,decisive,4788,159.6
Black,nuke,heal,White,snipe,speed,White,0,1,decisive,6577,219.2
Black,nuke,heal,White,snipe,wall,White,0,1,decisive,8529,284.3
Black,nuke,heal,White,freeze,heal,White,0,1,decisive,6120,204.0
Black,nuke,heal,White,freeze,reinforcements,White,0,2,decisive,8128,270.9
Black,nuke,heal,White,freeze,speed,Yellow,0,1,decisive,6561,218.7
Black,nuke,heal,White,freeze,wall,Green,0,2,decisive,8049,268.3
Black,nuke,heal,Yellow,nuke,heal,Purple,0,2,decisive,8829,294.3
Black,nuke,heal,Yellow,nuke,reinforcements,Black,0,2,decisive,9242,308.1
Black,nuke,heal,Yellow,nuke,speed,Red,0,2,decisive,8141,271.4
Black,nuke,heal,Yellow,nuke,wall,White,0,2,decisive,8259,275.3
Black,nuke,heal,Yellow,firebomb,heal,Blue,0,2,decisive,8299,276.6
Black,nuke,heal,Yellow,firebomb,reinforcements,Red,0,2,decisive,5329,177.6
Black,nuke,heal,Yellow,firebomb,speed,Yellow,0,2,decisive,7120,237.3
Black,nuke,heal,Yellow,firebomb,wall,Purple,0,2,decisive,8222,274.1
Black,nuke,heal,Yellow,snipe,heal,White,1,1,decisive,8565,285.5
Black,nuke,heal,Yellow,snipe,reinforcements,Yellow,1,2,decisive,5210,173.7
Black,nuke,heal,Yellow,snipe,speed,White,0,1,decisive,8454,281.8
Black,nuke,heal,Yellow,snipe,wall,Green,0,1,decisive,8679,289.3
Black,nuke,heal,Yellow,freeze,heal,White,0,2,decisive,8295,276.5
Black,nuke,heal,Yellow,freeze,reinforcements,White,0,2,decisive,6869,229.0
Black,nuke,heal,Yellow,freeze,speed,Yellow,0,1,decisive,8564,285.5
Black,nuke,heal,Yellow,freeze,wall,White,0,2,decisive,8301,276.7
