candidate,hpEvalSeconds,minHpLossPctPerSec,killerInstinctHp,attackSpendFraction,avgScore,Tier1Spam,Tier2Spam,Tier3Spam,Tier4Spam,Tier5Spam,Tier6Spam,Tier7Spam,Tier8Spam,castle_defense_p1_v4,castle_defense_p1_v7,castle_defense_p1_v23,castle_defense_p1_v14,castle_defense_p1_v21
baseline,20.00,0.250,3000,0.850,86.41,91.7,100.0,88.3,61.7,91.7,100.0,100.0,100.0,77.5,75.0,62.5,90.0,85.0
cand1,14.89,1.476,5778,0.732,86.41,95.0,100.0,83.3,71.7,88.3,100.0,100.0,100.0,65.0,77.5,75.0,75.0,92.5
cand2,26.35,0.500,9402,0.568,84.81,91.7,98.3,80.0,61.7,93.3,100.0,100.0,100.0,72.5,82.5,65.0,85.0,72.5
cand3,20.27,1.727,1060,0.577,86.15,86.7,100.0,90.0,70.0,83.3,100.0,100.0,100.0,70.0,87.5,62.5,85.0,85.0
cand4,15.70,1.832,3185,0.932,86.35,91.7,100.0,88.3,68.3,81.7,100.0,100.0,100.0,62.5,75.0,62.5,95.0,97.5
cand5,20.25,1.472,6029,0.833,88.91,90.0,100.0,93.3,71.7,88.3,100.0,100.0,100.0,70.0,92.5,70.0,95.0,85.0
cand6,28.46,1.111,4236,0.735,84.87,95.0,98.3,90.0,56.7,88.3,100.0,100.0,100.0,75.0,82.5,57.5,87.5,72.5
cand7,23.19,1.543,9226,0.600,88.53,93.3,98.3,81.7,63.3,91.7,100.0,100.0,100.0,75.0,82.5,80.0,90.0,95.0
cand8,23.07,1.650,6670,0.804,87.12,96.7,100.0,88.3,68.3,86.7,100.0,100.0,100.0,67.5,90.0,62.5,90.0,82.5
cand9,17.85,0.110,9581,0.778,88.14,95.0,100.0,91.7,73.3,83.3,100.0,100.0,100.0,75.0,82.5,65.0,92.5,87.5
cand10,19.52,0.962,7422,0.851,88.59,91.7,98.3,90.0,73.3,83.3,100.0,100.0,100.0,92.5,92.5,62.5,85.0,82.5
cand11,20.08,0.858,4596,0.664,85.06,91.7,98.3,88.3,66.7,88.3,100.0,100.0,100.0,62.5,80.0,72.5,82.5,75.0
cand12,16.75,0.713,4271,0.942,87.44,90.0,98.3,88.3,61.7,88.3,100.0,100.0,100.0,67.5,85.0,80.0,85.0,92.5
cand13,26.81,0.266,9667,0.739,87.69,91.7,98.3,93.3,60.0,91.7,100.0,100.0,100.0,77.5,100.0,67.5,82.5,77.5
cand14,14.79,0.447,5329,0.884,85.06,91.7,100.0,88.3,55.0,83.3,100.0,100.0,100.0,77.5,82.5,52.5,97.5,77.5
cand15,9.60,0.303,9432,0.792,86.92,86.7,100.0,86.7,71.7,90.0,100.0,100.0,100.0,77.5,75.0,72.5,95.0,75.0
cand16,17.18,0.642,5888,0.920,87.37,95.0,100.0,88.3,65.0,90.0,100.0,100.0,100.0,80.0,82.5,65.0,92.5,77.5
cand17,24.47,1.886,725,0.703,85.77,91.7,98.3,88.3,70.0,86.7,100.0,100.0,100.0,70.0,82.5,67.5,80.0,80.0
cand18,12.48,1.701,9377,0.885,86.79,98.3,98.3,83.3,68.3,90.0,100.0,100.0,100.0,80.0,80.0,62.5,85.0,82.5
cand19,24.34,0.536,8181,0.960,86.86,90.0,100.0,93.3,65.0,88.3,100.0,100.0,100.0,65.0,82.5,80.0,85.0,80.0
cand20,10.71,1.769,9121,0.613,85.83,91.7,100.0,83.3,63.3,90.0,100.0,100.0,100.0,70.0,82.5,72.5,85.0,77.5
cand21,16.73,0.551,7343,0.793,85.90,88.3,100.0,83.3,65.0,100.0,100.0,100.0,100.0,70.0,85.0,55.0,82.5,87.5
cand22,22.69,0.162,9902,0.861,87.76,93.3,100.0,91.7,63.3,95.0,100.0,100.0,100.0,80.0,82.5,72.5,82.5,80.0
cand23,22.11,1.579,2834,0.654,87.69,91.7,100.0,90.0,70.0,88.3,100.0,100.0,100.0,65.0,85.0,77.5,87.5,85.0
cand24,17.11,1.119,9388,0.785,87.88,88.3,100.0,88.3,63.3,95.0,100.0,100.0,100.0,72.5,85.0,77.5,80.0,92.5
cand25,9.08,0.259,9209,0.723,85.71,91.7,98.3,85.0,60.0,91.7,100.0,100.0,100.0,75.0,82.5,65.0,85.0,80.0
cand26,12.70,1.385,3004,0.799,87.69,95.0,100.0,93.3,53.3,93.3,100.0,100.0,100.0,77.5,82.5,72.5,82.5,90.0
