candidate,safetyMargin,safetyBuffer,enemyIsCloseDist,repairThreshold,avgScore,Tier1Spam,Tier2Spam,Tier3Spam,Tier4Spam,Tier5Spam,Tier6Spam,Tier7Spam,Tier8Spam,castle_defense_p1_v4,castle_defense_p1_v7,castle_defense_p1_v23,castle_defense_p1_v14,castle_defense_p1_v21
baseline,1.400,2.000,700.0,0.750,82.88,90.0,100.0,90.0,58.3,81.7,100.0,100.0,100.0,52.5,50.0,80.0,95.0,80.0
cand1,1.460,4.399,964.7,0.638,79.94,91.7,96.7,81.7,55.0,81.7,100.0,100.0,100.0,45.0,62.5,57.5,82.5,85.0
cand2,1.206,3.134,911.0,0.789,80.64,81.7,93.3,78.3,70.0,86.7,98.3,100.0,100.0,40.0,57.5,75.0,82.5,85.0
cand3,1.901,3.703,668.2,0.577,79.94,88.3,100.0,76.7,56.7,90.0,100.0,100.0,100.0,42.5,42.5,75.0,85.0,82.5
cand4,1.881,2.384,768.0,0.800,78.14,83.3,100.0,85.0,46.7,85.0,98.3,100.0,100.0,47.5,60.0,57.5,82.5,70.0
cand5,1.164,2.815,689.8,0.760,80.45,80.0,98.3,85.0,66.7,88.3,100.0,100.0,100.0,55.0,60.0,55.0,85.0,72.5
cand6,2.200,1.543,849.0,0.652,78.91,86.7,98.3,81.7,51.7,75.0,100.0,100.0,100.0,52.5,60.0,57.5,92.5,70.0
cand7,1.499,4.216,688.4,0.604,79.04,95.0,98.3,71.7,46.7,78.3,100.0,100.0,100.0,52.5,67.5,57.5,85.0,75.0
cand8,1.610,0.432,706.6,0.650,78.65,85.0,100.0,75.0,40.0,95.0,100.0,100.0,100.0,65.0,57.5,45.0,80.0,80.0
cand9,1.875,2.549,894.0,0.582,79.62,81.7,95.0,81.7,48.3,83.3,100.0,100.0,100.0,55.0,67.5,67.5,77.5,77.5
cand10,1.417,3.642,928.2,0.808,81.47,78.3,98.3,86.7,60.0,93.3,100.0,100.0,100.0,50.0,70.0,60.0,92.5,70.0
cand11,2.043,0.620,498.0,0.760,79.10,90.0,98.3,83.3,51.7,81.7,98.3,100.0,100.0,50.0,57.5,55.0,82.5,80.0
cand12,2.179,1.637,843.4,0.725,78.33,91.7,100.0,80.0,55.0,76.7,100.0,100.0,100.0,50.0,62.5,52.5,77.5,72.5
cand13,2.136,3.846,787.3,0.597,79.42,86.7,98.3,71.7,45.0,78.3,100.0,100.0,100.0,57.5,55.0,70.0,85.0,85.0
cand14,1.915,0.828,841.2,0.641,80.13,81.7,100.0,83.3,51.7,86.7,98.3,100.0,100.0,47.5,62.5,70.0,85.0,75.0
cand15,1.397,1.004,833.5,0.786,81.15,81.7,98.3,86.7,55.0,83.3,100.0,100.0,100.0,45.0,75.0,62.5,82.5,85.0
cand16,1.689,0.932,539.7,0.617,81.35,91.7,96.7,78.3,50.0,80.0,98.3,100.0,100.0,55.0,70.0,72.5,92.5,72.5
cand17,1.279,1.375,484.2,0.565,81.73,86.7,95.0,85.0,58.3,85.0,100.0,100.0,100.0,52.5,65.0,65.0,82.5,87.5
cand18,1.240,4.472,845.9,0.635,79.62,88.3,98.3,81.7,43.3,88.3,100.0,100.0,100.0,55.0,55.0,60.0,85.0,80.0
cand19,1.964,1.752,982.1,0.586,77.12,88.3,100.0,81.7,35.0,80.0,100.0,100.0,100.0,55.0,47.5,45.0,85.0,85.0
cand20,1.061,0.454,745.2,0.634,78.40,88.3,96.7,88.3,50.0,88.3,100.0,100.0,100.0,45.0,62.5,50.0,82.5,67.5
cand21,1.050,2.801,597.9,0.809,80.32,73.3,95.0,88.3,45.0,95.0,100.0,100.0,100.0,67.5,65.0,52.5,82.5,80.0
cand22,1.276,2.983,616.2,0.728,81.15,85.0,98.3,93.3,56.7,86.7,100.0,100.0,100.0,42.5,65.0,65.0,87.5,75.0
cand23,1.349,2.196,516.8,0.558,82.63,90.0,95.0,95.0,50.0,91.7,100.0,100.0,100.0,52.5,60.0,72.5,100.0,67.5
cand24,1.582,3.052,518.4,0.628,78.65,83.3,98.3,86.7,65.0,81.7,100.0,100.0,100.0,40.0,62.5,60.0,87.5,57.5
cand25,1.797,3.052,673.5,0.594,78.27,85.0,100.0,76.7,56.7,76.7,100.0,100.0,100.0,47.5,55.0,57.5,85.0,77.5
cand26,1.695,2.587,769.8,0.799,80.19,90.0,95.0,80.0,68.3,83.3,98.3,100.0,100.0,52.5,62.5,50.0,87.5,75.0
cand27,1.155,3.432,1023.6,0.616,81.47,86.7,100.0,85.0,56.7,90.0,98.3,100.0,100.0,52.5,60.0,57.5,85.0,87.5
cand28,2.154,1.496,820.6,0.851,80.58,86.7,98.3,83.3,50.0,76.7,100.0,100.0,100.0,55.0,57.5,67.5,87.5,85.0
cand29,1.666,1.356,700.6,0.756,77.18,81.7,96.7,86.7,50.0,83.3,100.0,100.0,100.0,45.0,42.5,52.5,95.0,70.0
cand30,1.088,1.032,608.6,0.576,80.71,81.7,95.0,90.0,46.7,83.3,100.0,100.0,100.0,37.5,70.0,67.5,95.0,82.5
cand31,1.721,0.492,989.6,0.845,82.50,93.3,98.3,83.3,71.7,88.3,100.0,100.0,100.0,52.5,62.5,52.5,87.5,82.5
