opponent,kind,team,offense,defense,outcome,ticks,seconds
Tier1Spam,spam,Black,nuke,heal,decisive_win,4203,140.1
Tier1Spam,spam,Black,nuke,heal,decisive_win,4373,145.8
Tier1Spam,spam,Black,nuke,heal,decisive_win,4203,140.1
Tier1Spam,spam,Black,nuke,heal,decisive_win,4855,161.8
Tier1Spam,spam,Black,nuke,heal,decisive_win,4699,156.6
Tier1Spam,spam,Black,nuke,heal,decisive_win,4373,145.8
Tier1Spam,spam,Black,nuke,heal,decisive_win,4699,156.6
Tier1Spam,spam,Black,nuke,heal,decisive_win,4494,149.8
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,3907,130.2
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,4442,148.1
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,3835,127.8
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,4506,150.2
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,4314,143.8
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,3453,115.1
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,4314,143.8
Tier1Spam,spam,Black,nuke,reinforcements,decisive_win,3505,116.8
Tier1Spam,spam,Black,nuke,speed,decisive_win,4639,154.6
Tier1Spam,spam,Black,nuke,speed,decisive_win,4639,154.6
Tier1Spam,spam,Black,nuke,speed,decisive_win,4617,153.9
Tier1Spam,spam,Black,nuke,speed,decisive_win,5014,167.1
Tier1Spam,spam,Black,nuke,speed,decisive_win,5674,189.1
Tier1Spam,spam,Black,nuke,speed,decisive_win,5642,188.1
Tier1Spam,spam,Black,nuke,speed,decisive_win,4617,153.9
Tier1Spam,spam,Black,nuke,speed,decisive_win,5642,188.1
Tier1Spam,spam,Black,nuke,wall,decisive_win,4872,162.4
Tier1Spam,spam,Black,nuke,wall,decisive_win,4773,159.1
Tier1Spam,spam,Black,nuke,wall,decisive_win,4479,149.3
Tier1Spam,spam,Black,nuke,wall,decisive_win,4734,157.8
Tier1Spam,spam,Black,nuke,wall,decisive_win,4485,149.5
Tier1Spam,spam,Black,nuke,wall,decisive_win,4773,159.1
Tier1Spam,spam,Black,nuke,wall,decisive_win,3673,122.4
Tier1Spam,spam,Black,nuke,wall,decisive_win,4773,159.1
Tier1Spam,spam,Black,firebomb,heal,decisive_win,4597,153.2
Tier1Spam,spam,Black,firebomb,heal,decisive_win,4807,160.2
Tier1Spam,spam,Black,firebomb,heal,decisive_win,4864,162.1
Tier1Spam,spam,Black,firebomb,heal,decisive_win,4807,160.2
Tier1Spam,spam,Black,firebomb,heal,decisive_win,4988,166.3
Tier1Spam,spam,Black,firebomb,heal,decisive_win,5053,168.4
Tier1Spam,spam,Black,firebomb,heal,decisive_win,4903,163.4
Tier1Spam,spam,Black,firebomb,heal,decisive_win,4924,164.1
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,3634,121.1
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,3574,119.1
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,3634,121.1
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,3363,112.1
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,4113,137.1
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,4203,140.1
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,3615,120.5
Tier1Spam,spam,Black,firebomb,reinforcements,decisive_win,3945,131.5
Tier1Spam,spam,Black,firebomb,speed,decisive_win,5259,175.3
Tier1Spam,spam,Black,firebomb,speed,decisive_win,5455,181.8
Tier1Spam,spam,Black,firebomb,speed,decisive_win,4342,144.7
Tier1Spam,spam,Black,firebomb,speed,decisive_win,4338,144.6
Tier1Spam,spam,Black,firebomb,speed,decisive_win,4342,144.7
Tier1Spam,spam,Black,firebomb,speed,decisive_win,5455,181.8
Tier1Spam,spam,Black,firebomb,speed,decisive_win,4342,144.7
Tier1Spam,spam,Black,firebomb,speed,decisive_win,5326,177.5
Tier1Spam,spam,Black,firebomb,wall,decisive_win,5363,178.8
Tier1Spam,spam,Black,firebomb,wall,decisive_win,4781,159.4
Tier1Spam,spam,Black,firebomb,wall,decisive_win,4714,157.1
Tier1Spam,spam,Black,firebomb,wall,decisive_win,4783,159.4
Tier1Spam,spam,Black,firebomb,wall,decisive_win,4596,153.2
Tier1Spam,spam,Black,firebomb,wall,decisive_win,4783,159.4
Tier1Spam,spam,Black,firebomb,wall,decisive_win,4724,157.5
Tier1Spam,spam,Black,firebomb,wall,decisive_win,4781,159.4
Tier1Spam,spam,Black,snipe,heal,decisive_win,3537,117.9
Tier1Spam,spam,Black,snipe,heal,decisive_win,4212,140.4
Tier1Spam,spam,Black,snipe,heal,decisive_win,4358,145.3
Tier1Spam,spam,Black,snipe,heal,decisive_win,4544,151.5
Tier1Spam,spam,Black,snipe,heal,decisive_win,4607,153.6
Tier1Spam,spam,Black,snipe,heal,decisive_win,4522,150.7
Tier1Spam,spam,Black,snipe,heal,decisive_win,4607,153.6
Tier1Spam,spam,Black,snipe,heal,decisive_win,4544,151.5
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3506,116.9
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3723,124.1
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3871,129.0
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3723,124.1
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3633,121.1
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3536,117.9
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3514,117.1
Tier1Spam,spam,Black,snipe,reinforcements,decisive_win,3536,117.9
Tier1Spam,spam,Black,snipe,speed,decisive_win,4209,140.3
Tier1Spam,spam,Black,snipe,speed,decisive_win,4581,152.7
Tier1Spam,spam,Black,snipe,speed,decisive_win,4407,146.9
Tier1Spam,spam,Black,snipe,speed,decisive_win,4563,152.1
Tier1Spam,spam,Black,snipe,speed,decisive_win,4873,162.4
Tier1Spam,spam,Black,snipe,speed,decisive_win,5111,170.4
Tier1Spam,spam,Black,snipe,speed,decisive_win,4873,162.4
Tier1Spam,spam,Black,snipe,speed,decisive_win,4581,152.7
Tier1Spam,spam,Black,snipe,wall,decisive_win,4420,147.3
Tier1Spam,spam,Black,snipe,wall,decisive_win,4980,166.0
Tier1Spam,spam,Black,snipe,wall,decisive_win,4551,151.7
Tier1Spam,spam,Black,snipe,wall,decisive_win,4521,150.7
Tier1Spam,spam,Black,snipe,wall,decisive_win,4290,143.0
Tier1Spam,spam,Black,snipe,wall,decisive_win,4870,162.3
Tier1Spam,spam,Black,snipe,wall,decisive_win,3155,105.2
Tier1Spam,spam,Black,snipe,wall,decisive_win,4187,139.6
Tier1Spam,spam,Black,freeze,heal,decisive_win,6159,205.3
Tier1Spam,spam,Black,freeze,heal,decisive_win,6460,215.3
Tier1Spam,spam,Black,freeze,heal,decisive_win,4593,153.1
Tier1Spam,spam,Black,freeze,heal,decisive_win,4748,158.3
Tier1Spam,spam,Black,freeze,heal,decisive_win,6159,205.3
Tier1Spam,spam,Black,freeze,heal,decisive_win,6134,204.5
Tier1Spam,spam,Black,freeze,heal,decisive_win,5571,185.7
Tier1Spam,spam,Black,freeze,heal,decisive_win,4748,158.3
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,4778,159.3
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,3867,128.9
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,4080,136.0
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,4300,143.3
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,4778,159.3
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,4138,137.9
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,4080,136.0
Tier1Spam,spam,Black,freeze,reinforcements,decisive_win,4289,143.0
Tier1Spam,spam,Black,freeze,speed,decisive_win,7525,250.8
Tier1Spam,spam,Black,freeze,speed,decisive_win,5918,197.3
Tier1Spam,spam,Black,freeze,speed,decisive_win,4595,153.2
Tier1Spam,spam,Black,freeze,speed,decisive_win,5320,177.3
Tier1Spam,spam,Black,freeze,speed,decisive_win,3792,126.4
Tier1Spam,spam,Black,freeze,speed,decisive_win,6910,230.3
Tier1Spam,spam,Black,freeze,speed,decisive_win,5911,197.0
Tier1Spam,spam,Black,freeze,speed,decisive_win,6722,224.1
Tier1Spam,spam,Black,freeze,wall,decisive_win,6310,210.3
Tier1Spam,spam,Black,freeze,wall,decisive_win,5781,192.7
Tier1Spam,spam,Black,freeze,wall,decisive_win,5354,178.5
Tier1Spam,spam,Black,freeze,wall,decisive_win,5157,171.9
Tier1Spam,spam,Black,freeze,wall,decisive_win,5211,173.7
Tier1Spam,spam,Black,freeze,wall,decisive_win,5970,199.0
Tier1Spam,spam,Black,freeze,wall,decisive_win,5163,172.1
Tier1Spam,spam,Black,freeze,wall,decisive_win,5181,172.7
Tier1Spam,spam,Blue,nuke,heal,decisive_win,4430,147.7
Tier1Spam,spam,Blue,nuke,heal,decisive_win,5327,177.6
Tier1Spam,spam,Blue,nuke,heal,decisive_win,5338,177.9
Tier1Spam,spam,Blue,nuke,heal,decisive_win,6014,200.5
Tier1Spam,spam,Blue,nuke,heal,decisive_win,6665,222.2
Tier1Spam,spam,Blue,nuke,heal,decisive_win,5319,177.3
Tier1Spam,spam,Blue,nuke,heal,decisive_win,5027,167.6
Tier1Spam,spam,Blue,nuke,heal,decisive_win,6888,229.6
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,3915,130.5
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,4235,141.2
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,3539,118.0
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,3995,133.2
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,4275,142.5
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,4302,143.4
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,4438,147.9
Tier1Spam,spam,Blue,nuke,reinforcements,decisive_win,4103,136.8
Tier1Spam,spam,Blue,nuke,speed,decisive_win,6306,210.2
Tier1Spam,spam,Blue,nuke,speed,decisive_win,5969,199.0
Tier1Spam,spam,Blue,nuke,speed,decisive_win,6306,210.2
Tier1Spam,spam,Blue,nuke,speed,decisive_win,6932,231.1
Tier1Spam,spam,Blue,nuke,speed,decisive_win,5517,183.9
Tier1Spam,spam,Blue,nuke,speed,decisive_win,6514,217.1
Tier1Spam,spam,Blue,nuke,speed,decisive_win,5964,198.8
Tier1Spam,spam,Blue,nuke,speed,decisive_win,6514,217.1
Tier1Spam,spam,Blue,nuke,wall,decisive_win,6841,228.0
Tier1Spam,spam,Blue,nuke,wall,decisive_win,5389,179.6
Tier1Spam,spam,Blue,nuke,wall,decisive_win,3753,125.1
Tier1Spam,spam,Blue,nuke,wall,decisive_win,4624,154.1
Tier1Spam,spam,Blue,nuke,wall,decisive_win,4602,153.4
Tier1Spam,spam,Blue,nuke,wall,decisive_win,6065,202.2
Tier1Spam,spam,Blue,nuke,wall,decisive_win,6841,228.0
Tier1Spam,spam,Blue,nuke,wall,decisive_win,5528,184.3
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,6183,206.1
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,4843,161.4
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,2275,75.8
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,5327,177.6
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,8074,269.1
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,5327,177.6
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,5464,182.1
Tier1Spam,spam,Blue,firebomb,heal,decisive_win,5737,191.2
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,3632,121.1
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,4568,152.3
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,3957,131.9
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,3609,120.3
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,3589,119.6
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,3609,120.3
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,3957,131.9
Tier1Spam,spam,Blue,firebomb,reinforcements,decisive_win,3858,128.6
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,6032,201.1
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,4812,160.4
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,6624,220.8
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,6660,222.0
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,4716,157.2
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,4812,160.4
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,6624,220.8
Tier1Spam,spam,Blue,firebomb,speed,decisive_win,6383,212.8
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,6063,202.1
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,5538,184.6
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,4850,161.7
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,6464,215.5
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,4866,162.2
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,6015,200.5
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,4850,161.7
Tier1Spam,spam,Blue,firebomb,wall,decisive_win,6015,200.5
Tier1Spam,spam,Blue,snipe,heal,decisive_win,4460,148.7
Tier1Spam,spam,Blue,snipe,heal,decisive_win,5245,174.8
Tier1Spam,spam,Blue,snipe,heal,decisive_win,4723,157.4
Tier1Spam,spam,Blue,snipe,heal,decisive_win,2280,76.0
Tier1Spam,spam,Blue,snipe,heal,decisive_win,4723,157.4
Tier1Spam,spam,Blue,snipe,heal,decisive_win,2280,76.0
Tier1Spam,spam,Blue,snipe,heal,decisive_win,6134,204.5
Tier1Spam,spam,Blue,snipe,heal,decisive_win,4686,156.2
