BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7819    32669        0      8      8      356    10013    25540  FOELOST=22374 FOESEEN=25540 OWNSEEN=10013  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=97 reach=15606 cred=34106 paid=9236 altkill=15606 altcost=9236 altdiff=0  block=259 wiper=97  | watch=1440 block=1069 wait=855 wipe=491 free=355 critical=257
1     Blue     2           6726        0    11184      8      6      141     1032     1365  FOELOST=3478 FOESEEN=15495 OWNSEEN=1032  GAD p1 off=15 def=5 sig=7 | p2 off=15 def=16 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=31 reach=1733 cred=41969 paid=822 altkill=1733 altcost=822 altdiff=0  block=106 wiper=33 =2  | watch=4665 critical=502 wipe=153 block=105 wait=85
2     White    2           8479        0    75353      8      8      503     4160    26808  FOELOST=23139 FOESEEN=26808 OWNSEEN=4160  GAD p1 off=9 def=6 sig=14 | p2 off=20 def=7 sig=8  DEFGAD p1=wall_2 p2=wall_2  WIPE n=268 reach=12974 cred=145064 paid=3244 altkill=12974 altcost=3244 altdiff=0  wiper=272 block=230 =1  | wipe=1471 watch=1224 wait=835 critical=715 block=476 free=415
3     Green    2           6207        0     8648      5      6      352     5012     8663  FOELOST=6209 FOESEEN=22378 OWNSEEN=5012  GAD p1 off=9 def=8 sig=6 | p2 off=5 def=16 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=223 reach=11027 cred=417064 paid=4883 altkill=11082 altcost=4796 altdiff=15  wiper=223 block=129  | watch=2870 wipe=1208 critical=628 wait=240 outmatched=25 block=23
4     White    1           6701    27049        0      7      5        0        0     1212  FOELOST=1208 FOESEEN=1212 OWNSEEN=34785  GAD p1 off=9 def=20 sig=1 | p2 off=9 def=12 sig=6  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=5256
5     Green    2           8565        0    56000      8      8      642    48343    30805  FOELOST=22866 FOESEEN=30805 OWNSEEN=48343  GAD p1 off=23 def=25 sig=16 | p2 off=11 def=15 sig=13  DEFGAD p1=speed_3 p2=heal_2  WIPE n=241 reach=81016 cred=214971 paid=47942 altkill=81871 altcost=48675 altdiff=4  block=401 wiper=241  | block=1675 wipe=1216 watch=965 wait=965 critical=317 free=50
6     White    1           8467    12000        0      8      8      721    36087    37239  FOELOST=37103 FOESEEN=37239 OWNSEEN=36087  GAD p1 off=12 def=4 sig=15 | p2 off=12 def=27 sig=8  DEFGAD p1=wall_2 p2=speed_3  WIPE n=106 reach=45116 cred=50016 paid=35476 altkill=45116 altcost=35476 altdiff=0  block=612 wiper=108 =1  | block=2222 watch=1270 critical=872 wipe=534 wait=210
7     Orange   1           7579    25879        0      8      8      419     9238    16997  FOELOST=13773 FOESEEN=16997 OWNSEEN=9238  GAD p1 off=14 def=13 sig=15 | p2 off=14 def=1 sig=14  DEFGAD p1=heal_2 p2=heal  WIPE n=280 reach=13041 cred=243097 paid=8821 altkill=13041 altcost=8821 altdiff=0  wiper=280 block=139  | wipe=1397 wait=870 watch=760 critical=496 free=495 block=230
8     Yellow   2           4214        0     1685      4      6       97      638     5421  FOELOST=2673 FOESEEN=8346 OWNSEEN=1038  GAD p1 off=9 def=7 sig=5 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=49 reach=1119 cred=50433 paid=494 altkill=1119 altcost=494 altdiff=0  wiper=49 block=48  | watch=2200 wait=315 critical=294 wipe=247 block=10
9     Orange   1           7678     1500        0      8      6       32      128     5176  FOELOST=5168 FOESEEN=5176 OWNSEEN=68293  GAD p1 off=5 def=23 sig=12 | p2 off=21 def=10 sig=11  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=32  | watch=4688 critical=159
10    Yellow   2           5872        0     1913      7      6      229     3279     4983  FOELOST=4593 FOESEEN=19113 OWNSEEN=3279  GAD p1 off=9 def=18 sig=11 | p2 off=13 def=16 sig=14  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=143 reach=4708 cred=205295 paid=3021 altkill=4630 altcost=2943 altdiff=1  wiper=143 block=86  | watch=2770 wipe=823 critical=338 outmatched=300 wait=220 block=197
11    Orange   1           8209    20669        0      8      8      404     4022    24388  FOELOST=22094 FOESEEN=24388 OWNSEEN=4022  GAD p1 off=23 def=4 sig=7 | p2 off=5 def=5 sig=8  DEFGAD p1=wall_2 p2=wall_2  WIPE n=61 reach=8606 cred=11825 paid=3344 altkill=8606 altcost=3344 altdiff=0  block=342 wiper=61 =1  | watch=2093 block=1362 wait=390 free=380 critical=333 wipe=303
