BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7789    32669        0      8      8      343     8254    26074  FOELOST=23032 FOESEEN=26074 OWNSEEN=8254  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=58 reach=10568 cred=26957 paid=7399 altkill=10574 altcost=7399 altdiff=0  block=285 wiper=58  | wait=1235 watch=1140 block=979 critical=493 free=300 wipe=287
1     Blue     1           8479    55546        0      8      6      313     9744     6284  FOELOST=55790 FOESEEN=55829 OWNSEEN=9744  GAD p1 off=22 def=7 sig=11 | p2 off=22 def=19 sig=16  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=51 reach=26450 cred=132556 paid=9234 altkill=34828 altcost=11420 altdiff=10  block=258 wiper=53 =2  | watch=5225 block=761 critical=576 free=265 wipe=250 outmatched=140 wait=40
2     White    1           8539    18581        0      8      8      496     6576    32588  FOELOST=29836 FOESEEN=32588 OWNSEEN=6576  GAD p1 off=9 def=6 sig=14 | p2 off=23 def=7 sig=10  DEFGAD p1=wall_2 p2=wall_2  WIPE n=119 reach=9577 cred=30186 paid=5092 altkill=9916 altcost=5036 altdiff=10  block=374 wiper=121 =1  | watch=1594 critical=1328 wait=600 wipe=598 free=540 block=538
3     Green    2           6267        0    31634      5      6      232     3598     6415  FOELOST=5829 FOESEEN=29720 OWNSEEN=3598  GAD p1 off=10 def=8 sig=9 | p2 off=7 def=17 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=91 reach=5890 cred=322496 paid=3457 altkill=6093 altcost=3412 altdiff=8  block=141 wiper=91  | watch=2870 wait=820 critical=677 wipe=541 outmatched=75 block=68
4     White    1           6701    27049        0      7      5        0        0     1212  FOELOST=1208 FOESEEN=1212 OWNSEEN=34785  GAD p1 off=9 def=20 sig=1 | p2 off=9 def=12 sig=6  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=5256
5     Green    2           8656        0    53965      8      8      614    12734    32942  FOELOST=24031 FOESEEN=32942 OWNSEEN=12734  GAD p1 off=24 def=25 sig=17 | p2 off=12 def=14 sig=14  DEFGAD p1=speed_3 p2=heal_2  WIPE n=134 reach=18500 cred=102730 paid=12254 altkill=24621 altcost=15230 altdiff=12  block=480 wiper=134  | block=2012 watch=1180 wait=919 wipe=769 critical=388 free=15
6     White    1           8569    20669        0      8      8      430     1347    33223  FOELOST=30698 FOESEEN=33223 OWNSEEN=1347  GAD p1 off=12 def=4 sig=16 | p2 off=10 def=28 sig=2  DEFGAD p1=wall_2 p2=speed_3  WIPE n=20 reach=1380 cred=3828 paid=941 altkill=1713 altcost=1037 altdiff=4  block=407 wiper=22 =1  | watch=2213 block=1427 critical=662 free=595 wait=225 wipe=98
7     Orange   1           7321    49197        0      8      8      440     5871    15543  FOELOST=15539 FOESEEN=15543 OWNSEEN=5871  GAD p1 off=14 def=14 sig=14 | p2 off=13 def=0 sig=13  DEFGAD p1=heal_2 p2=heal  WIPE n=231 reach=5362 cred=144602 paid=5244 altkill=12406 altcost=10838 altdiff=19  wiper=231 block=209  | wipe=1162 critical=1059 watch=871 wait=790 free=70 outmatched=35
8     Yellow   2           4123        0     1685      4      6       77      567     5195  FOELOST=2550 FOESEEN=7715 OWNSEEN=967  GAD p1 off=9 def=7 sig=5 | p2 off=5 def=12 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=35 reach=900 cred=31385 paid=441 altkill=900 altcost=441 altdiff=0  block=42 wiper=35  | watch=2200 wait=360 critical=230 wipe=175 block=10
9     Orange   1           7678     1500        0      8      6       32      128     5176  FOELOST=5168 FOESEEN=5176 OWNSEEN=68293  GAD p1 off=5 def=23 sig=12 | p2 off=21 def=10 sig=11  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=32  | watch=4688 critical=159
10    Yellow   2           6161        0     1877      8      6      234     1938     1783  FOELOST=3887 FOESEEN=27718 OWNSEEN=1938  GAD p1 off=10 def=18 sig=12 | p2 off=12 def=17 sig=15  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=75 reach=2458 cred=97054 paid=1461 altkill=3567 altcost=1887 altdiff=10  block=159 wiper=75  | watch=2860 block=660 wipe=514 critical=436 outmatched=255 wait=215
11    Orange   1           8119    20669        0      8      8      380     2194    23853  FOELOST=21373 FOESEEN=23853 OWNSEEN=2194  GAD p1 off=23 def=4 sig=8 | p2 off=5 def=5 sig=9  DEFGAD p1=wall_2 p2=wall_2  WIPE n=16 reach=1990 cred=4868 paid=1474 altkill=2410 altcost=1722 altdiff=4  block=363 wiper=16 =1  | watch=1473 critical=1010 block=786 wait=780 free=640 wipe=79
12    Yellow   2           6322        0    43500      6      6      292     4094     8225  FOELOST=6026 FOESEEN=31530 OWNSEEN=4094  GAD p1 off=8 def=8 sig=9 | p2 off=6 def=17 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=63 reach=6192 cred=125606 paid=3865 altkill=7247 altcost=4533 altdiff=8  block=229 wiper=63  | watch=2800 critical=1154 wipe=663 wait=305 block=94 outmatched=90
13    Purple   2           5976        0     8405      5      6      204     1504    11922  FOELOST=3476 FOESEEN=11922 OWNSEEN=3829  GAD p1 off=9 def=15 sig=7 | p2 off=9 def=17 sig=5  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=98 reach=3305 cred=504117 paid=1398 altkill=3573 altcost=1477 altdiff=12  block=106 wiper=98  | watch=2816 critical=583 wipe=496 wait=420 outmatched=80
14    Black    2           7379        0     2000      7      7      640    35986    43874  FOELOST=29430 FOESEEN=43874 OWNSEEN=35986  GAD p1 off=13 def=23 sig=13 | p2 off=10 def=4 sig=12  DEFGAD p1=speed_3 p2=heal  WIPE n=235 reach=47657 cred=1512368 paid=35176 altkill=49603 altcost=35756 altdiff=25  block=405 wiper=235  | critical=2075 wipe=1159 watch=470 wait=305 block=19
15    Purple   1           8179    24970        0      8      8      363     2236    26914  FOELOST=24432 FOESEEN=26914 OWNSEEN=2236  GAD p1 off=23 def=6 sig=11 | p2 off=16 def=26 sig=3  DEFGAD p1=wall_2 p2=speed_3  WIPE n=28 reach=1743 cred=5175 paid=1249 altkill=2276 altcost=1490 altdiff=5  block=333 wiper=29 =1  | watch=1493 wait=1090 block=902 critical=772 free=405 wipe=140 outmatched=30
16    Black    1           8539    24970        0      8      8      591     1950    31223  FOELOST=28883 FOESEEN=31223 OWNSEEN=1950  GAD p1 off=12 def=5 sig=15 | p2 off=18 def=11 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=43 reach=2535 cred=9627 paid=1407 altkill=5736 altcost=2421 altdiff=23  block=547 wiper=43 =1  | block=2220 watch=1467 free=560 critical=558 wipe=244 wait=140
17    Purple   1           8089    16719        0      8      7      389    13273    36311  FOELOST=35549 FOESEEN=36311 OWNSEEN=13273  GAD p1 off=15 def=14 sig=16 | p2 off=17 def=24 sig=1  DEFGAD p1=heal_2 p2=speed_3  WIPE n=86 reach=14778 cred=249294 paid=12364 altkill=20200 altcost=16613 altdiff=6  block=303 wiper=86  | watch=1580 block=1159 critical=762 wipe=432 free=425 outmatched=240 wait=135
18    Blue     1          10470    23000        0      8      7      117      234    22911  FOELOST=22907 FOESEEN=22911 OWNSEEN=97814  GAD p1 off=30 def=31 sig=14 | p2 off=26 def=10 sig=13  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=117  | watch=6975 critical=456 block=279 wait=155 outmatched=100 free=85
19    Red      2           5164        0    16925      5      7      147     1087     8329  FOELOST=7149 FOESEEN=22394 OWNSEEN=1087  GAD p1 off=8 def=8 sig=7 | p2 off=5 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=55 reach=1488 cred=96514 paid=719 altkill=1527 altcost=730 altdiff=1  block=92 wiper=55  | watch=2345 critical=733 wait=665 wipe=270
20    Blue     2           8167        0    18500      8      8      512     9630    30437  FOELOST=21317 FOESEEN=30437 OWNSEEN=9630  GAD p1 off=16 def=6 sig=22 | p2 off=10 def=4 sig=11  DEFGAD p1=wall_2 p2=wall_2  WIPE n=106 reach=36258 cred=76544 paid=9230 altkill=41922 altcost=12296 altdiff=22  block=402 wiper=109 =1  | watch=1300 critical=1244 wait=785 block=765 wipe=711
21    Red      2           6141        0     1664      7      7      188    14905     6001  FOELOST=5286 FOESEEN=31936 OWNSEEN=14905  GAD p1 off=16 def=9 sig=9 | p2 off=7 def=17 sig=11  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=31 reach=15965 cred=78790 paid=14591 altkill=15966 altcost=14591 altdiff=0  block=157 wiper=31  | watch=3410 critical=727 wait=560 wipe=153 block=70 outmatched=5
22    Blue     1          11417    18110        0      8      8      855     4747    54131  FOELOST=52752 FOESEEN=54131 OWNSEEN=70477  GAD p1 off=12 def=33 sig=19 | p2 off=19 def=5 sig=17  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=105 reach=15771 cred=198728 paid=3997 altkill=19509 altcost=5566 altdiff=9  block=750 wiper=105  | watch=3320 block=2722 critical=1368 wait=980 wipe=519 free=182 outmatched=20
23    Red      1           8907    10884        0      7      6      312      616     5999  FOELOST=5984 FOESEEN=5999 OWNSEEN=100641  GAD p1 off=15 def=25 sig=13 | p2 off=14 def=14 sig=12  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=44 reach=520 cred=10660 paid=348 altkill=685 altcost=380 altdiff=8  block=268 wiper=44  | watch=4851 wait=1125 block=1081 critical=279 wipe=227
24    Green    1           7699    30982        0      8      8      265     5352    25385  FOELOST=23138 FOESEEN=25385 OWNSEEN=5352  GAD p1 off=15 def=17 sig=15 | p2 off=11 def=25 sig=6  DEFGAD p1=speed_2 p2=speed_3  WIPE n=56 reach=8250 cred=17854 paid=4725 altkill=8931 altcost=5037 altdiff=4  block=209 wiper=56  | watch=1670 block=901 wait=865 free=485 wipe=278 critical=143
25    White    1           8239    10697        0      8      8      392     4111    30192  FOELOST=28766 FOESEEN=30192 OWNSEEN=4111  GAD p1 off=12 def=8 sig=11 | p2 off=23 def=10 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=40 reach=5972 cred=15240 paid=3079 altkill=7000 altcost=3393 altdiff=1  block=349 wiper=42 =1  | block=966 outmatched=905 wait=844 critical=778 watch=614 free=580 wipe=203
26    Green    2           6505        0    12000      7      7      278     3416    32231  FOELOST=17167 FOESEEN=32231 OWNSEEN=3416  GAD p1 off=8 def=9 sig=10 | p2 off=12 def=20 sig=0  DEFGAD p1=heal_2 p2=speed_2  WIPE n=78 reach=7545 cred=192740 paid=2616 altkill=7657 altcost=2638 altdiff=2  block=200 wiper=78  | watch=1184 critical=949 wait=490 wipe=396 block=80 outmatched=60
27    White    2          12562        0    45000      7      7      943     7324    55101  FOELOST=32787 FOESEEN=55101 OWNSEEN=233944  GAD p1 off=19 def=34 sig=25 | p2 off=14 def=18 sig=23  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=147 reach=7675 cred=191711 paid=6528 altkill=9235 altcost=7345 altdiff=7  block=796 wiper=147  | watch=3285 block=3246 wait=1954 critical=1027 wipe=736 outmatched=515
28    Green    2           5190        0     1700      5      7       88     1553     4976  FOELOST=6123 FOESEEN=21107 OWNSEEN=1553  GAD p1 off=14 def=9 sig=5 | p2 off=3 def=17 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=16 reach=1875 cred=4422 paid=1409 altkill=1875 altcost=1409 altdiff=0  block=72 wiper=16  | watch=2809 wait=740 critical=378 wipe=96 block=10
29    Yellow   1           8349    49843        0      8      8      227    16555    29118  FOELOST=28407 FOESEEN=29118 OWNSEEN=16555  GAD p1 off=13 def=22 sig=13 | p2 off=8 def=5 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=44 reach=17999 cred=45035 paid=16372 altkill=20365 altcost=17967 altdiff=17  block=183 wiper=44  | watch=1970 wait=975 free=575 critical=497 block=430 outmatched=365 wipe=217
30    Orange   2           5668        0    12000      5      7      190     2092    14698  FOELOST=19725 FOESEEN=49423 OWNSEEN=2092  GAD p1 off=6 def=5 sig=5 | p2 off=7 def=18 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=49 reach=13182 cred=216374 paid=1956 altkill=17639 altcost=4070 altdiff=14  block=137 wiper=52 =1  | watch=2740 wait=845 critical=687 wipe=246
31    Yellow   1           8269    20669        0      8      8      306     3082    24697  FOELOST=22279 FOESEEN=24697 OWNSEEN=3082  GAD p1 off=23 def=11 sig=9 | p2 off=13 def=1 sig=9  DEFGAD p1=heal_2 p2=wall  WIPE n=55 reach=5652 cred=18564 paid=2580 altkill=5652 altcost=2529 altdiff=1  block=251 wiper=55  | watch=2330 wait=790 critical=747 block=515 wipe=269 free=265
32    Orange   2           7810        0    28475      5      7      256     3910    25774  FOELOST=8298 FOESEEN=25774 OWNSEEN=6790  GAD p1 off=9 def=15 sig=8 | p2 off=13 def=0 sig=19  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=79 reach=5137 cred=25233 paid=3379 altkill=5103 altcost=3330 altdiff=3  block=177 wiper=79  | watch=2770 wait=2025 critical=954 wipe=392 outmatched=215
33    Yellow   1           9019    14544        0      8      8      520     2869    39880  FOELOST=39200 FOESEEN=39880 OWNSEEN=2869  GAD p1 off=12 def=25 sig=16 | p2 off=20 def=29 sig=9  DEFGAD p1=speed_3 p2=speed_3  WIPE n=36 reach=4598 cred=9092 paid=2385 altkill=4699 altcost=2385 altdiff=0  block=484 wiper=36  | block=2341 watch=2218 free=545 wait=220 wipe=177 critical=153
