BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7729    32465        0      8      8      330     5628    43676  FOELOST=35556 FOESEEN=43676 OWNSEEN=5628  GAD p1 off=10 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=53 reach=6852 cred=17438 paid=4797 altkill=6852 altcost=4797 altdiff=0  block=277 wiper=53  | wait=1260 watch=895 critical=774 block=640 free=545 wipe=265
1     Blue     1           8569    20000        0      8      6      226     3685     3948  FOELOST=53393 FOESEEN=65298 OWNSEEN=3685  GAD p1 off=22 def=5 sig=11 | p2 off=23 def=20 sig=16  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=16 reach=12115 cred=19776 paid=3275 altkill=12115 altcost=3275 altdiff=0  block=207 wiper=17 =2  | watch=5595 block=692 free=400 critical=398 outmatched=105 wait=80 wipe=79
2     White    1           8419    18581        0      8      8      445     2420    35141  FOELOST=33092 FOESEEN=35141 OWNSEEN=2420  GAD p1 off=9 def=5 sig=14 | p2 off=23 def=5 sig=10  DEFGAD p1=wall_2 p2=wall_2  WIPE n=66 reach=4826 cred=16098 paid=924 altkill=4826 altcost=924 altdiff=0  block=375 wiper=69 =1  | wait=1545 block=1090 critical=818 watch=733 free=560 wipe=328
3     Green    2           6690        0    11600      7      6      388     2193     6317  FOELOST=6321 FOESEEN=31540 OWNSEEN=2193  GAD p1 off=12 def=11 sig=18 | p2 off=5 def=18 sig=11  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=56 reach=3267 cred=145773 paid=1861 altkill=3292 altcost=1867 altdiff=2  block=332 wiper=56  | watch=2770 critical=1559 wait=505 wipe=289 block=255 outmatched=90
4     White    1           6701    27049        0      7      5        0        0     1212  FOELOST=1208 FOESEEN=1212 OWNSEEN=34785  GAD p1 off=9 def=20 sig=1 | p2 off=9 def=12 sig=6  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=5256
5     Green    2           8580        0    45000      8      8      604    12294    27945  FOELOST=23740 FOESEEN=27945 OWNSEEN=12294  GAD p1 off=23 def=26 sig=17 | p2 off=11 def=13 sig=14  DEFGAD p1=speed_3 p2=heal_2  WIPE n=60 reach=14590 cred=32981 paid=11750 altkill=14620 altcost=11772 altdiff=2  block=544 wiper=60  | block=2329 watch=1130 wait=1045 critical=401 wipe=298
6     White    1           8545    34000        0      8      8      595     3509    35118  FOELOST=33154 FOESEEN=35118 OWNSEEN=3509  GAD p1 off=12 def=4 sig=16 | p2 off=12 def=28 sig=5  DEFGAD p1=wall_2 p2=speed_3  WIPE n=34 reach=6357 cred=11412 paid=2952 altkill=6357 altcost=2952 altdiff=0  block=558 wiper=36 =1  | block=2106 watch=1563 critical=743 free=355 wait=250 wipe=175
7     Orange   2           6920        0     2000      8      7      391     6709    30979  FOELOST=11017 FOESEEN=30979 OWNSEEN=6709  GAD p1 off=12 def=11 sig=13 | p2 off=11 def=0 sig=11  DEFGAD p1=heal_2 p2=heal  WIPE n=51 reach=7530 cred=123526 paid=5689 altkill=7530 altcost=5689 altdiff=0  block=340 wiper=51  | critical=1714 outmatched=570 wait=525 watch=520 wipe=262
8     Yellow   2           4232        0     1685      4      6       97      341     5548  FOELOST=2961 FOESEEN=8473 OWNSEEN=741  GAD p1 off=10 def=7 sig=5 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=11 reach=129 cred=17895 paid=83 altkill=129 altcost=83 altdiff=0  block=86 wiper=11  | watch=2200 critical=480 wait=290 wipe=59 outmatched=45 block=10
9     Orange   1           7678     1500        0      8      6       32      128     5176  FOELOST=5168 FOESEEN=5176 OWNSEEN=68293  GAD p1 off=5 def=23 sig=12 | p2 off=21 def=10 sig=11  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=32  | watch=4688 critical=159
10    Yellow   2           6342        0     2000      8      7      246     3736     6609  FOELOST=6313 FOESEEN=44349 OWNSEEN=3736  GAD p1 off=10 def=18 sig=12 | p2 off=13 def=18 sig=15  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=30 reach=3865 cred=23915 paid=3088 altkill=3865 altcost=3088 altdiff=0  block=216 wiper=30  | watch=2800 critical=1249 block=380 outmatched=310 wait=230 wipe=154
