attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,6,weirdo,3,4,evilnom,5,evilbirdo,13,832,Black,evilminnow,0,1,force_destroyed,774,25.80,False,0,-4,0,4,640,19,1489,1014,0,544,1.0000,181
Black,6,weirdo,3,4,evilnom,5,evilbirdo,7,448,Black,evilminnow,1,1,force_destroyed,390,13.00,False,390,272,780,123,1070,12,1314,1014,0,343,0.5765,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,11,704,Black,evilminnow,2,1,force_destroyed,605,20.17,False,303,216,606,89,988,16,1414,1014,0,475,0.6529,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,11,704,Black,evilminnow,3,1,force_destroyed,603,20.10,False,201,138,402,84,794,15,1389,1014,0,421,0.6000,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,14,896,Black,evilminnow,5,1,force_destroyed,791,26.37,False,159,120,318,43,874,20,1514,1014,0,585,0.8471,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,12,768,Black,evilminnow,8,1,force_destroyed,692,23.07,False,87,74,174,15,788,20,1514,1014,0,588,1.0000,402
Black,7,gorillo,3,4,evilnom,5,evilbirdo,12,768,Black,evilminnow,0,1,castle_destroyed,718,23.93,False,0,0,0,4,0,24,4149,3549,3,-1,1.0000,485
Black,7,gorillo,3,4,evilnom,5,evilbirdo,32,2048,Black,evilminnow,1,1,force_destroyed,1888,62.93,False,1888,1712,3776,322,5260,57,4974,3549,0,1702,0.3606,-1
Black,7,gorillo,3,4,evilnom,5,evilbirdo,45,2880,Black,evilminnow,2,1,force_destroyed,2690,89.67,False,1345,1289,2690,72,5282,85,5674,3549,0,2529,1.0000,2020
Black,7,gorillo,3,4,evilnom,5,evilbirdo,50,3200,Black,evilminnow,3,1,force_destroyed,2985,99.50,False,995,952,1990,51,4956,95,5924,3549,0,2825,1.0000,1827
Black,7,gorillo,3,4,evilnom,5,evilbirdo,23,1472,Black,evilminnow,5,1,castle_destroyed,1342,44.73,False,269,264,538,32,0,45,4674,3549,3,-1,1.0000,884
Black,7,gorillo,3,4,evilnom,5,evilbirdo,18,1152,Black,evilminnow,8,1,castle_destroyed,1064,35.47,False,133,131,266,20,0,36,4449,3549,3,-1,1.0000,576
Blue,6,judge,3,4,eel,5,squid,34,2108,Blue,fishy,0,1,force_destroyed,2026,67.53,False,0,-2,0,2,2046,65,2623,1128,0,1930,1.0000,303
Blue,6,judge,3,4,eel,5,squid,8,496,Blue,fishy,1,1,force_destroyed,464,15.47,False,464,321,1392,150,1840,15,1473,1128,0,448,0.4953,-1
Blue,6,judge,3,4,eel,5,squid,13,806,Blue,fishy,2,1,force_destroyed,765,25.50,False,383,303,1149,80,1895,25,1703,1128,0,725,0.5345,-1
Blue,6,judge,3,4,eel,5,squid,16,992,Blue,fishy,3,1,force_destroyed,956,31.87,False,319,279,957,45,1821,30,1818,1128,0,889,0.7343,-1
Blue,6,judge,3,4,eel,5,squid,18,1116,Blue,fishy,5,1,force_destroyed,1056,35.20,False,212,194,636,27,1636,33,1887,1128,0,966,1.0000,892
Blue,6,judge,3,4,eel,5,squid,15,930,Blue,fishy,8,1,force_destroyed,876,29.20,False,110,95,330,18,1165,27,1749,1128,0,786,1.0000,644
