attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,0,1,castle_destroyed,5620,187.33,False,0,0,0,0,0,0,64,64,1,-1,1.0000,132
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,1,1,force_destroyed,120,4.00,False,120,18,240,102,240,0,64,64,0,120,0.6000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,2,1,force_destroyed,150,5.00,False,75,25,150,50,150,0,64,64,0,150,0.6000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,3,1,force_destroyed,183,6.10,False,61,29,122,32,122,0,64,64,0,183,0.6288,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,5,1,force_destroyed,238,7.93,False,48,29,96,19,96,0,64,64,0,238,0.6800,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,8,1,force_destroyed,276,9.20,False,35,21,70,14,70,0,64,64,0,276,0.6353,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,10,1,force_destroyed,383,12.77,False,39,37,78,9,78,0,64,64,0,383,1.0000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,15,1,force_destroyed,453,15.10,False,31,29,62,6,62,0,64,64,0,453,1.0000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,20,1,force_destroyed,705,23.50,False,36,35,72,4,72,0,64,64,0,705,1.0000,368
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,30,1,force_destroyed,1091,36.37,False,37,36,74,3,74,0,64,64,0,1091,1.0000,160
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,0,1,force_destroyed,245,8.17,False,0,-2,0,2,128,0,64,64,0,245,0.5328,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,Black,evilminnow,1,1,force_destroyed,148,4.93,False,148,17,296,133,360,0,64,64,0,148,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,2,1,force_destroyed,161,5.37,False,81,15,162,67,290,0,64,64,0,161,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,3,1,force_destroyed,193,6.43,False,65,10,130,55,258,0,64,64,0,193,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,5,1,force_destroyed,192,6.40,False,39,6,78,33,206,0,64,64,0,192,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,8,1,force_destroyed,206,6.87,False,26,3,52,23,180,0,64,64,0,206,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,10,1,force_destroyed,218,7.27,False,22,5,44,18,172,0,64,64,0,218,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,15,1,force_destroyed,227,7.57,False,16,4,32,13,160,0,64,64,0,227,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,20,1,force_destroyed,241,8.03,False,13,3,26,10,154,0,64,64,0,241,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,30,1,force_destroyed,219,7.30,False,8,2,16,7,144,0,64,64,0,219,0.5312,-1
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,0,1,castle_destroyed,725,24.17,False,0,0,0,0,0,25,689,64,1,-1,1.0000,132
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,1,1,force_destroyed,206,6.87,False,206,109,412,99,280,5,189,64,0,140,0.6000,-1
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,2,1,force_destroyed,350,11.67,False,175,152,350,42,228,8,264,64,0,228,0.7118,-1
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,3,1,force_destroyed,445,14.83,False,149,144,298,28,182,10,314,64,0,272,0.8294,-1
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,5,1,force_destroyed,596,19.87,False,120,116,240,17,146,13,389,64,0,361,1.0000,257
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,8,1,force_destroyed,835,27.83,False,105,103,210,10,138,19,539,64,0,547,1.0000,175
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,10,1,force_destroyed,1001,33.37,False,101,99,202,8,136,23,639,64,0,671,1.0000,165
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,15,1,castle_destroyed,912,30.40,False,61,61,122,6,0,31,839,64,1,-1,1.0000,143
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,20,1,castle_destroyed,801,26.70,False,41,40,82,4,0,27,739,64,1,-1,1.0000,144
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,Black,evilminnow,30,1,castle_destroyed,744,24.80,False,25,25,50,3,0,25,689,64,1,-1,1.0000,143
Black,5,evilbirdo,1,4,evilnom,5,evilbirdo,5,320,Black,evilminnow,0,1,force_destroyed,731,24.37,False,0,-1,0,2,256,16,464,64,0,459,1.0000,222
