attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,6,weirdo,3,4,evilnom,0,-,0,0,Black,evilminnow,0,1,castle_destroyed,500,16.67,False,0,0,0,0,0,17,1439,1014,3,-1,1.0000,132
Black,6,weirdo,3,4,evilnom,0,-,0,0,Black,evilminnow,1,1,force_destroyed,569,18.97,False,569,473,1138,97,1008,17,1439,1014,0,504,0.6000,-1
Black,6,weirdo,3,4,evilnom,0,-,0,0,Black,evilminnow,2,1,force_destroyed,983,32.77,False,492,484,984,42,812,28,1714,1014,0,811,1.0000,650
Black,6,weirdo,3,4,evilnom,0,-,0,0,Black,evilminnow,3,1,force_destroyed,1304,43.47,False,435,430,870,28,742,38,1964,1014,0,1112,1.0000,433
Black,6,weirdo,3,4,evilnom,0,-,0,0,Black,evilminnow,5,1,castle_destroyed,904,30.13,False,181,179,362,17,0,31,1789,1014,3,-1,1.0000,230
Black,6,weirdo,3,4,evilnom,0,-,0,0,Black,evilminnow,8,1,castle_destroyed,638,21.27,False,80,79,160,10,0,22,1564,1014,3,-1,1.0000,174
Black,6,weirdo,3,4,evilnom,3,eevil,4,52,Black,evilminnow,0,1,castle_destroyed,529,17.63,False,0,0,0,2,0,18,1464,1014,3,-1,1.0000,143
Black,6,weirdo,3,4,evilnom,3,eevil,4,52,Black,evilminnow,1,1,force_destroyed,531,17.70,False,531,421,1062,110,986,16,1414,1014,0,467,0.5788,-1
Black,6,weirdo,3,4,evilnom,3,eevil,6,78,Black,evilminnow,2,1,force_destroyed,893,29.77,False,447,438,894,54,789,25,1639,1014,0,723,1.0000,698
Black,6,weirdo,3,4,evilnom,3,eevil,9,117,Black,evilminnow,3,1,force_destroyed,1206,40.20,False,402,393,804,36,775,35,1889,1014,0,1025,1.0000,444
Black,6,weirdo,3,4,evilnom,3,eevil,8,104,Black,evilminnow,5,1,castle_destroyed,1065,35.50,False,213,210,426,22,0,36,1914,1014,3,-1,1.0000,265
Black,6,weirdo,3,4,evilnom,3,eevil,6,78,Black,evilminnow,8,1,castle_destroyed,778,25.93,False,98,95,196,14,0,26,1664,1014,3,-1,1.0000,217
Black,6,weirdo,3,4,evilnom,4,evilnom,4,100,Black,evilminnow,0,1,castle_destroyed,558,18.60,False,0,0,0,1,0,19,1489,1014,3,-1,1.0000,144
Black,6,weirdo,3,4,evilnom,4,evilnom,4,100,Black,evilminnow,1,1,force_destroyed,563,18.77,False,563,451,1126,117,1072,17,1439,1014,0,486,0.5788,-1
Black,6,weirdo,3,4,evilnom,4,evilnom,5,125,Black,evilminnow,2,1,force_destroyed,732,24.40,False,366,324,732,54,735,21,1539,1014,0,609,0.8765,-1
Black,6,weirdo,3,4,evilnom,4,evilnom,7,175,Black,evilminnow,3,1,force_destroyed,1014,33.80,False,338,326,676,36,720,29,1739,1014,0,854,1.0000,553
Black,6,weirdo,3,4,evilnom,4,evilnom,9,225,Black,evilminnow,5,1,force_destroyed,1229,40.97,False,246,239,492,22,587,35,1889,1014,0,1026,1.0000,319
Black,6,weirdo,3,4,evilnom,4,evilnom,7,175,Black,evilminnow,8,1,castle_destroyed,1009,33.63,False,127,125,254,14,0,34,1864,1014,3,-1,1.0000,232
Black,6,weirdo,3,4,evilnom,5,evilbirdo,6,384,Black,evilminnow,0,1,castle_destroyed,836,27.87,False,0,0,0,1,0,28,1714,1014,3,-1,1.0000,144
Black,6,weirdo,3,4,evilnom,5,evilbirdo,4,256,Black,evilminnow,1,1,force_destroyed,569,18.97,False,569,397,1138,232,1012,14,1364,1014,0,410,0.5765,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,5,320,Black,evilminnow,2,1,force_destroyed,725,24.17,False,363,275,726,91,782,18,1464,1014,0,525,0.7908,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,7,448,Black,evilminnow,3,1,force_destroyed,970,32.33,False,324,278,648,46,916,27,1689,1014,0,798,1.0000,739
Black,6,weirdo,3,4,evilnom,5,evilbirdo,6,384,Black,evilminnow,5,1,force_destroyed,861,28.70,False,173,147,346,26,566,21,1539,1014,0,615,1.0000,523
Black,6,weirdo,3,4,evilnom,5,evilbirdo,7,448,Black,evilminnow,8,1,force_destroyed,972,32.40,False,122,101,244,21,502,25,1639,1014,0,725,1.0000,286
Black,6,weirdo,3,4,evilnom,6,weirdo,6,2028,Black,evilminnow,0,1,force_destroyed,778,25.93,False,0,-3,0,3,1690,22,1564,1014,0,641,1.0000,144
Black,6,weirdo,3,4,evilnom,6,weirdo,3,1014,Black,evilminnow,1,1,force_destroyed,447,14.90,False,447,308,894,142,1800,14,1364,1014,0,393,0.5765,-1
Black,6,weirdo,3,4,evilnom,6,weirdo,4,1352,Black,evilminnow,2,1,force_destroyed,565,18.83,False,283,222,566,61,1884,18,1464,1014,0,531,0.7353,-1
Black,6,weirdo,3,4,evilnom,6,weirdo,5,1690,Black,evilminnow,3,1,force_destroyed,699,23.30,False,233,195,466,50,2118,22,1564,1014,0,642,0.7724,-1
Black,6,weirdo,3,4,evilnom,6,weirdo,5,1690,Black,evilminnow,5,1,force_destroyed,679,22.63,False,136,115,272,37,1574,19,1489,1014,0,554,0.7965,-1
Black,6,weirdo,3,4,evilnom,6,weirdo,5,1690,Black,evilminnow,8,1,force_destroyed,745,24.83,False,94,89,188,14,1844,21,1539,1014,0,610,1.0000,257
Black,7,gorillo,3,4,evilnom,0,-,0,0,Black,evilminnow,0,1,castle_destroyed,535,17.83,False,0,0,0,0,0,18,3999,3549,3,-1,1.0000,132
Black,7,gorillo,3,4,evilnom,0,-,0,0,Black,evilminnow,1,1,force_destroyed,2551,85.03,False,2551,2426,5102,126,5004,84,5649,3549,0,2502,0.4471,-1
Black,7,gorillo,3,4,evilnom,0,-,0,0,Black,evilminnow,2,1,castle_destroyed,4760,158.67,False,2380,2375,4760,42,0,159,7524,3549,3,-1,1.0000,584
Black,7,gorillo,3,4,evilnom,0,-,0,0,Black,evilminnow,3,1,castle_destroyed,1249,41.63,False,417,413,834,28,0,42,4599,3549,3,-1,1.0000,505
Black,7,gorillo,3,4,evilnom,0,-,0,0,Black,evilminnow,5,1,castle_destroyed,720,24.00,False,144,142,288,17,0,24,4149,3549,3,-1,1.0000,324
Black,7,gorillo,3,4,evilnom,0,-,0,0,Black,evilminnow,8,1,castle_destroyed,584,19.47,False,73,72,146,10,0,20,4049,3549,3,-1,1.0000,192
Black,7,gorillo,3,4,evilnom,3,eevil,4,52,Black,evilminnow,0,1,castle_destroyed,554,18.47,False,0,-1,0,2,0,19,4024,3549,3,-1,1.0000,192
Black,7,gorillo,3,4,evilnom,3,eevil,17,221,Black,evilminnow,1,1,force_destroyed,2515,83.83,False,2515,2367,5030,148,5181,83,5624,3549,0,2480,0.4053,-1
Black,7,gorillo,3,4,evilnom,3,eevil,32,416,Black,evilminnow,2,1,force_destroyed,4696,156.53,False,2348,2323,4696,56,4975,153,7374,3549,0,4571,1.0000,1092
Black,7,gorillo,3,4,evilnom,3,eevil,9,117,Black,evilminnow,3,1,castle_destroyed,1278,42.60,False,426,422,852,34,0,43,4624,3549,3,-1,1.0000,739
Black,7,gorillo,3,4,evilnom,3,eevil,6,78,Black,evilminnow,5,1,castle_destroyed,825,27.50,False,165,162,330,21,0,28,4249,3549,3,-1,1.0000,384
Black,7,gorillo,3,4,evilnom,3,eevil,5,65,Black,evilminnow,8,1,castle_destroyed,682,22.73,False,86,83,172,13,0,23,4124,3549,3,-1,1.0000,240
Black,7,gorillo,3,4,evilnom,4,evilnom,4,100,Black,evilminnow,0,1,castle_destroyed,573,19.10,False,0,0,0,1,0,20,4049,3549,3,-1,1.0000,252
Black,7,gorillo,3,4,evilnom,4,evilnom,16,400,Black,evilminnow,1,1,force_destroyed,2355,78.50,False,2355,2217,4710,143,5032,78,5499,3549,0,2316,0.3588,-1
Black,7,gorillo,3,4,evilnom,4,evilnom,22,550,Black,evilminnow,2,1,castle_destroyed,3198,106.60,False,1599,1593,3198,60,0,107,6224,3549,3,-1,1.0000,1126
Black,7,gorillo,3,4,evilnom,4,evilnom,11,275,Black,evilminnow,3,1,castle_destroyed,1627,54.23,False,543,539,1086,39,0,55,4924,3549,3,-1,1.0000,790
Black,7,gorillo,3,4,evilnom,4,evilnom,7,175,Black,evilminnow,5,1,castle_destroyed,927,30.90,False,186,184,372,21,0,31,4324,3549,3,-1,1.0000,567
Black,7,gorillo,3,4,evilnom,4,evilnom,5,125,Black,evilminnow,8,1,castle_destroyed,633,21.10,False,80,77,160,13,0,22,4099,3549,3,-1,1.0000,319
Black,7,gorillo,3,4,evilnom,5,evilbirdo,5,320,Black,evilminnow,0,1,castle_destroyed,603,20.10,False,0,-1,0,2,0,21,4074,3549,3,-1,1.0000,335
Black,7,gorillo,3,4,evilnom,5,evilbirdo,16,1024,Black,evilminnow,1,1,force_destroyed,2313,77.10,False,2313,2180,4626,139,5558,76,5449,3549,0,2267,0.3812,-1
Black,7,gorillo,3,4,evilnom,5,evilbirdo,21,1344,Black,evilminnow,2,1,force_destroyed,3108,103.60,False,1554,1494,3108,67,4198,98,5999,3549,0,2918,1.0000,1234
Black,7,gorillo,3,4,evilnom,5,evilbirdo,19,1216,Black,evilminnow,3,1,castle_destroyed,2815,93.83,False,939,935,1878,44,0,94,5899,3549,3,-1,1.0000,1227
Black,7,gorillo,3,4,evilnom,5,evilbirdo,8,512,Black,evilminnow,5,1,castle_destroyed,1060,35.33,False,212,210,424,27,0,36,4449,3549,3,-1,1.0000,670
Black,7,gorillo,3,4,evilnom,5,evilbirdo,7,448,Black,evilminnow,8,1,castle_destroyed,943,31.43,False,118,116,236,17,0,32,4349,3549,3,-1,1.0000,440
Black,7,gorillo,3,4,evilnom,6,weirdo,5,1690,Black,evilminnow,0,1,castle_destroyed,604,20.13,False,0,-1,0,1,0,21,4074,3549,3,-1,1.0000,376
Black,7,gorillo,3,4,evilnom,6,weirdo,10,3380,Black,evilminnow,1,1,force_destroyed,1487,49.57,False,1487,1342,2974,154,6314,49,4774,3549,0,1467,0.3324,-1
Black,7,gorillo,3,4,evilnom,6,weirdo,19,6422,Black,evilminnow,2,1,force_destroyed,2845,94.83,False,1423,1409,2846,80,9132,91,5824,3549,0,2710,1.0000,2014
Black,7,gorillo,3,4,evilnom,6,weirdo,11,3718,Black,evilminnow,3,1,castle_destroyed,1645,54.83,False,549,545,1098,45,0,55,4924,3549,3,-1,1.0000,1033
Black,7,gorillo,3,4,evilnom,6,weirdo,7,2366,Black,evilminnow,5,1,castle_destroyed,1045,34.83,False,209,207,418,27,0,35,4424,3549,3,-1,1.0000,580
Black,7,gorillo,3,4,evilnom,6,weirdo,5,1690,Black,evilminnow,8,1,castle_destroyed,745,24.83,False,94,92,188,17,0,25,4174,3549,3,-1,1.0000,440
Blue,6,judge,3,4,eel,0,-,0,0,Blue,fishy,0,1,castle_destroyed,664,22.13,False,0,0,0,0,0,23,1657,1128,3,-1,1.0000,123
Blue,6,judge,3,4,eel,0,-,0,0,Blue,fishy,1,1,force_destroyed,1260,42.00,False,1260,1164,3780,102,3585,40,2048,1128,0,1195,0.6012,-1
Blue,6,judge,3,4,eel,0,-,0,0,Blue,fishy,2,1,force_destroyed,2327,77.57,False,1164,1157,3492,42,3267,73,2807,1128,0,2177,1.0000,608
Blue,6,judge,3,4,eel,0,-,0,0,Blue,fishy,3,1,castle_destroyed,1869,62.30,False,623,619,1869,28,0,63,2577,1128,3,-1,1.0000,444
Blue,6,judge,3,4,eel,0,-,0,0,Blue,fishy,5,1,castle_destroyed,1454,48.47,False,291,289,873,17,0,49,2255,1128,3,-1,1.0000,244
Blue,6,judge,3,4,eel,0,-,0,0,Blue,fishy,8,1,castle_destroyed,916,30.53,False,115,113,345,10,0,31,1841,1128,3,-1,1.0000,176
Blue,6,judge,3,4,eel,3,leggo,5,60,Blue,fishy,0,1,castle_destroyed,712,23.73,False,0,0,0,1,0,24,1680,1128,3,-1,1.0000,183
Blue,6,judge,3,4,eel,3,leggo,8,96,Blue,fishy,1,1,force_destroyed,1150,38.33,False,1150,1011,3450,139,3408,37,1979,1128,0,1104,0.5435,-1
Blue,6,judge,3,4,eel,3,leggo,15,180,Blue,fishy,2,1,force_destroyed,2164,72.13,False,1082,1075,3246,52,3204,68,2692,1128,0,2023,1.0000,880
Blue,6,judge,3,4,eel,3,leggo,18,216,Blue,fishy,3,1,force_destroyed,2665,88.83,False,889,883,2667,36,2715,84,3060,1128,0,2509,1.0000,594
Blue,6,judge,3,4,eel,3,leggo,12,144,Blue,fishy,5,1,castle_destroyed,1784,59.47,False,357,355,1071,21,0,60,2508,1128,3,-1,1.0000,357
Blue,6,judge,3,4,eel,3,leggo,8,96,Blue,fishy,8,1,castle_destroyed,1180,39.33,False,148,146,444,14,0,40,2048,1128,3,-1,1.0000,251
Blue,6,judge,3,4,eel,4,eel,6,138,Blue,fishy,0,1,castle_destroyed,840,28.00,False,0,0,0,1,0,28,1772,1128,3,-1,1.0000,183
Blue,6,judge,3,4,eel,4,eel,8,184,Blue,fishy,1,1,force_destroyed,1137,37.90,False,1137,986,3411,161,3409,36,1956,1128,0,1075,0.5410,-1
Blue,6,judge,3,4,eel,4,eel,14,322,Blue,fishy,2,1,force_destroyed,1965,65.50,False,983,953,2949,53,3017,61,2531,1128,0,1811,1.0000,962
Blue,6,judge,3,4,eel,4,eel,18,414,Blue,fishy,3,1,force_destroyed,2577,85.90,False,859,844,2577,38,2815,81,2991,1128,0,2423,1.0000,672
Blue,6,judge,3,4,eel,4,eel,12,276,Blue,fishy,5,1,castle_destroyed,1790,59.67,False,358,356,1074,23,0,60,2508,1128,3,-1,1.0000,415
Blue,6,judge,3,4,eel,4,eel,9,207,Blue,fishy,8,1,castle_destroyed,1308,43.60,False,164,162,492,15,0,44,2140,1128,3,-1,1.0000,299
Blue,6,judge,3,4,eel,5,squid,10,620,Blue,fishy,0,1,castle_destroyed,1439,47.97,False,0,0,0,1,0,48,2232,1128,3,-1,1.0000,243
Blue,6,judge,3,4,eel,5,squid,4,248,Blue,fishy,1,1,force_destroyed,582,19.40,False,582,444,1746,162,1919,19,1565,1128,0,557,0.4953,-1
Blue,6,judge,3,4,eel,5,squid,5,310,Blue,fishy,2,1,force_destroyed,645,21.50,False,323,272,969,66,1148,20,1588,1128,0,600,0.5691,-1
Blue,6,judge,3,4,eel,5,squid,10,620,Blue,fishy,3,1,force_destroyed,1385,46.17,False,462,442,1386,38,1830,43,2117,1128,0,1271,1.0000,702
Blue,6,judge,3,4,eel,5,squid,16,992,Blue,fishy,5,1,force_destroyed,2296,76.53,False,460,456,1380,23,2232,73,2807,1128,0,2168,1.0000,377
