attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,0,1,castle_destroyed,5620,187.33,False,0,0,0,0,0,0,64,64,1,-1,1.0000,132
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,240,1,castle_destroyed,6006,200.20,False,26,25,52,1,0,0,64,64,1,-1,1.0000,134
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,180,1,force_destroyed,6131,204.37,False,35,34,70,1,70,0,64,64,0,6131,1.0000,134
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,120,1,force_destroyed,4811,160.37,False,41,40,82,1,82,0,64,64,0,4811,1.0000,149
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,90,1,force_destroyed,3071,102.37,False,35,35,70,1,70,0,64,64,0,3071,1.0000,136
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,60,1,force_destroyed,1931,64.37,False,33,32,66,2,66,0,64,64,0,1931,1.0000,150
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,45,1,force_destroyed,1683,56.10,False,38,37,76,2,76,0,64,64,0,1683,1.0000,136
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,30,1,force_destroyed,1091,36.37,False,37,36,74,3,74,0,64,64,0,1091,1.0000,160
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,24,1,force_destroyed,889,29.63,False,38,36,76,4,76,0,64,64,0,889,1.0000,224
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,20,1,force_destroyed,705,23.50,False,36,35,72,4,72,0,64,64,0,705,1.0000,368
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,15,1,force_destroyed,453,15.10,False,31,29,62,6,62,0,64,64,0,453,1.0000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,12,1,force_destroyed,380,12.67,False,32,31,64,8,64,0,64,64,0,380,0.9882,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,10,1,force_destroyed,383,12.77,False,39,37,78,9,78,0,64,64,0,383,1.0000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,8,1,force_destroyed,276,9.20,False,35,21,70,14,70,0,64,64,0,276,0.6353,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,6,1,force_destroyed,260,8.67,False,44,28,88,16,88,0,64,64,0,260,0.7235,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,5,1,force_destroyed,238,7.93,False,48,29,96,19,96,0,64,64,0,238,0.6800,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,4,1,force_destroyed,203,6.77,False,51,25,102,26,102,0,64,64,0,203,0.6118,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,3,1,force_destroyed,183,6.10,False,61,29,122,32,122,0,64,64,0,183,0.6288,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,2,1,force_destroyed,150,5.00,False,75,25,150,50,150,0,64,64,0,150,0.6000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,Black,evilminnow,1,1,force_destroyed,120,4.00,False,120,18,240,102,240,0,64,64,0,120,0.6000,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,0,1,force_destroyed,245,8.17,False,0,-2,0,2,128,0,64,64,0,245,0.5328,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,240,1,force_destroyed,248,8.27,False,2,-1,4,3,132,0,64,64,0,248,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,180,1,force_destroyed,248,8.27,False,2,-1,4,3,132,0,64,64,0,248,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,120,1,force_destroyed,248,8.27,False,3,0,6,4,134,0,64,64,0,248,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,90,1,force_destroyed,246,8.20,False,3,0,6,4,134,0,64,64,0,246,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,60,1,force_destroyed,251,8.37,False,5,1,10,5,138,0,64,64,0,251,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,45,1,force_destroyed,212,7.07,False,5,1,10,5,138,0,64,64,0,212,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,30,1,force_destroyed,219,7.30,False,8,2,16,7,144,0,64,64,0,219,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,24,1,force_destroyed,229,7.63,False,10,3,20,9,148,0,64,64,0,229,0.5312,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,2,128,Black,evilminnow,20,1,force_destroyed,241,8.03,False,13,3,26,10,154,0,64,64,0,241,0.5312,-1
