attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,anchor_delay,anchor_max,anchors_alive,anchor_first_tick,anchor_delayed_ticks,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,0,1,0,0,0,Black,evilminnow,0,1,force_destroyed,270,9.00,False,0,0,0,1,64,0,64,64,0,270,0.5328,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,0,1,1,0,0,Black,evilminnow,1,1,force_destroyed,148,4.93,False,148,17,296,133,360,0,64,64,0,148,0.5312,-1
Black,5,evilbirdo,1,0,-,5,squid,1,62,0,1,0,0,0,Blue,fishy,0,1,force_destroyed,281,9.37,False,0,0,0,1,62,0,64,64,0,281,0.5506,-1
Black,5,evilbirdo,1,0,-,5,squid,1,62,0,1,1,0,0,Blue,fishy,1,1,force_destroyed,159,5.30,False,159,33,477,139,539,0,64,64,0,159,0.5506,-1
Black,5,evilbirdo,1,0,-,5,gecko,1,46,0,1,0,0,0,Green,minisnecko,0,1,castle_destroyed,5782,192.73,False,0,0,0,1,0,0,64,64,1,-1,1.0000,294
Black,5,evilbirdo,1,0,-,5,gecko,1,46,0,1,1,0,0,Green,minisnecko,1,1,force_destroyed,159,5.30,False,159,56,159,112,205,0,64,64,0,159,0.5506,-1
Black,5,evilbirdo,1,0,-,5,scott,1,25,0,1,0,0,0,Orange,phil,0,1,castle_destroyed,5699,189.97,False,0,0,0,1,0,0,64,64,1,-1,1.0000,211
Black,5,evilbirdo,1,0,-,5,scott,1,25,0,1,1,0,0,Orange,phil,1,1,force_destroyed,140,4.67,False,140,32,560,122,585,0,64,64,0,140,0.5009,-1
Black,5,evilbirdo,1,0,-,5,bit,1,91,0,1,1,0,0,Purple,cant,0,1,force_destroyed,168,5.60,False,0,-1,0,1,91,0,64,64,0,168,0.5506,-1
Black,5,evilbirdo,1,0,-,5,bit,1,91,0,1,1,0,0,Purple,cant,1,1,force_destroyed,157,5.23,False,157,1,157,156,248,0,64,64,0,157,0.5506,-1
