BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7623    34000        0      8      8      340    11737    24596  FOELOST=24286 FOESEEN=24596 OWNSEEN=11737  GAD p1 off=10 def=24 sig=15 | p2 off=14 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=103 reach=17587 cred=37120 paid=11026 altkill=18148 altcost=11416 altdiff=5  block=237 wiper=103  | watch=1257 wait=1075 critical=632 block=582 wipe=511 free=210
1     Blue     2           6726        0    11184      8      6      141     1032     1365  FOELOST=3478 FOESEEN=15495 OWNSEEN=1032  GAD p1 off=15 def=5 sig=7 | p2 off=15 def=16 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=31 reach=1631 cred=41969 paid=822 altkill=1733 altcost=822 altdiff=0  block=106 wiper=33 =2  | watch=4665 critical=502 wipe=153 block=105 wait=85
2     White    2           8325        0    21500      8      8      568    52119    34278  FOELOST=24375 FOESEEN=34278 OWNSEEN=52119  GAD p1 off=7 def=6 sig=14 | p2 off=21 def=4 sig=8  DEFGAD p1=wall_2 p2=wall_2  WIPE n=187 reach=86258 cred=131230 paid=50619 altkill=87919 altcost=50619 altdiff=0  block=379 wiper=188 =1  | watch=1364 block=1086 wipe=944 critical=853 wait=680 free=55
3     Green    2           6077        0     8648      5      6      325     4824     8263  FOELOST=6114 FOESEEN=21978 OWNSEEN=4824  GAD p1 off=9 def=7 sig=7 | p2 off=5 def=16 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=183 reach=8819 cred=169935 paid=4682 altkill=9326 altcost=4711 altdiff=13  wiper=183 block=142  | watch=2795 wipe=1006 critical=714 wait=305 block=33 outmatched=10
4     White    1           6701    27049        0      7      5        0        0     1212  FOELOST=1208 FOESEEN=1212 OWNSEEN=34785  GAD p1 off=9 def=20 sig=1 | p2 off=9 def=12 sig=6  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=5256
5     Green    2           9979        0    17000      8      8      709    19195    34668  FOELOST=33268 FOESEEN=34668 OWNSEEN=19195  GAD p1 off=27 def=27 sig=19 | p2 off=13 def=15 sig=16  DEFGAD p1=speed_3 p2=heal_2  WIPE n=134 reach=26790 cred=87784 paid=18620 altkill=27964 altcost=18757 altdiff=5  block=575 wiper=134  | block=2551 watch=2020 wait=770 wipe=655 critical=331 free=270
6     White    2           9409        0    78000      8      8      716    34594    50644  FOELOST=47516 FOESEEN=50644 OWNSEEN=34594  GAD p1 off=13 def=4 sig=17 | p2 off=13 def=30 sig=7  DEFGAD p1=wall_2 p2=speed_3  WIPE n=99 reach=56198 cred=84649 paid=33981 altkill=56201 altcost=33981 altdiff=0  block=614 wiper=101 =1  | block=2117 watch=1583 critical=1071 wipe=646 free=445 wait=190
7     Orange   1           7486    56000        0      8      7      350    16821    12454  FOELOST=11747 FOESEEN=12454 OWNSEEN=16821  GAD p1 off=14 def=15 sig=15 | p2 off=14 def=1 sig=13  DEFGAD p1=heal_2 p2=heal  WIPE n=242 reach=24152 cred=196365 paid=16497 altkill=27944 altcost=18638 altdiff=2  wiper=242 block=108  | wipe=1211 watch=1081 wait=945 critical=451 free=355 block=110
8     Yellow   2           4238        0     1685      4      6       97      648     5512  FOELOST=2650 FOESEEN=8437 OWNSEEN=1048  GAD p1 off=9 def=7 sig=5 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=61 reach=1647 cred=60361 paid=540 altkill=1857 altcost=565 altdiff=2  wiper=61 block=36  | watch=2200 wait=310 wipe=305 critical=265 block=10
9     Orange   1           7678     1500        0      8      6       32      128     5176  FOELOST=5168 FOESEEN=5176 OWNSEEN=68293  GAD p1 off=5 def=23 sig=12 | p2 off=21 def=10 sig=11  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=32  | watch=4688 critical=159
10    Yellow   2           9280        0    67000      8      6      720   136219    10670  FOELOST=83561 FOESEEN=107435 OWNSEEN=136219  GAD p1 off=16 def=30 sig=18 | p2 off=23 def=23 sig=17  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=223 reach=219104 cred=1333457 paid=134728 altkill=194214 altcost=53337 altdiff=10  block=497 wiper=223  | watch=3205 critical=1980 wipe=1211 block=955 wait=320 outmatched=254 free=120
11    Orange   1           8209    20669        0      8      8      356     3600    24283  FOELOST=22609 FOESEEN=24283 OWNSEEN=3600  GAD p1 off=23 def=4 sig=8 | p2 off=5 def=5 sig=8  DEFGAD p1=wall_2 p2=wall_2  WIPE n=50 reach=6035 cred=6917 paid=2996 altkill=6035 altcost=2996 altdiff=0  block=305 wiper=50 =1  | watch=2098 block=1167 wait=675 critical=338 free=335 wipe=247
