BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7519    21000        0      8      8      234     4420    21410  FOELOST=18352 FOESEEN=21410 OWNSEEN=4420  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=3 sig=9  DEFGAD p1=speed_3 p2=wall_2  WIPE n=34 reach=8556 cred=16612 paid=3820 altkill=9360 altcost=4155 altdiff=2  block=200 wiper=34  | watch=1675 wait=960 block=610 critical=421 free=295 wipe=167 outmatched=40
1     Blue     1           8569    20000        0      8      6      224     3619     3948  FOELOST=53395 FOESEEN=65298 OWNSEEN=3619  GAD p1 off=22 def=5 sig=11 | p2 off=23 def=20 sig=16  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=15 reach=12046 cred=19719 paid=3211 altkill=12046 altcost=3211 altdiff=0  block=206 wiper=16 =2  | watch=5605 block=702 free=400 critical=378 outmatched=105 wait=85 wipe=74
2     White    1           8389    18581        0      8      8      281     1478    31455  FOELOST=28813 FOESEEN=31455 OWNSEEN=1478  GAD p1 off=8 def=6 sig=14 | p2 off=23 def=7 sig=10  DEFGAD p1=wall_2 p2=wall_2  WIPE n=39 reach=1896 cred=6147 paid=534 altkill=1896 altcost=534 altdiff=0  block=238 wiper=42 =1  | watch=1998 wait=985 critical=814 free=610 block=447 wipe=194
3     Green    2           6560        0    11600      7      6      387     3138     8971  FOELOST=6957 FOESEEN=32276 OWNSEEN=3138  GAD p1 off=11 def=10 sig=18 | p2 off=5 def=17 sig=10  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=50 reach=5015 cred=145638 paid=2801 altkill=5040 altcost=2801 altdiff=0  block=337 wiper=50  | watch=2785 critical=1411 wait=480 block=404 wipe=254 outmatched=5
4     White    1           6701    27049        0      7      5        0        0     1212  FOELOST=1208 FOESEEN=1212 OWNSEEN=34785  GAD p1 off=9 def=20 sig=1 | p2 off=9 def=12 sig=6  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=5256
5     Green    2           8609        0    23000      8      8      651     9480    33854  FOELOST=22641 FOESEEN=33854 OWNSEEN=9480  GAD p1 off=23 def=26 sig=17 | p2 off=12 def=14 sig=14  DEFGAD p1=speed_3 p2=heal_2  WIPE n=65 reach=15484 cred=87616 paid=8894 altkill=16324 altcost=9577 altdiff=2  block=586 wiper=65  | block=2198 wait=930 watch=844 critical=840 wipe=323 free=95 outmatched=5
6     White    1           8689    24970        0      8      8      594     3216    34757  FOELOST=31993 FOESEEN=34757 OWNSEEN=3216  GAD p1 off=12 def=4 sig=16 | p2 off=12 def=28 sig=5  DEFGAD p1=wall_2 p2=speed_3  WIPE n=30 reach=5615 cred=11001 paid=2656 altkill=5615 altcost=2656 altdiff=0  block=561 wiper=32 =1  | block=2101 watch=1503 critical=758 free=585 wait=240 wipe=150
7     Orange   1           7278    36661        0      8      8      245     7586    19731  FOELOST=19723 FOESEEN=19731 OWNSEEN=7586  GAD p1 off=14 def=13 sig=14 | p2 off=12 def=0 sig=12  DEFGAD p1=heal_2 p2=heal  WIPE n=41 reach=7198 cred=26229 paid=6974 altkill=7202 altcost=6974 altdiff=0  block=204 wiper=41  | watch=985 outmatched=910 critical=903 wait=540 free=268 wipe=202 block=145
8     Yellow   2           4232        0     1685      4      6       98      344     5527  FOELOST=2967 FOESEEN=8452 OWNSEEN=744  GAD p1 off=10 def=7 sig=5 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=10 reach=126 cred=15259 paid=80 altkill=126 altcost=80 altdiff=0  block=88 wiper=10  | watch=2200 critical=485 wait=290 wipe=54 outmatched=45 block=10
9     Orange   1           7678     1500        0      8      6       32      128     5176  FOELOST=5168 FOESEEN=5176 OWNSEEN=68293  GAD p1 off=5 def=23 sig=12 | p2 off=21 def=10 sig=11  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=32  | watch=4688 critical=159
10    Yellow   2           6342        0     2000      8      7      245     3733     6609  FOELOST=6313 FOESEEN=44349 OWNSEEN=3733  GAD p1 off=10 def=18 sig=12 | p2 off=13 def=18 sig=15  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=30 reach=3860 cred=23929 paid=3088 altkill=3866 altcost=3088 altdiff=0  block=215 wiper=30  | watch=2800 critical=1244 block=380 outmatched=310 wait=235 wipe=154
