attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,0,1,castle_destroyed,762,25.40,False,0,0,0,0,0,26,650,0,0,-1,0.0000,132
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,1,1,survived_horizon,36000,1200.00,True,36000,35823,72000,185,0,1200,30000,0,0,-1,0.0000,-1
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,2,1,survived_horizon,36000,1200.00,True,18000,17993,36000,42,0,1200,30000,0,0,-1,0.0000,-1
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,3,1,castle_destroyed,15580,519.33,False,5194,5190,10388,28,0,520,13000,0,0,-1,0.0000,589
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,5,1,castle_destroyed,3680,122.67,False,736,734,1472,17,0,123,3075,0,0,-1,0.0000,324
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,10,1,castle_destroyed,1376,45.87,False,138,137,276,8,0,46,1150,0,0,-1,0.0000,174
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,15,1,castle_destroyed,1004,33.47,False,67,67,134,6,0,34,850,0,0,-1,0.0000,144
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,20,1,castle_destroyed,864,28.80,False,44,43,88,4,0,29,725,0,0,-1,0.0000,144
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,30,1,castle_destroyed,782,26.07,False,27,26,54,3,0,27,675,0,0,-1,0.0000,143
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,45,1,castle_destroyed,770,25.67,False,18,17,36,2,0,26,650,0,0,-1,0.0000,136
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,60,1,castle_destroyed,767,25.57,False,13,13,26,2,0,26,650,0,0,-1,0.0000,141
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,90,1,castle_destroyed,765,25.50,False,9,9,18,1,0,26,650,0,0,-1,0.0000,135
Black,5,evilbirdo,0,4,evilnom,Black,evilminnow,120,1,castle_destroyed,765,25.50,False,7,7,14,1,0,26,650,0,0,-1,0.0000,140
Black,5,evilbirdo,1,0,-,Black,evilminnow,0,1,castle_destroyed,5620,187.33,False,0,0,0,0,0,0,64,64,1,-1,1.0000,132
Black,5,evilbirdo,1,0,-,Black,evilminnow,1,1,force_destroyed,120,4.00,False,120,18,240,102,240,0,64,64,0,120,0.6000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,2,1,force_destroyed,150,5.00,False,75,25,150,50,150,0,64,64,0,150,0.6000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,3,1,force_destroyed,183,6.10,False,61,29,122,32,122,0,64,64,0,183,0.6288,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,5,1,force_destroyed,238,7.93,False,48,29,96,19,96,0,64,64,0,238,0.6800,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,10,1,force_destroyed,383,12.77,False,39,37,78,9,78,0,64,64,0,383,1.0000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,15,1,force_destroyed,453,15.10,False,31,29,62,6,62,0,64,64,0,453,1.0000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,20,1,force_destroyed,705,23.50,False,36,35,72,4,72,0,64,64,0,705,1.0000,368
Black,5,evilbirdo,1,0,-,Black,evilminnow,30,1,force_destroyed,1091,36.37,False,37,36,74,3,74,0,64,64,0,1091,1.0000,160
Black,5,evilbirdo,1,0,-,Black,evilminnow,45,1,force_destroyed,1683,56.10,False,38,37,76,2,76,0,64,64,0,1683,1.0000,136
Black,5,evilbirdo,1,0,-,Black,evilminnow,60,1,force_destroyed,1931,64.37,False,33,32,66,2,66,0,64,64,0,1931,1.0000,150
Black,5,evilbirdo,1,0,-,Black,evilminnow,90,1,force_destroyed,3071,102.37,False,35,35,70,1,70,0,64,64,0,3071,1.0000,136
