attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,5,evilbirdo,1,0,-,Black,evilminnow,0,1,castle_destroyed,5620,187.33,False,0,0,0,0,0,0,64,64,1,-1,1.0000,132
Black,5,evilbirdo,1,0,-,Black,evilminnow,1,1,defender_won,633,21.10,False,120,18,240,102,240,0,64,64,0,120,0.6000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,2,1,defender_won,1074,35.80,False,75,25,150,50,150,0,64,64,0,150,0.6000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,3,1,defender_won,1561,52.03,False,61,29,122,32,122,0,64,64,0,183,0.6288,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,5,1,defender_won,2480,82.67,False,48,29,96,19,96,0,64,64,0,238,0.6800,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,10,1,defender_won,20668,688.93,True,39,37,78,9,78,0,64,64,0,383,1.0000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,15,1,defender_won,20739,691.30,True,31,29,62,6,62,0,64,64,0,453,1.0000,-1
Black,5,evilbirdo,1,0,-,Black,evilminnow,30,1,force_destroyed_horizon,36000,1200.00,True,37,36,74,3,74,0,64,64,0,1091,1.0000,160
Black,5,evilbirdo,1,4,evilnom,Black,evilminnow,0,1,castle_destroyed,725,24.17,False,0,0,0,0,0,25,689,64,1,-1,1.0000,132
Black,5,evilbirdo,1,4,evilnom,Black,evilminnow,1,1,defender_won,1590,53.00,False,140,109,280,91,280,5,189,64,0,140,0.6000,-1
Black,5,evilbirdo,1,4,evilnom,Black,evilminnow,2,1,castle_destroyed,2653,88.43,False,114,114,228,42,228,8,264,64,0,228,0.7118,315
Black,5,evilbirdo,1,4,evilnom,Black,evilminnow,3,1,castle_destroyed,1749,58.30,False,91,91,182,28,182,10,314,64,0,272,0.8294,324
