BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7489    28734        0      8      8      215     4207    23161  FOELOST=20479 FOESEEN=23161 OWNSEEN=4207  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=32 reach=9306 cred=17516 paid=3658 altkill=9463 altcost=3736 altdiff=1  block=183 wiper=32  | watch=1645 wait=945 block=553 critical=395 free=375 wipe=163 outmatched=65
1     Blue     2           7740        0     1868      8      6      236     2135     2894  FOELOST=28566 FOESEEN=40634 OWNSEEN=2135  GAD p1 off=19 def=6 sig=10 | p2 off=19 def=18 sig=15  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=13 reach=7336 cred=26804 paid=1701 altkill=7336 altcost=1701 altdiff=0  block=220 wiper=14 =2  | watch=5010 block=604 critical=545 outmatched=110 free=100 wait=85 wipe=64
2     White    1           8232    32500        0      8      8      332     5077    30307  FOELOST=27741 FOESEEN=30307 OWNSEEN=5077  GAD p1 off=9 def=7 sig=14 | p2 off=22 def=5 sig=9  DEFGAD p1=wall_2 p2=wall_2  WIPE n=44 reach=7540 cred=18154 paid=3953 altkill=7564 altcost=3953 altdiff=0  block=283 wiper=48 =1  | watch=1653 critical=1157 wait=1015 free=562 block=279 wipe=219
3     Green    2           6925        0    10100      7      6      446     2655    10852  FOELOST=6917 FOESEEN=39911 OWNSEEN=2655  GAD p1 off=12 def=11 sig=18 | p2 off=6 def=18 sig=11  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=57 reach=3866 cred=237952 paid=2266 altkill=3936 altcost=2260 altdiff=2  block=389 wiper=57  | watch=2840 critical=1801 wait=375 block=351 wipe=287 outmatched=50
4     White    1           6701    27049        0      7      5        0        0     1212  FOELOST=1208 FOESEEN=1212 OWNSEEN=34785  GAD p1 off=9 def=20 sig=1 | p2 off=9 def=12 sig=6  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=5256
5     Green    1           9995     4232        0      8      8      900    22145   119275  FOELOST=119275 FOESEEN=119275 OWNSEEN=22145  GAD p1 off=28 def=31 sig=21 | p2 off=14 def=15 sig=17  DEFGAD p1=speed_3 p2=heal_2  WIPE n=54 reach=31913 cred=375151 paid=21299 altkill=72756 altcost=57484 altdiff=5  block=846 wiper=54  | critical=2621 block=2021 wait=904 watch=775 wipe=266 outmatched=20
6     White    1           8569    20669        0      8      8      405     1232    33251  FOELOST=29768 FOESEEN=33251 OWNSEEN=1232  GAD p1 off=12 def=4 sig=16 | p2 off=10 def=27 sig=1  DEFGAD p1=wall_2 p2=speed_3  WIPE n=12 reach=1192 cred=1911 paid=843 altkill=1245 altcost=843 altdiff=0  block=390 wiper=14 =1  | watch=2403 block=1372 critical=657 free=510 wait=220 wipe=58
7     Orange   2           6471        0     2000      8      7      271     3888    26165  FOELOST=7677 FOESEEN=26165 OWNSEEN=3888  GAD p1 off=11 def=11 sig=12 | p2 off=10 def=0 sig=11  DEFGAD p1=heal_2 p2=heal  WIPE n=50 reach=4473 cred=168564 paid=3225 altkill=4481 altcost=3225 altdiff=0  block=221 wiper=50  | critical=1133 outmatched=690 wait=555 watch=520 wipe=247
8     Yellow   2           4232        0     1685      4      6       98      344     5527  FOELOST=2967 FOESEEN=8452 OWNSEEN=744  GAD p1 off=10 def=7 sig=5 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=10 reach=126 cred=15259 paid=80 altkill=126 altcost=80 altdiff=0  block=88 wiper=10  | watch=2200 critical=485 wait=290 wipe=54 outmatched=45 block=10
9     Orange   1           7678     1500        0      8      6       32      128     5176  FOELOST=5168 FOESEEN=5176 OWNSEEN=68293  GAD p1 off=5 def=23 sig=12 | p2 off=21 def=10 sig=11  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=32  | watch=4688 critical=159
10    Yellow   2           6825        0     2000      8      7      336     8228     3859  FOELOST=22295 FOESEEN=53404 OWNSEEN=8228  GAD p1 off=11 def=21 sig=13 | p2 off=15 def=19 sig=16  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=34 reach=15700 cred=145684 paid=7322 altkill=15701 altcost=7322 altdiff=0  block=302 wiper=34  | watch=2845 critical=1239 block=654 outmatched=415 wait=280 wipe=168
