BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      2           6011        0     2000      8      6      263     1269    18004  FOELOST=2274 FOESEEN=18004 OWNSEEN=1269  GAD p1 off=7 def=17 sig=11 | p2 off=9 def=1 sig=6  DEFGAD p1=speed_2 p2=wall  WIPE n=16 reach=1123 cred=81822 paid=528 altkill=1179 altcost=528 altdiff=0  block=247 wiper=16  | critical=1389 watch=530 wait=320 block=208 outmatched=135 wipe=80
1     Blue     1           8915    59047        0      8      6      334    17071     6347  FOELOST=79450 FOESEEN=79502 OWNSEEN=17071  GAD p1 off=24 def=10 sig=12 | p2 off=23 def=21 sig=16  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=10 reach=37807 cred=54678 paid=16443 altkill=37812 altcost=16443 altdiff=0  block=322 wiper=10 =2  | watch=5190 block=940 critical=866 free=405 wait=120 outmatched=120 wipe=49
2     White    1           8389    12414        0      8      8      365     3292    31890  FOELOST=29134 FOESEEN=31890 OWNSEEN=3292  GAD p1 off=9 def=6 sig=14 | p2 off=23 def=6 sig=10  DEFGAD p1=wall_2 p2=wall_2  WIPE n=19 reach=2743 cred=7866 paid=1932 altkill=2768 altcost=1932 altdiff=0  block=342 wiper=22 =1  | watch=1529 critical=1382 wait=1194 free=504 block=342 wipe=95
3     Green    2           6687        0    23000      7      6      329     2096    10370  FOELOST=8321 FOESEEN=33675 OWNSEEN=2096  GAD p1 off=12 def=9 sig=18 | p2 off=6 def=17 sig=10  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=18 reach=3195 cred=60112 paid=1785 altkill=3290 altcost=1788 altdiff=1  block=311 wiper=18  | watch=2650 critical=1304 block=694 outmatched=390 wait=340 wipe=90
4     White    1           6701    27049        0      7      5        0        0     1212  FOELOST=1208 FOESEEN=1212 OWNSEEN=34785  GAD p1 off=9 def=20 sig=1 | p2 off=9 def=12 sig=6  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=5256
5     Green    2           6974        0     2000      7      7      418     1997    34129  FOELOST=13373 FOESEEN=34129 OWNSEEN=1997  GAD p1 off=18 def=18 sig=13 | p2 off=8 def=7 sig=10  DEFGAD p1=speed_2 p2=heal_2  WIPE n=17 reach=3076 cred=58747 paid=1596 altkill=3076 altcost=1596 altdiff=0  block=401 wiper=17  | block=1083 critical=923 wait=885 watch=545 outmatched=90 wipe=82
6     White    1           8569    20669        0      8      8      613     2028    34076  FOELOST=31628 FOESEEN=34076 OWNSEEN=2028  GAD p1 off=12 def=4 sig=15 | p2 off=10 def=28 sig=4  DEFGAD p1=wall_2 p2=speed_3  WIPE n=13 reach=2397 cred=4335 paid=1432 altkill=2412 altcost=1432 altdiff=0  block=599 wiper=13 =1  | block=2329 watch=1433 critical=743 free=435 wait=215 wipe=65
7     Orange   1           7759    40936        0      8      7      416     9905    36782  FOELOST=36218 FOESEEN=36782 OWNSEEN=9905  GAD p1 off=15 def=15 sig=15 | p2 off=14 def=1 sig=13  DEFGAD p1=heal_2 p2=heal  WIPE n=20 reach=11805 cred=91634 paid=8717 altkill=11817 altcost=8717 altdiff=0  block=396 wiper=20  | critical=1944 watch=1230 outmatched=840 wait=205 wipe=99 block=55 free=55
8     Yellow   2           4232        0     1685      4      6       94      342     5461  FOELOST=2988 FOESEEN=8386 OWNSEEN=742  GAD p1 off=10 def=7 sig=5 | p2 off=5 def=13 sig=7  DEFGAD p1=reinforcements_2 p2=reinforcements_2  WIPE n=5 reach=144 cred=6256 paid=75 altkill=144 altcost=75 altdiff=0  block=89 wiper=5  | watch=2200 critical=505 wait=290 outmatched=55 wipe=24 block=10
9     Orange   1           7678     1500        0      8      6       32      128     5176  FOELOST=5168 FOESEEN=5176 OWNSEEN=68293  GAD p1 off=5 def=23 sig=12 | p2 off=21 def=10 sig=11  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=32  | watch=4688 critical=159
10    Yellow   2           6469        0     2000      8      7      265     5191     1960  FOELOST=25196 FOESEEN=51505 OWNSEEN=5191  GAD p1 off=11 def=18 sig=12 | p2 off=14 def=19 sig=15  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=17 reach=27004 cred=107126 paid=4447 altkill=27005 altcost=4447 altdiff=0  block=248 wiper=17  | watch=2870 critical=1302 block=453 outmatched=310 wait=230 wipe=83
11    Orange   1           8119    20669        0      8      8      380     2132    23853  FOELOST=21373 FOESEEN=23853 OWNSEEN=2132  GAD p1 off=23 def=4 sig=8 | p2 off=5 def=5 sig=9  DEFGAD p1=wall_2 p2=wall_2  WIPE n=9 reach=1618 cred=2997 paid=1398 altkill=1618 altcost=1398 altdiff=0  block=370 wiper=9 =1  | watch=1473 critical=1015 block=815 wait=780 free=640 wipe=45
12    Yellow   2           6114        0    30367      6      6      183     1177     7872  FOELOST=5823 FOESEEN=23505 OWNSEEN=1177  GAD p1 off=9 def=9 sig=9 | p2 off=5 def=17 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=16 reach=2083 cred=22567 paid=1010 altkill=2083 altcost=1010 altdiff=0  block=167 wiper=16  | watch=2695 outmatched=890 critical=689 block=286 wait=260 wipe=80
13    Purple   2          12041        0    89000      7      8      663     8411    88731  FOELOST=78165 FOESEEN=88731 OWNSEEN=223226  GAD p1 off=20 def=33 sig=26 | p2 off=20 def=37 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=17 reach=13630 cred=64901 paid=7765 altkill=13630 altcost=7765 altdiff=0  block=646 wiper=17  | watch=4256 block=2854 wait=2180 critical=788 outmatched=210 wipe=83 free=70
14    Black    2           5082        0     2000      7      6      282     1354    13473  FOELOST=8759 FOESEEN=13473 OWNSEEN=1354  GAD p1 off=6 def=11 sig=6 | p2 off=5 def=4 sig=5  DEFGAD p1=speed_2 p2=heal  WIPE n=13 reach=2753 cred=30770 paid=816 altkill=2764 altcost=816 altdiff=0  block=269 wiper=13  | critical=1349 wait=150 outmatched=95 watch=70 wipe=64 block=24
15    Purple   1           8149    24970        0      8      8      334     1967    26757  FOELOST=24020 FOESEEN=26757 OWNSEEN=1967  GAD p1 off=23 def=6 sig=11 | p2 off=16 def=26 sig=4  DEFGAD p1=wall_2 p2=speed_3  WIPE n=12 reach=1403 cred=2297 paid=1019 altkill=1403 altcost=1019 altdiff=0  block=320 wiper=13 =1  | watch=1363 wait=1325 critical=878 block=714 free=460 wipe=59 outmatched=5
16    Black    1           8599    31503        0      8      8      575     1571    34516  FOELOST=31967 FOESEEN=34516 OWNSEEN=1571  GAD p1 off=12 def=8 sig=16 | p2 off=18 def=12 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=16 reach=1760 cred=6179 paid=1020 altkill=1831 altcost=954 altdiff=1  block=558 wiper=16 =1  | block=2203 watch=1697 critical=647 free=480 wait=135 wipe=80 outmatched=5
17    Purple   1           7669    17404        0      8      7      360     5794    22863  FOELOST=22302 FOESEEN=22863 OWNSEEN=5794  GAD p1 off=15 def=11 sig=15 | p2 off=16 def=23 sig=1  DEFGAD p1=heal_2 p2=speed_3  WIPE n=18 reach=6325 cred=27592 paid=4768 altkill=8902 altcost=6831 altdiff=1  block=342 wiper=18  | block=1380 critical=832 free=704 watch=535 outmatched=530 wait=245 wipe=90
18    Blue     1          10470    23000        0      8      7      117      234    22911  FOELOST=22907 FOESEEN=22911 OWNSEEN=97814  GAD p1 off=30 def=31 sig=14 | p2 off=26 def=10 sig=13  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=117  | watch=6975 critical=456 block=279 wait=155 outmatched=100 free=85
19    Red      2           5055        0    18425      5      7      159      768    13963  FOELOST=6495 FOESEEN=28028 OWNSEEN=768  GAD p1 off=7 def=8 sig=7 | p2 off=5 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=13 reach=768 cred=7966 paid=184 altkill=768 altcost=184 altdiff=0  block=146 wiper=13  | watch=2435 critical=776 wait=625 wipe=65 outmatched=5
20    Blue     2           8148        0    34000      8      8      383     3981    29662  FOELOST=15453 FOESEEN=29662 OWNSEEN=3981  GAD p1 off=16 def=7 sig=20 | p2 off=7 def=2 sig=9  DEFGAD p1=wall_2 p2=wall  WIPE n=24 reach=11885 cred=20315 paid=3629 altkill=11934 altcost=3629 altdiff=0  block=355 wiper=27 =1  | watch=1880 critical=1115 wait=785 block=681 outmatched=215 wipe=116
21    Red      2           6070        0     1664      7      7      170      609     9832  FOELOST=4535 FOESEEN=35767 OWNSEEN=609  GAD p1 off=16 def=10 sig=9 | p2 off=7 def=17 sig=11  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=10 reach=581 cred=39378 paid=289 altkill=594 altcost=289 altdiff=0  block=160 wiper=10  | watch=3355 critical=710 wait=620 block=99 wipe=50 outmatched=20
22    Blue     2          11079        0    60000      8      8      761    20377    81333  FOELOST=69091 FOESEEN=81333 OWNSEEN=82572  GAD p1 off=14 def=32 sig=18 | p2 off=19 def=4 sig=17  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=19 reach=24564 cred=34112 paid=19635 altkill=25008 altcost=19846 altdiff=1  block=742 wiper=19  | watch=3130 block=2124 critical=1742 wait=1625 wipe=95 outmatched=65
23    Red      1          11593    31857        0      8      7      708      804     8241  FOELOST=8236 FOESEEN=8241 OWNSEEN=187139  GAD p1 off=20 def=34 sig=18 | p2 off=18 def=16 sig=20  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=10 reach=210 cred=825 paid=106 altkill=215 altcost=106 altdiff=0  block=698 wiper=10  | watch=5182 block=3183 wait=1080 free=405 critical=338 wipe=49
24    Green    2           5201        0     2000      7      6      254     1119    12382  FOELOST=3803 FOESEEN=12382 OWNSEEN=1119  GAD p1 off=7 def=12 sig=10 | p2 off=6 def=11 sig=3  DEFGAD p1=speed_2 p2=speed_2  WIPE n=11 reach=723 cred=39230 paid=390 altkill=750 altcost=390 altdiff=0  block=243 wiper=11  | critical=1225 block=214 wait=175 watch=130 wipe=60 outmatched=40
25    White    1           8299     5458        0      8      8      437     3329    30672  FOELOST=29809 FOESEEN=30672 OWNSEEN=3329  GAD p1 off=12 def=10 sig=11 | p2 off=22 def=8 sig=14  DEFGAD p1=wall_3 p2=heal_2  WIPE n=16 reach=5485 cred=8192 paid=2096 altkill=5485 altcost=2096 altdiff=0  block=417 wiper=19 =1  | critical=1065 block=1023 outmatched=890 free=705 watch=624 wait=564 wipe=79
26    Green    1           8389    10901        0      8      8      386     3378    47302  FOELOST=45395 FOESEEN=47302 OWNSEEN=3378  GAD p1 off=12 def=9 sig=14 | p2 off=20 def=27 sig=1  DEFGAD p1=heal_2 p2=speed_3  WIPE n=17 reach=6273 cred=18100 paid=1902 altkill=6290 altcost=1902 altdiff=0  block=369 wiper=17  | watch=1474 block=1352 free=640 critical=567 wait=565 outmatched=360 wipe=84
27    White    2           7954        0    78000      6      7      359     3047    39509  FOELOST=15635 FOESEEN=39509 OWNSEEN=52592  GAD p1 off=13 def=19 sig=18 | p2 off=6 def=12 sig=13  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=22 reach=4677 cred=17888 paid=2710 altkill=4767 altcost=2710 altdiff=0  block=337 wiper=22  | watch=2220 critical=1448 outmatched=1095 wait=885 block=413 wipe=110
28    Green    2           5080        0     1700      5      7       80      705     8346  FOELOST=5523 FOESEEN=22411 OWNSEEN=705  GAD p1 off=15 def=9 sig=5 | p2 off=3 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=8 reach=795 cred=9219 paid=561 altkill=795 altcost=561 altdiff=0  block=72 wiper=8  | watch=2609 wait=819 critical=401 wipe=40 block=35 outmatched=24
29    Yellow   1           8823    75615        0      8      8      457    10642    62960  FOELOST=62169 FOESEEN=62960 OWNSEEN=10642  GAD p1 off=13 def=23 sig=16 | p2 off=10 def=2 sig=15  DEFGAD p1=speed_3 p2=wall  WIPE n=24 reach=10914 cred=269343 paid=10209 altkill=11358 altcost=10510 altdiff=3  block=433 wiper=24  | critical=1706 watch=1558 wait=1080 block=494 outmatched=385 free=140 wipe=121
30    Orange   2           5500        0    12000      5      7      138     1578    22647  FOELOST=17335 FOESEEN=49108 OWNSEEN=1578  GAD p1 off=6 def=5 sig=5 | p2 off=7 def=18 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=13 reach=4200 cred=15818 paid=1458 altkill=4236 altcost=1458 altdiff=0  block=123 wiper=14 =1  | watch=2680 wait=855 critical=612 outmatched=140 wipe=65
31    Yellow   1           8166    36484        0      8      8      358     1979    51557  FOELOST=47999 FOESEEN=51557 OWNSEEN=1979  GAD p1 off=23 def=7 sig=12 | p2 off=14 def=3 sig=9  DEFGAD p1=heal_2 p2=wall_2  WIPE n=15 reach=2858 cred=5649 paid=1293 altkill=2858 altcost=1293 altdiff=0  block=343 wiper=15  | watch=1770 block=1054 wait=790 critical=655 free=471 wipe=75
32    Orange   2           8192        0    25057      5      7      299     1728    10344  FOELOST=7872 FOESEEN=10344 OWNSEEN=4608  GAD p1 off=11 def=15 sig=12 | p2 off=14 def=0 sig=20  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=15 reach=1392 cred=2536 paid=876 altkill=1346 altcost=817 altdiff=1  block=284 wiper=15  | watch=2765 wait=2210 critical=1437 outmatched=250 wipe=72
33    Yellow   1          10099    32544        0      8      8      525    15639    59553  FOELOST=58195 FOESEEN=59553 OWNSEEN=15639  GAD p1 off=15 def=26 sig=18 | p2 off=20 def=29 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=14 reach=15924 cred=19164 paid=15128 altkill=15924 altcost=15128 altdiff=0  block=511 wiper=14  | watch=2408 block=1579 free=1155 critical=1054 wait=420 wipe=69 outmatched=45
34    Orange   1           7729    24818        0      8      8      408     5813    27690  FOELOST=25122 FOESEEN=27690 OWNSEEN=5813  GAD p1 off=15 def=9 sig=15 | p2 off=16 def=12 sig=13  DEFGAD p1=wall_2 p2=heal_2  WIPE n=23 reach=7737 cred=16270 paid=4685 altkill=8797 altcost=5020 altdiff=1  block=382 wiper=25 =1  | block=1179 wait=1054 watch=748 critical=725 free=485 wipe=119 outmatched=90
35    Black    2           5853        0    19023      7      7      176      960    17790  FOELOST=6805 FOESEEN=17790 OWNSEEN=960  GAD p1 off=9 def=7 sig=6 | p2 off=5 def=16 sig=5  DEFGAD p1=heal_2 p2=speed_2  WIPE n=12 reach=1117 cred=31990 paid=632 altkill=1192 altcost=632 altdiff=0  block=164 wiper=12  | critical=752 watch=700 block=429 wait=410 outmatched=160 wipe=60
36    Purple   2           6820        0     1500      8      7      253     2867    29635  FOELOST=9297 FOESEEN=29635 OWNSEEN=2867  GAD p1 off=9 def=5 sig=11 | p2 off=5 def=11 sig=10  DEFGAD p1=heal p2=heal_2  WIPE n=20 reach=3775 cred=47271 paid=1935 altkill=3775 altcost=1935 altdiff=0  block=233 wiper=20  | critical=926 watch=859 wait=605 block=513 outmatched=470 wipe=99 free=5
37    Black    2           5821        0    12000      5      6      248      760    10919  FOELOST=5417 FOESEEN=17522 OWNSEEN=2830  GAD p1 off=6 def=14 sig=7 | p2 off=10 def=16 sig=1  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=13 reach=875 cred=23236 paid=525 altkill=881 altcost=525 altdiff=0  block=235 wiper=13  | watch=2750 critical=1220 wait=360 outmatched=180 wipe=65 block=35
38    Purple   2           6758        0     2000      8      7      187     4479    43548  FOELOST=21978 FOESEEN=43548 OWNSEEN=4479  GAD p1 off=17 def=14 sig=7 | p2 off=7 def=1 sig=9  DEFGAD p1=speed_2 p2=wall  WIPE n=6 reach=11312 cred=18578 paid=4117 altkill=11312 altcost=4117 altdiff=0  block=181 wiper=6  | watch=1330 outmatched=985 critical=912 wait=180 wipe=29
39    Black    2           4234        0     1500      4      6      137      852     6111  FOELOST=2850 FOESEEN=9036 OWNSEEN=852  GAD p1 off=5 def=3 sig=4 | p2 off=6 def=13 sig=7  DEFGAD p1=wall_2 p2=reinforcements_2  WIPE n=12 reach=1731 cred=9606 paid=730 altkill=1731 altcost=730 altdiff=0  block=124 wiper=12 =1  | watch=1875 critical=514 outmatched=265 wait=235 block=140 wipe=60
40    Purple   2           8688        0    34000      8      8      331     4354    31182  FOELOST=28334 FOESEEN=31182 OWNSEEN=4354  GAD p1 off=18 def=3 sig=16 | p2 off=13 def=3 sig=14  DEFGAD p1=heal p2=wall_2  WIPE n=11 reach=5479 cred=9856 paid=4034 altkill=5479 altcost=4034 altdiff=0  block=320 wiper=11  | watch=2234 block=1062 wait=789 outmatched=580 critical=561 free=85 wipe=55
41    Blue     1           5445     2000        0      7      4        2        6      644  FOELOST=1181 FOESEEN=1184 OWNSEEN=24401  GAD p1 off=14 def=17 sig=10 | p2 off=10 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=2  | watch=4210 wait=20 critical=5 block=5
42    Red      1           8209    31140        0      8      8      431     2026    37765  FOELOST=36339 FOESEEN=37765 OWNSEEN=2026  GAD p1 off=14 def=22 sig=11 | p2 off=18 def=25 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=14 reach=2062 cred=2579 paid=775 altkill=2062 altcost=775 altdiff=0  block=417 wiper=14  | critical=1100 watch=1085 wait=1049 block=1014 free=530 wipe=69 outmatched=5
43    Blue     1           8479    25782        0      8      8      429     3572    42069  FOELOST=40575 FOESEEN=42069 OWNSEEN=3572  GAD p1 off=12 def=24 sig=14 | p2 off=6 def=13 sig=15  DEFGAD p1=speed_3 p2=heal_2  WIPE n=18 reach=2147 cred=6778 paid=1928 altkill=2152 altcost=1928 altdiff=0  block=411 wiper=18  | critical=1354 wait=1324 watch=1169 block=774 free=245 outmatched=195 wipe=89
44    Red      2          11449        0     1383      8      7      895    10869    36674  FOELOST=36143 FOESEEN=36674 OWNSEEN=10869  GAD p1 off=22 def=13 sig=26 | p2 off=6 def=29 sig=14  DEFGAD p1=wall_3 p2=speed_3  WIPE n=38 reach=18405 cred=118707 paid=10025 altkill=18459 altcost=10022 altdiff=2  block=855 wiper=39 =1  | block=2552 critical=2105 watch=1210 free=1110 outmatched=559 wait=350 wipe=188
45    Blue     2           7560        0    28930      8      7      472     1514    57912  FOELOST=6547 FOESEEN=57912 OWNSEEN=1514  GAD p1 off=12 def=10 sig=8 | p2 off=9 def=7 sig=12  DEFGAD p1=heal_2 p2=heal_2  WIPE n=23 reach=935 cred=106726 paid=616 altkill=965 altcost=616 altdiff=0  block=449 wiper=23  | critical=2066 wait=734 watch=643 block=421 free=195 wipe=114 outmatched=60
46    White    2           6665        0    16905      5      6      195     3354    15869  FOELOST=10748 FOESEEN=15869 OWNSEEN=5454  GAD p1 off=10 def=15 sig=4 | p2 off=10 def=21 sig=3  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=14 reach=7218 cred=27375 paid=3173 altkill=7224 altcost=3173 altdiff=0  block=181 wiper=14  | watch=3032 critical=898 wait=704 outmatched=325 block=135 wipe=70
