tick,hp,maxhp,money,inv,own,enemy,p2hp,p2maxhp,p2money,p2inv,p1income,p2income,p1spent,p2spent,p1act,p2act
1,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
2,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
3,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
4,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
5,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
6,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
7,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
8,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
9,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
10,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
11,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
12,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
13,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
14,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
15,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
16,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
17,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
18,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
19,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
20,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
21,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
22,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
23,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
24,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
25,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
26,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
27,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
28,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
29,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
30,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
31,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
32,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
33,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
34,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
35,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
36,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
37,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
38,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
39,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
40,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
41,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
42,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
43,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
44,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
45,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
46,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
47,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
48,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
49,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
50,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
51,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
52,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
53,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
54,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
55,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
56,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
57,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
58,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
59,2000,2000,2,0,0,0,2000,2000,2,0,2,2,0,0,0,0
60,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
61,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
62,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
63,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
64,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
65,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
66,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
67,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
68,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
69,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
70,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
71,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
72,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
73,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
74,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
75,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
76,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
77,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
78,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
79,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
80,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
81,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
82,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
83,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
84,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
85,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
86,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
87,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
88,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
89,2000,2000,4,0,0,0,2000,2000,4,0,2,2,0,0,0,0
90,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
91,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
92,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
93,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
94,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
95,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
96,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
97,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
98,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
99,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
100,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
101,2000,2000,6,0,0,0,2000,2000,6,0,2,2,0,0,0,0
