game,arm,result,start_s,dur_s,cost,dmg,killed,foe_unit_spend,own_units,foe_units,foe_hp,foe_hp_pct,foe_maxhp,bot_money,bot_inv,foe_rc,push_dps,kill_secs,foe_repairs,foe_repair_spend,foe_outflow,dmg_value,attack_units,ended_by
9A9A41,heuristic,MARC,146.5,10.7,6198,2200,0,2714,75,0,15225,66,23000,6901,6,2,1385,11.0,0,0,303,10,3,all-dead
9A9A41,heuristic,MARC,153.8,5.6,676,1834,0,2552,51,2,13359,58,23000,1986,6,2,10565,1.3,0,0,2757,9,2,all-dead
CB505C,heuristic,BOT,159.3,7.2,2066,8045,0,2081,31,1,16558,72,23000,3829,7,2,1409,11.8,0,0,1981,36,1,all-dead
CB505C,heuristic,BOT,165.0,6.0,4132,12208,0,2132,12,2,15541,68,23000,6323,7,2,3830,4.1,0,0,3597,57,2,all-dead
CB505C,heuristic,BOT,170.8,3.9,2066,6680,0,30,4,1,8513,37,23000,5821,7,2,3430,2.5,2,236,166,41,1,all-dead
CB505C,heuristic,BOT,192.7,5.2,4132,1650,0,198,38,6,32413,58,56000,15402,7,5,17150,1.9,0,0,1263,150,2,all-dead
CB505C,heuristic,BOT,193.2,8.3,2066,1635,0,2465,41,6,32338,58,56000,12002,7,5,17450,1.9,0,0,2190,149,1,all-dead
CB505C,heuristic,BOT,215.0,9.2,8264,12220,0,4735,53,6,22928,41,56000,20301,7,5,13795,1.7,0,0,6650,1226,4,all-dead
C40F51,heuristic,BOT,179.8,6.2,6198,10390,0,2453,22,5,26514,78,34000,18999,7,3,3505,7.6,0,0,1793,100,3,all-dead
4D6F0C,heuristic,MARC,158.0,7.9,4132,2037,0,54,14,5,6334,53,12000,4225,7,1,570,11.1,0,0,2494,5,2,all-dead
4D6F0C,heuristic,MARC,184.7,7.7,8264,7040,0,2696,45,7,2767,23,12000,15071,7,1,3580,0.8,1,26,4212,26,4,all-dead
4D6F0C,heuristic,MARC,186.0,6.3,4132,6860,0,2660,47,2,9572,42,23000,8235,7,2,3655,2.6,0,0,4350,40,2,all-dead
4D6F0C,heuristic,MARC,199.2,3.8,4132,6785,0,234,25,2,23306,52,45000,11912,7,4,7235,3.2,0,0,749,198,2,all-dead
1269AD,heuristic,MARC,138.0,8.8,2422,1031,0,2138,46,1,10676,89,12000,4011,6,1,900,11.9,0,0,2418,2,3,all-dead
1269AD,heuristic,MARC,145.3,8.3,2084,100,0,1968,2,0,9645,80,12000,3156,6,1,3430,2.8,0,0,2405,0,2,pushed-back
1269AD,heuristic,MARC,242.0,62.8,25066,19740,0,6995,57,12,22722,50,45000,30943,7,4,3430,6.6,1,493,0,581,2,all-dead
BEEC89,heuristic,BOT,132.0,10.2,2066,1694,1,68,52,3,1694,85,2000,2670,6,0,600,2.8,0,0,1093,1,1,game-over
BEEC89,heuristic,BOT,142.2,0.0,2066,1594,1,1,8,2,1594,80,2000,3274,6,0,4030,0.4,0,0,9,1,1,game-over
6051E1,heuristic,BOT,185.3,10.5,2066,16230,0,70,36,2,11085,92,12000,19064,7,1,3805,2.9,3,262,1657,29,1,all-dead
6051E1,heuristic,BOT,185.7,10.1,2066,10945,0,68,38,3,5800,48,12000,16980,7,1,525,11.0,3,262,1405,29,1,all-dead
6051E1,heuristic,BOT,186.2,9.6,2066,5660,0,66,31,3,515,4,12000,15628,7,1,3580,0.1,3,262,1778,30,1,all-dead
6051E1,heuristic,BOT,195.2,9.2,10330,36485,0,61,42,1,23301,52,45000,17918,7,4,10890,2.1,2,2290,3466,1065,5,all-dead
6051E1,heuristic,BOT,196.8,12.8,2066,31755,0,83,36,3,17986,40,45000,8773,7,4,14170,1.3,2,2290,3588,1005,1,all-dead
6051E1,heuristic,BOT,201.0,15.1,2066,16225,0,2031,33,2,16664,30,56000,8585,7,5,13720,1.2,1,1796,5267,1748,1,all-dead
6051E1,heuristic,BOT,255.2,0.7,27132,13899,1,3,41,0,13899,21,67000,36061,7,6,17550,0.8,0,0,13528,6869,3,game-over
F4AD1E,heuristic,BOT,171.8,3.6,2066,15,0,0,58,1,19961,87,23000,11671,7,2,4130,4.8,0,0,0,0,1,pushed-back
3DE521,heuristic,MARC,134.3,3.9,4150,648,0,0,128,0,20836,91,23000,4425,6,2,1775,11.7,0,0,0,3,3,pushed-back
3DE521,heuristic,MARC,166.5,3.0,4132,1676,0,0,147,1,19626,85,23000,7591,6,2,9185,2.1,0,0,772,7,2,pushed-back
F3AFAA,heuristic,BOT,159.0,22.7,2102,33155,0,3126,47,0,18322,80,23000,4009,7,2,1650,11.1,2,236,0,142,3,all-dead
F3AFAA,heuristic,BOT,174.7,15.0,2066,47395,0,2588,13,2,21362,63,34000,12244,7,3,17150,1.2,2,663,5916,504,1,game-over
F3AFAA,heuristic,BOT,180.2,9.5,2066,36875,0,1860,44,2,25044,56,45000,14100,7,4,20880,1.2,1,493,4073,1050,1,game-over
F3AFAA,heuristic,BOT,181.0,8.7,8264,26335,0,1855,49,0,14504,32,45000,12712,7,4,24460,0.6,1,493,4193,881,4,game-over
F3AFAA,heuristic,BOT,187.7,2.0,2066,20885,0,193,49,3,22470,40,56000,6540,7,5,3505,6.4,0,0,488,2106,1,game-over
F3AFAA,heuristic,BOT,188.5,1.2,2066,15630,0,9,47,5,17215,31,56000,4114,7,5,6860,2.5,0,0,429,1673,1,game-over
F3AFAA,heuristic,BOT,189.0,0.7,2404,10405,0,6,50,7,11990,21,56000,2762,7,5,7010,1.7,0,0,531,1186,2,game-over
73373F,heuristic,BOT,121.7,7.0,36,4933,0,229,51,2,8268,69,12000,1929,6,1,725,11.4,1,26,0,11,2,all-dead
73373F,heuristic,BOT,157.8,13.1,6590,23859,0,4221,37,0,12073,52,23000,5882,7,2,1181,10.2,2,236,1789,126,7,all-dead
73373F,heuristic,BOT,166.8,4.1,18,16624,0,2347,30,2,4838,21,23000,1020,7,2,10590,0.5,2,236,2933,121,1,all-dead
73373F,heuristic,BOT,166.0,9.5,4150,22149,0,4708,44,1,10303,45,23000,5170,7,2,1275,8.1,2,236,5594,126,3,all-dead
