attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,anchor_delay,anchor_max,anchors_alive,anchor_first_tick,anchor_delayed_ticks,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,7,gorillo,3,0,-,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,0,1,castle_destroyed,1068,35.60,False,0,0,0,1,0,0,3549,3549,3,-1,1.0000,486
Black,7,gorillo,3,0,-,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,1,1,force_destroyed,818,27.27,False,818,647,1636,327,2819,0,3549,3549,0,818,0.3035,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,2,1,force_destroyed,1120,37.33,False,560,462,1120,156,2303,0,3549,3549,0,1120,0.3059,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,3,1,force_destroyed,1732,57.73,False,578,515,1156,91,2339,0,3549,3549,0,1732,0.3224,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,6,1,force_destroyed,1410,47.00,False,235,201,470,69,1653,0,3549,3549,0,1410,0.3529,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,10,1,force_destroyed,1256,41.87,False,126,107,252,42,1435,0,3549,3549,0,1256,0.4012,-1
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,0,1,castle_destroyed,705,23.50,False,0,0,0,1,0,24,4149,3549,3,-1,1.0000,372
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,1,1,force_destroyed,934,31.13,False,934,773,1868,170,3011,31,4324,3549,0,914,0.4471,-1
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,2,1,force_destroyed,896,29.87,False,448,388,896,61,2031,29,4274,3549,0,847,0.7421,-1
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,3,1,castle_destroyed,1429,47.63,False,477,473,954,31,0,48,4749,3549,3,-1,1.0000,754
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,6,1,castle_destroyed,978,32.60,False,163,162,326,15,0,33,4374,3549,3,-1,1.0000,610
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,10,1,castle_destroyed,642,21.40,False,65,63,130,9,0,22,4099,3549,3,-1,1.0000,409
Black,7,gorillo,5,0,-,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,0,1,castle_destroyed,693,23.10,False,0,-1,0,1,0,0,5915,5915,5,-1,1.0000,486
Black,7,gorillo,5,0,-,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,1,1,force_destroyed,916,30.53,False,916,715,1832,208,3015,0,5915,5915,0,916,0.3035,-1
Black,7,gorillo,5,0,-,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,2,1,force_destroyed,866,28.87,False,433,323,866,110,2049,0,5915,5915,0,866,0.3059,-1
Black,7,gorillo,5,0,-,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,3,1,force_destroyed,1914,63.80,False,638,578,1276,89,2459,0,5915,5915,0,1914,0.3365,-1
Black,7,gorillo,5,0,-,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,6,1,force_destroyed,1747,58.23,False,292,256,584,60,1767,0,5915,5915,0,1747,0.3800,-1
Black,7,gorillo,5,0,-,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,10,1,force_destroyed,1788,59.60,False,179,159,358,38,1541,0,5915,5915,0,1788,0.4259,-1
Black,7,gorillo,5,4,evilnom,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,0,1,castle_destroyed,595,19.83,False,0,-1,0,1,0,20,6415,5915,5,-1,1.0000,372
Black,7,gorillo,5,4,evilnom,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,1,1,force_destroyed,934,31.13,False,934,773,1868,170,3011,31,6690,5915,0,914,0.4471,-1
Black,7,gorillo,5,4,evilnom,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,2,1,castle_destroyed,2600,86.67,False,1300,1295,2600,52,0,87,8090,5915,5,-1,1.0000,806
Black,7,gorillo,5,4,evilnom,7,gorillo,1,1183,60,1,0,60,0,Black,evilminnow,3,1,castle_destroyed,1056,35.20,False,352,349,704,29,0,36,6815,5915,5,-1,1.0000,655
Black,7,gorillo,5,4,evilnom,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,6,1,castle_destroyed,638,21.27,False,107,104,214,15,0,22,6465,5915,5,-1,1.0000,507
Black,7,gorillo,5,4,evilnom,7,gorillo,1,1183,60,1,1,60,0,Black,evilminnow,10,1,castle_destroyed,593,19.77,False,60,58,120,9,0,20,6415,5915,5,-1,1.0000,409
Blue,7,octoboi,3,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,0,1,castle_destroyed,1033,34.43,False,0,0,0,1,0,0,4137,4137,3,-1,1.0000,790
Blue,7,octoboi,3,0,-,7,octoboi,1,1379,60,1,1,60,0,Blue,fishy,1,1,force_destroyed,1005,33.50,False,1005,769,3015,259,4394,0,4137,4137,0,1005,0.2647,-1
Blue,7,octoboi,3,0,-,7,octoboi,1,1379,60,1,1,60,0,Blue,fishy,2,1,force_destroyed,1290,43.00,False,645,541,1935,139,3314,0,4137,4137,0,1290,0.2665,-1
Blue,7,octoboi,3,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,3,1,force_destroyed,3483,116.10,False,1161,1090,3483,99,4862,0,4137,4137,0,3483,0.2682,-1
Blue,7,octoboi,3,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,6,1,force_destroyed,2459,81.97,False,410,369,1230,50,2609,0,4137,4137,0,2459,0.3018,-1
Blue,7,octoboi,3,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,10,1,force_destroyed,2352,78.40,False,236,213,708,47,2087,0,4137,4137,0,2352,0.3176,-1
Blue,7,octoboi,3,4,eel,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,0,1,castle_destroyed,1043,34.77,False,0,0,0,1,0,35,4942,4137,3,-1,1.0000,499
Blue,7,octoboi,3,4,eel,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,1,1,force_destroyed,2244,74.80,False,2244,2093,6732,157,8009,74,5839,4137,0,2210,0.4894,-1
Blue,7,octoboi,3,4,eel,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,2,1,castle_destroyed,2434,81.13,False,1217,1211,3651,49,0,82,6023,4137,3,-1,1.0000,1474
Blue,7,octoboi,3,4,eel,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,3,1,castle_destroyed,1413,47.10,False,471,467,1413,29,0,48,5241,4137,3,-1,1.0000,791
Blue,7,octoboi,3,4,eel,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,6,1,castle_destroyed,922,30.73,False,154,152,462,15,0,31,4850,4137,3,-1,1.0000,575
Blue,7,octoboi,3,4,eel,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,10,1,castle_destroyed,1498,49.93,False,150,149,450,10,0,50,5287,4137,3,-1,1.0000,505
Blue,7,octoboi,5,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,0,1,castle_destroyed,867,28.90,False,0,0,0,1,0,0,6895,6895,5,-1,1.0000,658
Blue,7,octoboi,5,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,1,1,force_destroyed,1315,43.83,False,1315,1120,3945,257,5324,0,6895,6895,0,1315,0.2647,-1
Blue,7,octoboi,5,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,2,1,force_destroyed,3577,119.23,False,1789,1687,5367,155,6746,0,6895,6895,0,3577,0.2665,-1
Blue,7,octoboi,5,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,3,1,force_destroyed,2983,99.43,False,995,926,2985,96,4364,0,6895,6895,0,2983,0.2841,-1
Blue,7,octoboi,5,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,6,1,force_destroyed,3761,125.37,False,627,587,1881,57,3260,0,6895,6895,0,3761,0.3300,-1
Blue,7,octoboi,5,0,-,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,10,1,force_destroyed,2508,83.60,False,251,226,753,40,2132,0,6895,6895,0,2508,0.3229,-1
Blue,7,octoboi,5,4,eel,7,octoboi,1,1379,60,1,1,60,0,Blue,fishy,0,1,castle_destroyed,765,25.50,False,0,-1,0,1,0,26,7493,6895,5,-1,1.0000,499
Blue,7,octoboi,5,4,eel,7,octoboi,1,1379,60,1,0,60,0,Blue,fishy,1,1,force_destroyed,3912,130.40,False,3912,3742,11736,176,13034,130,9885,6895,0,3885,0.4894,-1
