attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,anchor_delay,anchor_max,anchors_alive,anchor_first_tick,anchor_delayed_ticks,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,0,1,castle_destroyed,1736,57.87,False,0,0,0,0,0,0,338,338,1,-1,1.0000,143
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,1,1,force_destroyed,157,5.23,False,157,55,314,138,314,0,338,338,0,157,0.5788,-1
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,2,1,force_destroyed,260,8.67,False,130,67,260,65,260,0,338,338,0,260,0.5882,-1
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,3,1,force_destroyed,391,13.03,False,131,99,262,41,262,0,338,338,0,391,0.5882,-1
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,5,1,force_destroyed,544,18.13,False,109,94,218,25,218,0,338,338,0,544,0.6788,-1
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,10,1,force_destroyed,1014,33.80,False,102,98,204,11,204,0,338,338,0,1014,1.0000,-1
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,15,1,force_destroyed,1473,49.10,False,99,97,198,7,198,0,338,338,0,1473,1.0000,-1
Black,6,weirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,30,1,force_destroyed,3235,107.83,False,108,107,216,3,216,0,338,338,0,3235,1.0000,578
Black,6,weirdo,1,0,-,6,weirdo,1,338,150,1,1,150,0,Black,evilminnow,0,1,force_destroyed,398,13.27,False,0,-1,0,1,338,0,338,338,0,398,1.0000,143
Black,6,weirdo,1,0,-,6,weirdo,1,338,150,1,1,150,0,Black,evilminnow,1,1,force_destroyed,157,5.23,False,157,54,314,138,652,0,338,338,0,157,0.5788,-1
Black,6,weirdo,1,0,-,6,weirdo,1,338,150,1,1,150,0,Black,evilminnow,2,1,force_destroyed,218,7.27,False,109,66,218,66,556,0,338,338,0,218,0.5882,-1
