tick,hp,maxhp,money,inv,own,enemy,enemy_dps,enemy_swings,enemy_value,choice,t1,t2,t3,t4,t5,t6,t7,t8,p2money,p2inv,p1income,p2income,p1spent,p2spent
3,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
6,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
9,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
12,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
15,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
18,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
21,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
24,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
27,2000,2000,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
30,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
33,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
36,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
39,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
42,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
45,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
48,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
51,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
54,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
57,2000,2000,2,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,2,0,2,2,0,0
60,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
63,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
66,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
69,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
72,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
75,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
78,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
81,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
84,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
87,2000,2000,4,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,0,2,2,0,0
90,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
93,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
96,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
99,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
102,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
105,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
108,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
111,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
114,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
117,2000,2000,6,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,6,0,2,2,0,0
120,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
123,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
126,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
129,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
132,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
135,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
138,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
141,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
144,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
147,2000,2000,8,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,0,2,2,0,0
150,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
153,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
156,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
159,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
162,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
165,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
168,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
171,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
174,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
