tick,hp,maxhp,money,inv,own,enemy,p2hp,p2maxhp,p2money,p2inv,p1income,p2income,p1spent,p2spent,p1act,p2act
1,2000,2000,0,0,0,0,2000,2000,0,0,2,2,0,0,0,0
301,2000,2000,3,1,0,0,2000,2000,3,1,3,3,0,0,0,0
601,2000,2000,29,1,0,0,2000,2000,29,1,3,3,0,0,0,0
901,2000,2000,40,2,0,0,2000,2000,40,2,4,4,0,0,0,0
1201,2000,2000,9,3,2,5,2000,2000,48,3,8,8,0,0,0,0
1501,1994,2000,94,3,0,10,2000,2000,121,3,8,8,0,0,0,0
1801,1736,2000,167,3,0,10,2000,2000,126,4,8,20,0,0,0,0
2101,11745,12000,151,4,4,10,2000,2000,335,4,20,20,0,0,0,0
2401,11403,12000,337,4,5,0,2000,2000,119,5,20,60,0,0,0,0
2701,11303,12000,114,5,1,5,1900,2000,572,5,60,60,0,0,0,0
3001,11029,12000,646,5,1,10,1800,2000,1006,5,60,60,0,0,0,0
3301,10668,12000,1024,5,1,15,1700,2000,1405,5,60,60,0,0,0,0
3601,10568,12000,1428,5,3,53,1525,2000,1754,6,60,252,0,246,0,1
3901,9581,12000,516,6,4,97,1450,2000,238,6,252,252,0,3112,0,11
4201,22771,23000,2267,6,11,74,1200,2000,3387,6,252,252,552,3628,0,3
4501,22771,23000,3997,6,2,74,1200,2000,5837,6,252,252,1127,4048,0,1
4801,22771,23000,6055,6,5,130,1132,2000,6709,6,252,252,1219,4546,0,1
5101,22771,23000,8203,6,2,95,7644,12000,4247,7,252,750,1541,5971,0,4
5401,22771,23000,5831,7,6,111,7644,12000,9626,7,750,750,2553,7177,0,4
5701,22771,23000,12975,7,1,132,6606,12000,13415,7,750,750,2714,8473,0,4
6001,21271,23000,18529,7,5,99,14386,23000,19586,7,750,750,3220,9535,0,4
6301,19771,23000,23212,7,19,152,12818,23000,24953,7,750,750,3772,10453,0,4
6601,19771,23000,28145,7,30,60,12818,23000,29021,7,750,750,4899,11470,4,13
6901,19771,23000,33290,7,20,32,12818,23000,35645,7,750,750,5589,12406,0,4
7201,19771,23000,39709,7,28,35,12818,23000,870,8,750,2500,6670,15516,0,7
7501,18271,23000,20328,8,34,18,11318,23000,18954,8,2500,2500,7636,20692,4,4
7801,18271,23000,42738,8,29,37,11318,23000,41238,8,2500,2500,8786,25868,0,4
8101,16771,23000,64985,8,16,71,21313,34000,65822,8,2500,2500,9499,28978,0,4
8401,15271,23000,87055,8,37,38,18640,34000,81160,8,2500,2500,10764,36900,0,4
8701,15271,23000,109626,8,21,46,18640,34000,104541,8,2500,2500,11753,41279,0,5
9001,15271,23000,8654,8,14,2,6210,45000,5254,8,2500,2500,16504,46936,0,4
