attacker_team,tier,attacker_unit,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,attacker_hp,attacker_max_hp,deepest_progress,first_castle_hit_tick,peak_blockers,attacker_died_tick,spend_at_attacker_death
Black,5,evilbirdo,Black,evilminnow,0,1,castle_destroyed,5620,187.33,False,0,0,0,253,253,1.0000,132,0,-1,0
Black,5,evilbirdo,Black,evilminnow,1,1,attacker_killed,120,4.00,False,120,18,240,0,253,0.6000,-1,102,120,240
Black,5,evilbirdo,Black,evilminnow,2,1,attacker_killed,150,5.00,False,75,25,150,0,253,0.6000,-1,50,150,150
Black,5,evilbirdo,Black,evilminnow,3,1,attacker_killed,183,6.10,False,61,29,122,0,253,0.6288,-1,32,183,122
Black,5,evilbirdo,Black,evilminnow,5,1,attacker_killed,238,7.93,False,48,29,96,0,253,0.6800,-1,19,238,96
Black,5,evilbirdo,Black,evilminnow,10,1,attacker_killed,383,12.77,False,39,37,78,0,253,1.0000,-1,9,383,78
Black,5,evilbirdo,Black,evilminnow,15,1,attacker_killed,453,15.10,False,31,29,62,0,253,1.0000,-1,6,453,62
Black,5,evilbirdo,Black,evilminnow,20,1,attacker_killed,705,23.50,False,36,35,72,0,253,1.0000,368,4,705,72
Black,5,evilbirdo,Black,evilminnow,30,1,attacker_killed,1091,36.37,False,37,36,74,0,253,1.0000,160,3,1091,74
Black,5,evilbirdo,Black,evilminnow,45,1,attacker_killed,1683,56.10,False,38,37,76,0,253,1.0000,136,2,1683,76
Black,5,evilbirdo,Black,evilminnow,60,1,attacker_killed,1931,64.37,False,33,32,66,0,253,1.0000,150,2,1931,66
Black,5,evilbirdo,Black,evilminnow,90,1,attacker_killed,3071,102.37,False,35,35,70,0,253,1.0000,136,1,3071,70
Black,5,evilbirdo,Black,evilminnow,120,1,attacker_killed,4811,160.37,False,41,40,82,0,253,1.0000,149,1,4811,82
Black,5,evilbirdo,Black,evilminnow,180,1,attacker_killed,6131,204.37,False,35,34,70,0,253,1.0000,134,1,6131,70
Black,5,evilbirdo,Black,evilminnow,240,1,castle_destroyed,6006,200.20,False,26,25,52,57,253,1.0000,134,1,-1,0
Black,6,weirdo,Black,evilminnow,0,1,castle_destroyed,1736,57.87,False,0,0,0,1102,1102,1.0000,143,0,-1,0
Black,6,weirdo,Black,evilminnow,1,1,attacker_killed,157,5.23,False,157,55,314,0,1102,0.5788,-1,138,157,314
Black,6,weirdo,Black,evilminnow,2,1,attacker_killed,260,8.67,False,130,67,260,0,1102,0.5882,-1,65,260,260
Black,6,weirdo,Black,evilminnow,3,1,attacker_killed,391,13.03,False,131,99,262,0,1102,0.5882,-1,41,391,262
Black,6,weirdo,Black,evilminnow,5,1,attacker_killed,544,18.13,False,109,94,218,0,1102,0.6788,-1,25,544,218
Black,6,weirdo,Black,evilminnow,10,1,attacker_killed,1014,33.80,False,102,98,204,0,1102,1.0000,-1,11,1014,204
Black,6,weirdo,Black,evilminnow,15,1,attacker_killed,1473,49.10,False,99,97,198,0,1102,1.0000,-1,7,1473,198
Black,6,weirdo,Black,evilminnow,20,1,attacker_killed,2132,71.07,False,107,105,214,0,1102,1.0000,-1,5,2132,214
Black,6,weirdo,Black,evilminnow,30,1,attacker_killed,3235,107.83,False,108,107,216,0,1102,1.0000,578,3,3235,216
Black,6,weirdo,Black,evilminnow,45,1,castle_destroyed,4406,146.87,False,98,98,196,118,1102,1.0000,218,2,-1,0
Black,6,weirdo,Black,evilminnow,60,1,castle_destroyed,3116,103.87,False,52,52,104,586,1102,1.0000,166,2,-1,0
Black,6,weirdo,Black,evilminnow,90,1,castle_destroyed,2439,81.30,False,28,27,56,810,1102,1.0000,152,1,-1,0
Black,6,weirdo,Black,evilminnow,120,1,castle_destroyed,2217,73.90,False,19,19,38,926,1102,1.0000,165,1,-1,0
Black,6,weirdo,Black,evilminnow,180,1,castle_destroyed,2034,67.80,False,12,12,24,970,1102,1.0000,144,1,-1,0
Black,6,weirdo,Black,evilminnow,240,1,castle_destroyed,1926,64.20,False,9,8,18,1042,1102,1.0000,144,1,-1,0
Black,7,gorillo,Black,evilminnow,0,1,castle_destroyed,916,30.53,False,0,0,0,6710,6710,1.0000,426,0,-1,0
Black,7,gorillo,Black,evilminnow,1,1,attacker_killed,865,28.83,False,865,694,1730,0,6710,0.3035,-1,268,865,1730
Black,7,gorillo,Black,evilminnow,2,1,attacker_killed,948,31.60,False,474,371,948,0,6710,0.3059,-1,130,948,948
Black,7,gorillo,Black,evilminnow,3,1,attacker_killed,1336,44.53,False,446,381,892,0,6710,0.3059,-1,84,1336,892
Black,7,gorillo,Black,evilminnow,5,1,attacker_killed,1957,65.23,False,392,354,784,0,6710,0.3176,-1,42,1957,784
Black,7,gorillo,Black,evilminnow,10,1,attacker_killed,3604,120.13,False,361,345,722,0,6710,0.5206,-1,20,3604,722
Black,7,gorillo,Black,evilminnow,15,1,attacker_killed,5158,171.93,False,344,341,688,0,6710,0.9829,-1,13,5158,688
Black,7,gorillo,Black,evilminnow,20,1,attacker_killed,7932,264.40,False,397,394,794,0,6710,1.0000,-1,9,7932,794
Black,7,gorillo,Black,evilminnow,30,1,attacker_killed,11507,383.57,False,384,382,768,0,6710,1.0000,-1,6,11507,768
Black,7,gorillo,Black,evilminnow,45,1,attacker_killed,17897,596.57,False,398,397,796,0,6710,1.0000,-1,4,17897,796
Black,7,gorillo,Black,evilminnow,60,1,castle_destroyed,3660,122.00,False,61,61,122,5758,6710,1.0000,669,3,-1,0
Black,7,gorillo,Black,evilminnow,90,1,castle_destroyed,1534,51.13,False,18,17,36,6490,6710,1.0000,437,2,-1,0
Black,7,gorillo,Black,evilminnow,120,1,castle_destroyed,1270,42.33,False,11,11,22,6598,6710,1.0000,437,2,-1,0
Black,7,gorillo,Black,evilminnow,180,1,castle_destroyed,1074,35.80,False,6,6,12,6662,6710,1.0000,437,1,-1,0
Black,7,gorillo,Black,evilminnow,240,1,castle_destroyed,1065,35.50,False,5,5,10,6626,6710,1.0000,428,1,-1,0
Black,8,evilguy,Black,evilminnow,0,1,castle_destroyed,1001,33.37,False,0,0,0,84240,84240,1.0000,851,0,-1,0
Black,8,evilguy,Black,evilminnow,1,1,attacker_killed,2058,68.60,False,2058,1801,4116,0,84240,0.1765,-1,299,2058,4116
Black,8,evilguy,Black,evilminnow,2,1,attacker_killed,3895,129.83,False,1948,1801,3896,0,84240,0.1824,-1,149,3895,3896
Black,8,evilguy,Black,evilminnow,3,1,attacker_killed,5764,192.13,False,1922,1851,3844,0,84240,0.1882,-1,99,5764,3844
Black,8,evilguy,Black,evilminnow,5,1,attacker_killed,9375,312.50,False,1875,1831,3750,0,84240,0.2000,-1,59,9375,3750
Black,8,evilguy,Black,evilminnow,10,1,attacker_killed,17985,599.50,False,1799,1771,3598,0,84240,0.2294,-1,29,17985,3598
Black,8,evilguy,Black,evilminnow,15,1,attacker_killed,26001,866.70,True,1734,1721,3468,0,84240,0.2588,-1,19,26001,3468
Black,8,evilguy,Black,evilminnow,20,1,survived_horizon,36000,1200.00,True,1800,1793,3600,5872,84240,1.0000,-1,15,-1,0
Black,8,evilguy,Black,evilminnow,30,1,survived_horizon,36000,1200.00,True,1200,1191,2400,20636,84240,0.3471,-1,9,-1,0
Black,8,evilguy,Black,evilminnow,45,1,survived_horizon,36000,1200.00,True,800,797,1600,49164,84240,1.0000,-1,7,-1,0
Black,8,evilguy,Black,evilminnow,60,1,survived_horizon,36000,1200.00,True,600,598,1200,55628,84240,1.0000,-1,5,-1,0
Black,8,evilguy,Black,evilminnow,90,1,survived_horizon,36000,1200.00,True,400,399,800,65176,84240,1.0000,-1,3,-1,0
Black,8,evilguy,Black,evilminnow,120,1,survived_horizon,36000,1200.00,True,300,299,600,69948,84240,1.0000,-1,2,-1,0
Black,8,evilguy,Black,evilminnow,180,1,castle_destroyed,1802,60.07,False,11,10,22,83976,84240,1.0000,902,1,-1,0
Black,8,evilguy,Black,evilminnow,240,1,castle_destroyed,1202,40.07,False,6,5,12,84176,84240,1.0000,902,1,-1,0
Blue,5,squid,Blue,fishy,0,1,castle_destroyed,5957,198.57,False,0,0,0,265,265,1.0000,143,0,-1,0
Blue,5,squid,Blue,fishy,1,1,attacker_killed,133,4.43,False,133,20,399,0,265,0.6071,-1,113,133,399
Blue,5,squid,Blue,fishy,2,1,attacker_killed,161,5.37,False,81,21,243,0,265,0.6194,-1,60,161,243
Blue,5,squid,Blue,fishy,3,1,attacker_killed,212,7.07,False,71,37,213,0,265,0.6282,-1,38,212,213
