STALL TEST -- single tier-N attacker vs a stream of tier-1 chumps
  castle HP     : 23000 both sides
  income        : $5000/s both sides (spawns are never money-limited)
  attacker teams: Black,Blue,Green,Orange,Purple,Red,White,Yellow
  blocker       : mirror
  tiers         : 5,6,7,8
  spawn periods : 1,2,3,5,10,15,20,30,45,60,90,120,180,240 ticks  (30.0/s,15.0/s,10.0/s,6.0/s,3.0/s,2.0/s,1.5/s,1.0/s,0.7/s,0.5/s,0.3/s,0.2/s,0.2/s,0.1/s)
  attacker seat : 1
  attacker castle: normal (chumps can win the game outright)
  horizon       : 36000 ticks (1200s); the real game ends at 600s

=== ATTACKER IN SEAT P1 ===

--- blockers every 1 ticks (30.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s      DEF WINS        inf      inf     120      240        -   60% defender_won      
Black    6  weirdo         evilminnow          57.9s      DEF WINS        inf      inf     157      314        -   58% defender_won      
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     865     1730        -   30% defender_won      
Black    8  evilguy        evilminnow          33.4s      DEF WINS        inf      inf    2058     4116        -   18% defender_won      
Blue     5  squid          fishy              198.6s      DEF WINS        inf      inf     133      399        -   61% defender_won      
Blue     6  judge          fishy               99.6s      DEF WINS        inf      inf     299      897        -   47% defender_won      
Blue     7  octoboi        fishy               39.5s      DEF WINS        inf      inf     796     2388        -   26% defender_won      
Blue     8  lightningbear  fishy               19.2s      DEF WINS        inf      inf    2356     7068        -   33% defender_won      
Green    5  gecko          minisnecko         199.3s      DEF WINS        inf      inf     132      132        -   53% defender_won      
Green    6  geico          minisnecko          98.1s      DEF WINS        inf      inf     240      240        -   39% defender_won      
Green    7  nom            minisnecko          11.1s      DEF WINS        inf      inf     401      401        -   51% defender_won      
Green    8  trogdor        minisnecko          16.4s      DEF WINS        inf      inf    3253     3253        -   31% defender_won      
Orange   5  scott          phil               182.6s      DEF WINS        inf      inf      97      388        -   66% defender_won      
Orange   6  zander         phil               149.0s      DEF WINS        inf      inf     255     1020        -   65% defender_won      
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf    1498     5992        -   33% defender_won      
Orange   8  hwy            phil                23.9s      DEF WINS        inf      inf    1798     7192        -   26% defender_won      
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf     106      106        -   53% defender_won      
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf     119      119        -   65% defender_won      
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     556      556        -   27% defender_won      
Purple   8  bigblobbo      cant                33.4s      DEF WINS        inf      inf    1588     1588        -   15% defender_won      
Red      5  birdo          derpyberd          199.4s      DEF WINS        inf      inf     150      150        -   67% defender_won      
Red      6  the_puncher    derpyberd           46.8s      DEF WINS        inf      inf     207      207        -   72% defender_won      
Red      7  caw            derpyberd           17.5s      DEF WINS        inf      inf    2181     2181        -   53% defender_won      
Red      8  draggo         derpyberd           33.4s      DEF WINS        inf      inf    4510     4510        -   24% defender_won      
White    5  alpacco        doggo              243.3s      DEF WINS        inf      inf     150      450        -   62% defender_won      
White    6  bread          doggo               88.7s      DEF WINS        inf      inf     303      909        -   56% defender_won      
White    7  eggo           doggo               11.8s      DEF WINS        inf      inf     503     1509        -   62% defender_won      
White    8  corn           doggo               61.7s      DEF WINS        inf      inf    3373    10119        -   13% defender_won      
Yellow   5  jig            minnow             162.0s      DEF WINS        inf      inf     115      230        -   59% defender_won      
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf     209      418        -   27% defender_won      
Yellow   7  deus           minnow              31.0s      DEF WINS        inf      inf    1697     3394        -   27% defender_won      
Yellow   8  lyon           minnow              33.4s      DEF WINS        inf      inf    1865     3730        -   15% defender_won      

--- blockers every 2 ticks (15.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s      DEF WINS        inf      inf      75      150        -   60% defender_won      
Black    6  weirdo         evilminnow          57.9s      DEF WINS        inf      inf     130      260        -   59% defender_won      
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     474      948        -   31% defender_won      
Black    8  evilguy        evilminnow          33.4s      DEF WINS        inf      inf    1948     3896        -   18% defender_won      
Blue     5  squid          fishy              198.6s      DEF WINS        inf      inf      81      243        -   62% defender_won      
Blue     6  judge          fishy               99.6s      DEF WINS        inf      inf     238      714        -   47% defender_won      
Blue     7  octoboi        fishy               39.5s      DEF WINS        inf      inf    1806     5418        -   27% defender_won      
Blue     8  lightningbear  fishy               19.2s      DEF WINS        inf      inf    2254     6762        -   33% defender_won      
Green    5  gecko          minisnecko         199.3s      DEF WINS        inf      inf      90       90        -   56% defender_won      
Green    6  geico          minisnecko          98.1s      DEF WINS        inf      inf     156      156        -   40% defender_won      
Green    7  nom            minisnecko          11.1s      DEF WINS        inf      inf     381      381        -   51% defender_won      
Green    8  trogdor        minisnecko          16.4s      DEF WINS        inf      inf    3188     3188        -   32% defender_won      
Orange   5  scott          phil               182.6s      DEF WINS        inf      inf      57      228        -   69% defender_won      
Orange   6  zander         phil               149.0s      DEF WINS        inf      inf     188      752        -   79% defender_won      
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf     814     3256        -   33% defender_won      
Orange   8  hwy            phil                23.9s      DEF WINS        inf      inf    1717     6868        -   27% defender_won      
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      69       69        -   54% defender_won      
