attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,8,evilguy,3,0,-,Black,evilminnow,0,1,castle_destroyed,881,29.37,False,0,0,0,0,0,0,42120,42120,3,-1,1.0000,851
Black,8,evilguy,3,0,-,Black,evilminnow,10,1,survived_horizon,36000,1200.00,True,3600,3591,7200,23,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,12,1,survived_horizon,36000,1200.00,True,3000,2993,6000,19,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,15,1,survived_horizon,36000,1200.00,True,2400,2395,4800,15,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,16,1,survived_horizon,36000,1200.00,True,2250,2245,4500,14,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,18,1,survived_horizon,36000,1200.00,True,2000,1996,4000,12,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,20,1,survived_horizon,36000,1200.00,True,1800,1796,3600,11,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,21,1,survived_horizon,36000,1200.00,True,1715,1711,3430,11,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,22,1,survived_horizon,36000,1200.00,True,1637,1633,3274,10,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,24,1,survived_horizon,36000,1200.00,True,1500,1497,3000,9,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,25,1,survived_horizon,36000,1200.00,True,1440,1438,2880,8,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,26,1,survived_horizon,36000,1200.00,True,1385,1382,2770,8,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,28,1,survived_horizon,36000,1200.00,True,1286,1283,2572,8,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,30,1,survived_horizon,36000,1200.00,True,1200,1198,2400,6,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,32,1,survived_horizon,36000,1200.00,True,1125,1123,2250,7,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,35,1,survived_horizon,36000,1200.00,True,1029,1027,2058,6,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,38,1,survived_horizon,36000,1200.00,True,948,946,1896,5,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,40,1,survived_horizon,36000,1200.00,True,900,899,1800,5,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,4,0,-,Black,evilminnow,0,1,castle_destroyed,881,29.37,False,0,0,0,0,0,0,56160,56160,4,-1,1.0000,851
Black,8,evilguy,4,0,-,Black,evilminnow,10,1,survived_horizon,36000,1200.00,True,3600,3594,7200,20,0,0,56160,56160,4,-1,1.0000,-1
