attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,8,evilguy,1,0,-,Black,evilminnow,0,1,castle_destroyed,1001,33.37,False,0,0,0,0,0,0,14040,14040,1,-1,1.0000,851
Black,8,evilguy,1,0,-,Black,evilminnow,25,1,survived_horizon,36000,1200.00,True,1440,1429,2880,11,0,0,14040,14040,1,-1,0.3176,-1
Black,8,evilguy,1,0,-,Black,evilminnow,28,1,survived_horizon,36000,1200.00,True,1286,1281,2572,11,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,30,1,survived_horizon,36000,1200.00,True,1200,1191,2400,9,0,0,14040,14040,1,-1,0.3471,-1
Black,8,evilguy,1,0,-,Black,evilminnow,33,1,survived_horizon,36000,1200.00,True,1091,1087,2182,9,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,35,1,survived_horizon,36000,1200.00,True,1029,1025,2058,9,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,37,1,survived_horizon,36000,1200.00,True,973,969,1946,8,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,40,1,survived_horizon,36000,1200.00,True,900,897,1800,8,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,45,1,survived_horizon,36000,1200.00,True,800,797,1600,7,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,50,1,survived_horizon,36000,1200.00,True,720,715,1440,5,0,0,14040,14040,1,-1,0.4647,-1
Black,8,evilguy,1,0,-,Black,evilminnow,55,1,survived_horizon,36000,1200.00,True,655,652,1310,6,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,60,1,survived_horizon,36000,1200.00,True,600,598,1200,5,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,70,1,survived_horizon,36000,1200.00,True,515,513,1030,4,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,75,1,survived_horizon,36000,1200.00,True,480,477,960,3,0,0,14040,14040,1,-1,0.6118,-1
Black,8,evilguy,1,0,-,Black,evilminnow,80,1,survived_horizon,36000,1200.00,True,450,449,900,3,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,90,1,survived_horizon,36000,1200.00,True,400,399,800,3,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,100,1,survived_horizon,36000,1200.00,True,360,359,720,3,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,120,1,survived_horizon,36000,1200.00,True,300,299,600,2,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,140,1,survived_horizon,36000,1200.00,True,258,257,516,2,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,150,1,survived_horizon,36000,1200.00,True,240,239,480,1,0,0,14040,14040,1,-1,1.0000,-1
Black,8,evilguy,1,0,-,Black,evilminnow,155,1,castle_destroyed,9151,305.03,False,60,59,120,1,0,0,14040,14040,1,-1,1.0000,4501
Black,8,evilguy,1,0,-,Black,evilminnow,160,1,castle_destroyed,4801,160.03,False,31,30,62,1,0,0,14040,14040,1,-1,1.0000,2401
Black,8,evilguy,2,0,-,Black,evilminnow,0,1,castle_destroyed,881,29.37,False,0,0,0,0,0,0,28080,28080,2,-1,1.0000,851
Black,8,evilguy,2,0,-,Black,evilminnow,25,1,survived_horizon,36000,1200.00,True,1440,1431,2880,9,0,0,28080,28080,2,-1,0.3176,-1
Black,8,evilguy,2,0,-,Black,evilminnow,28,1,survived_horizon,36000,1200.00,True,1286,1282,2572,9,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,30,1,survived_horizon,36000,1200.00,True,1200,1197,2400,8,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,33,1,survived_horizon,36000,1200.00,True,1091,1088,2182,8,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,35,1,survived_horizon,36000,1200.00,True,1029,1026,2058,7,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,37,1,survived_horizon,36000,1200.00,True,973,971,1946,7,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,40,1,survived_horizon,36000,1200.00,True,900,898,1800,7,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,45,1,survived_horizon,36000,1200.00,True,800,798,1600,5,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,50,1,survived_horizon,36000,1200.00,True,720,719,1440,4,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,55,1,survived_horizon,36000,1200.00,True,655,654,1310,4,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,60,1,survived_horizon,36000,1200.00,True,600,599,1200,4,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,70,1,survived_horizon,36000,1200.00,True,515,514,1030,3,0,0,28080,28080,2,-1,1.0000,-1
Black,8,evilguy,2,0,-,Black,evilminnow,75,1,castle_destroyed,2403,80.10,False,33,32,66,3,0,0,28080,28080,2,-1,1.0000,2253
Black,8,evilguy,2,0,-,Black,evilminnow,80,1,castle_destroyed,2551,85.03,False,32,32,64,3,0,0,28080,28080,2,-1,1.0000,2401
Black,8,evilguy,2,0,-,Black,evilminnow,90,1,castle_destroyed,1520,50.67,False,17,17,34,2,0,0,28080,28080,2,-1,1.0000,1070
Black,8,evilguy,2,0,-,Black,evilminnow,100,1,castle_destroyed,1195,39.83,False,12,12,24,2,0,0,28080,28080,2,-1,1.0000,895
Black,8,evilguy,2,0,-,Black,evilminnow,120,1,castle_destroyed,1057,35.23,False,9,9,18,2,0,0,28080,28080,2,-1,1.0000,907
Black,8,evilguy,2,0,-,Black,evilminnow,140,1,castle_destroyed,1040,34.67,False,8,8,16,2,0,0,28080,28080,2,-1,1.0000,890
Black,8,evilguy,2,0,-,Black,evilminnow,150,1,castle_destroyed,1034,34.47,False,7,7,14,1,0,0,28080,28080,2,-1,1.0000,884
Black,8,evilguy,2,0,-,Black,evilminnow,155,1,castle_destroyed,1035,34.50,False,7,7,14,1,0,0,28080,28080,2,-1,1.0000,885
Black,8,evilguy,2,0,-,Black,evilminnow,160,1,castle_destroyed,1034,34.47,False,7,7,14,1,0,0,28080,28080,2,-1,1.0000,884
Black,8,evilguy,3,0,-,Black,evilminnow,0,1,castle_destroyed,881,29.37,False,0,0,0,0,0,0,42120,42120,3,-1,1.0000,851
Black,8,evilguy,3,0,-,Black,evilminnow,25,1,survived_horizon,36000,1200.00,True,1440,1438,2880,8,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,28,1,survived_horizon,36000,1200.00,True,1286,1283,2572,8,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,30,1,survived_horizon,36000,1200.00,True,1200,1198,2400,6,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,33,1,survived_horizon,36000,1200.00,True,1091,1089,2182,7,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,35,1,survived_horizon,36000,1200.00,True,1029,1027,2058,6,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,37,1,castle_destroyed,7446,248.20,False,202,201,404,6,0,0,42120,42120,3,-1,1.0000,4746
Black,8,evilguy,3,0,-,Black,evilminnow,40,1,survived_horizon,36000,1200.00,True,900,899,1800,5,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,45,1,survived_horizon,36000,1200.00,True,800,799,1600,5,0,0,42120,42120,3,-1,1.0000,-1
Black,8,evilguy,3,0,-,Black,evilminnow,50,1,castle_destroyed,2106,70.20,False,43,42,86,4,0,0,42120,42120,3,-1,1.0000,1956
Black,8,evilguy,3,0,-,Black,evilminnow,55,1,castle_destroyed,1801,60.03,False,33,33,66,4,0,0,42120,42120,3,-1,1.0000,1651
Black,8,evilguy,3,0,-,Black,evilminnow,60,1,castle_destroyed,1379,45.97,False,23,23,46,3,0,0,42120,42120,3,-1,1.0000,1079
Black,8,evilguy,3,0,-,Black,evilminnow,70,1,castle_destroyed,1104,36.80,False,16,16,32,3,0,0,42120,42120,3,-1,1.0000,954
Black,8,evilguy,3,0,-,Black,evilminnow,75,1,castle_destroyed,1088,36.27,False,15,15,30,3,0,0,42120,42120,3,-1,1.0000,938
Black,8,evilguy,3,0,-,Black,evilminnow,80,1,castle_destroyed,1046,34.87,False,14,13,28,3,0,0,42120,42120,3,-1,1.0000,920
Black,8,evilguy,3,0,-,Black,evilminnow,90,1,castle_destroyed,1439,47.97,False,16,16,32,2,0,0,42120,42120,3,-1,1.0000,989
Black,8,evilguy,3,0,-,Black,evilminnow,100,1,castle_destroyed,975,32.50,False,10,10,20,2,0,0,42120,42120,3,-1,1.0000,895
Black,8,evilguy,3,0,-,Black,evilminnow,120,1,castle_destroyed,911,30.37,False,8,8,16,2,0,0,42120,42120,3,-1,1.0000,907
Black,8,evilguy,3,0,-,Black,evilminnow,140,1,castle_destroyed,911,30.37,False,7,7,14,2,0,0,42120,42120,3,-1,1.0000,890
Black,8,evilguy,3,0,-,Black,evilminnow,150,1,castle_destroyed,932,31.07,False,7,7,14,1,0,0,42120,42120,3,-1,1.0000,884
Black,8,evilguy,3,0,-,Black,evilminnow,155,1,castle_destroyed,911,30.37,False,6,6,12,1,0,0,42120,42120,3,-1,1.0000,885
Black,8,evilguy,3,0,-,Black,evilminnow,160,1,castle_destroyed,911,30.37,False,6,6,12,1,0,0,42120,42120,3,-1,1.0000,884
Black,8,evilguy,4,0,-,Black,evilminnow,0,1,castle_destroyed,881,29.37,False,0,0,0,0,0,0,56160,56160,4,-1,1.0000,851
Black,8,evilguy,4,0,-,Black,evilminnow,25,1,survived_horizon,36000,1200.00,True,1440,1439,2880,8,0,0,56160,56160,4,-1,1.0000,-1
Black,8,evilguy,4,0,-,Black,evilminnow,28,1,castle_destroyed,3003,100.10,False,108,107,216,7,0,0,56160,56160,4,-1,1.0000,2553
Black,8,evilguy,4,0,-,Black,evilminnow,30,1,castle_destroyed,2409,80.30,False,81,80,162,6,0,0,56160,56160,4,-1,1.0000,2259
Black,8,evilguy,4,0,-,Black,evilminnow,33,1,castle_destroyed,2551,85.03,False,78,77,156,6,0,0,56160,56160,4,-1,1.0000,2251
Black,8,evilguy,4,0,-,Black,evilminnow,35,1,castle_destroyed,2701,90.03,False,78,77,156,6,0,0,56160,56160,4,-1,1.0000,2101
Black,8,evilguy,4,0,-,Black,evilminnow,37,1,castle_destroyed,2257,75.23,False,61,61,122,5,0,0,56160,56160,4,-1,1.0000,2107
Black,8,evilguy,4,0,-,Black,evilminnow,40,1,castle_destroyed,2551,85.03,False,64,64,128,5,0,0,56160,56160,4,-1,1.0000,2401
Black,8,evilguy,4,0,-,Black,evilminnow,45,1,castle_destroyed,1311,43.70,False,30,29,60,4,0,0,56160,56160,4,-1,1.0000,1085
Black,8,evilguy,4,0,-,Black,evilminnow,50,1,castle_destroyed,1107,36.90,False,23,22,46,4,0,0,56160,56160,4,-1,1.0000,957
Black,8,evilguy,4,0,-,Black,evilminnow,55,1,castle_destroyed,1052,35.07,False,20,19,40,4,0,0,56160,56160,4,-1,1.0000,960
Black,8,evilguy,4,0,-,Black,evilminnow,60,1,castle_destroyed,1324,44.13,False,23,22,46,3,0,0,56160,56160,4,-1,1.0000,1024
Black,8,evilguy,4,0,-,Black,evilminnow,70,1,castle_destroyed,954,31.80,False,14,14,28,3,0,0,56160,56160,4,-1,1.0000,941
Black,8,evilguy,4,0,-,Black,evilminnow,75,1,castle_destroyed,941,31.37,False,13,13,26,3,0,0,56160,56160,4,-1,1.0000,938
Black,8,evilguy,4,0,-,Black,evilminnow,80,1,castle_destroyed,941,31.37,False,12,12,24,3,0,0,56160,56160,4,-1,1.0000,920
Black,8,evilguy,4,0,-,Black,evilminnow,90,1,castle_destroyed,989,32.97,False,11,11,22,2,0,0,56160,56160,4,-1,1.0000,941
Black,8,evilguy,4,0,-,Black,evilminnow,100,1,castle_destroyed,941,31.37,False,10,10,20,2,0,0,56160,56160,4,-1,1.0000,895
Black,8,evilguy,4,0,-,Black,evilminnow,120,1,castle_destroyed,911,30.37,False,8,8,16,2,0,0,56160,56160,4,-1,1.0000,907
Black,8,evilguy,4,0,-,Black,evilminnow,140,1,castle_destroyed,911,30.37,False,7,7,14,2,0,0,56160,56160,4,-1,1.0000,890
Black,8,evilguy,4,0,-,Black,evilminnow,150,1,castle_destroyed,932,31.07,False,7,7,14,1,0,0,56160,56160,4,-1,1.0000,884
Black,8,evilguy,4,0,-,Black,evilminnow,155,1,castle_destroyed,911,30.37,False,6,6,12,1,0,0,56160,56160,4,-1,1.0000,885
Black,8,evilguy,4,0,-,Black,evilminnow,160,1,castle_destroyed,911,30.37,False,6,6,12,1,0,0,56160,56160,4,-1,1.0000,884
Black,8,evilguy,5,0,-,Black,evilminnow,0,1,castle_destroyed,881,29.37,False,0,0,0,0,0,0,70200,70200,5,-1,1.0000,851
Black,8,evilguy,5,0,-,Black,evilminnow,25,1,survived_horizon,36000,1200.00,True,1440,1439,2880,8,0,0,70200,70200,5,-1,1.0000,-1
Black,8,evilguy,5,0,-,Black,evilminnow,28,1,castle_destroyed,2101,70.03,False,76,75,152,7,0,0,70200,70200,5,-1,1.0000,1801
Black,8,evilguy,5,0,-,Black,evilminnow,30,1,castle_destroyed,1690,56.33,False,57,56,114,6,0,0,70200,70200,5,-1,1.0000,1540
Black,8,evilguy,5,0,-,Black,evilminnow,33,1,castle_destroyed,2114,70.47,False,65,64,130,6,0,0,70200,70200,5,-1,1.0000,1814
