attacker_team,tier,attacker_unit,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,attacker_hp,attacker_max_hp,deepest_progress,first_castle_hit_tick,peak_blockers,attacker_died_tick,spend_at_attacker_death
Black,8,evilguy,Black,evilminnow,0,1,castle_destroyed,1001,33.37,False,0,0,0,84240,84240,1.0000,851,0,-1,0
Black,8,evilguy,Black,evilminnow,120,1,survived_horizon,36000,1200.00,True,300,299,600,69948,84240,1.0000,-1,2,-1,0
Black,8,evilguy,Black,evilminnow,130,1,survived_horizon,36000,1200.00,True,277,276,554,72436,84240,1.0000,-1,2,-1,0
Black,8,evilguy,Black,evilminnow,140,1,survived_horizon,36000,1200.00,True,258,257,516,73232,84240,1.0000,-1,2,-1,0
Black,8,evilguy,Black,evilminnow,145,1,survived_horizon,36000,1200.00,True,249,248,498,73228,84240,1.0000,-1,2,-1,0
Black,8,evilguy,Black,evilminnow,150,1,survived_horizon,36000,1200.00,True,240,239,480,64512,84240,1.0000,-1,1,-1,0
Black,8,evilguy,Black,evilminnow,155,1,castle_destroyed,9151,305.03,False,60,59,120,82028,84240,1.0000,4501,1,-1,0
Black,8,evilguy,Black,evilminnow,160,1,castle_destroyed,4801,160.03,False,31,30,62,83256,84240,1.0000,2401,1,-1,0
Black,8,evilguy,Black,evilminnow,170,1,castle_destroyed,2551,85.03,False,16,15,32,83856,84240,1.0000,1351,1,-1,0
Black,8,evilguy,Black,evilminnow,180,1,castle_destroyed,1802,60.07,False,11,10,22,83976,84240,1.0000,902,1,-1,0
Blue,8,lightningbear,Blue,fishy,0,1,castle_destroyed,576,19.20,False,0,0,0,73740,73740,1.0000,426,0,-1,0
Blue,8,lightningbear,Blue,fishy,120,1,survived_horizon,36000,1200.00,True,300,300,900,64542,73740,1.0000,-1,2,-1,0
Blue,8,lightningbear,Blue,fishy,130,1,survived_horizon,36000,1200.00,True,277,277,831,64140,73740,1.0000,-1,2,-1,0
Blue,8,lightningbear,Blue,fishy,140,1,survived_horizon,36000,1200.00,True,258,257,774,64731,73740,1.0000,-1,2,-1,0
Blue,8,lightningbear,Blue,fishy,145,1,survived_horizon,36000,1200.00,True,249,249,747,65295,73740,1.0000,-1,2,-1,0
Blue,8,lightningbear,Blue,fishy,150,1,survived_horizon,36000,1200.00,True,240,240,720,60192,73740,1.0000,-1,1,-1,0
Blue,8,lightningbear,Blue,fishy,155,1,castle_destroyed,8690,289.67,False,57,56,171,72078,73740,1.0000,4040,2,-1,0
Blue,8,lightningbear,Blue,fishy,160,1,castle_destroyed,4490,149.67,False,29,28,87,72930,73740,1.0000,2090,1,-1,0
Blue,8,lightningbear,Blue,fishy,170,1,castle_destroyed,2390,79.67,False,15,14,45,73386,73740,1.0000,1190,1,-1,0
Blue,8,lightningbear,Blue,fishy,180,1,castle_destroyed,1790,59.67,False,10,10,30,73527,73740,1.0000,890,1,-1,0
Green,8,trogdor,Green,minisnecko,0,1,castle_destroyed,491,16.37,False,0,0,0,70510,70510,1.0000,341,0,-1,0
Green,8,trogdor,Green,minisnecko,120,1,survived_horizon,36000,1200.00,True,300,300,300,64396,70510,1.0000,-1,2,-1,0
Green,8,trogdor,Green,minisnecko,130,1,survived_horizon,36000,1200.00,True,277,277,277,64088,70510,1.0000,-1,2,-1,0
Green,8,trogdor,Green,minisnecko,140,1,survived_horizon,36000,1200.00,True,258,257,258,64590,70510,1.0000,-1,2,-1,0
Green,8,trogdor,Green,minisnecko,145,1,survived_horizon,36000,1200.00,True,249,248,249,64892,70510,1.0000,-1,2,-1,0
Green,8,trogdor,Green,minisnecko,150,1,survived_horizon,36000,1200.00,True,240,240,240,63836,70510,1.0000,-1,1,-1,0
Green,8,trogdor,Green,minisnecko,155,1,castle_destroyed,7757,258.57,False,51,50,51,69578,70510,1.0000,3107,2,-1,0
Green,8,trogdor,Green,minisnecko,160,1,castle_destroyed,4007,133.57,False,26,25,26,70048,70510,1.0000,1607,1,-1,0
Green,8,trogdor,Green,minisnecko,170,1,castle_destroyed,2207,73.57,False,13,13,13,70278,70510,1.0000,857,1,-1,0
Green,8,trogdor,Green,minisnecko,180,1,castle_destroyed,1607,53.57,False,9,9,9,70382,70510,1.0000,707,1,-1,0
Orange,8,hwy,Orange,phil,0,1,castle_destroyed,718,23.93,False,0,0,0,73740,73740,1.0000,568,0,-1,0
Orange,8,hwy,Orange,phil,120,1,survived_horizon,36000,1200.00,True,300,299,1200,59772,73740,1.0000,-1,2,-1,0
Orange,8,hwy,Orange,phil,130,1,survived_horizon,36000,1200.00,True,277,276,1108,60740,73740,1.0000,-1,2,-1,0
Orange,8,hwy,Orange,phil,140,1,survived_horizon,36000,1200.00,True,258,256,1032,61512,73740,1.0000,-1,2,-1,0
Orange,8,hwy,Orange,phil,145,1,survived_horizon,36000,1200.00,True,249,248,996,62328,73740,1.0000,-1,2,-1,0
Orange,8,hwy,Orange,phil,150,1,survived_horizon,36000,1200.00,True,240,239,960,54784,73740,1.0000,-1,1,-1,0
