# Loadout best-response table for the singleplayer bot.
# row = loadout the HUMAN picked (seat P1); the ranked entries are what the
# BOT (seat P2) should answer with. DIRECTIONAL AND SEAT-SPECIFIC: fitted from
# HeuristicBot-vs-HeuristicBot games with fixed seats, so est_winrate is the
# bot's win rate against HeuristicBot playing that loadout, NOT against Marc.
# Generated by CastleDefense.BotArena counter-matrix + counter/analyze.py.
human_team,human_off,human_def,rank,bot_team,bot_off,bot_def,est_winrate,games
Black,nuke,heal,0,White,nuke,heal,0.9976,216
Black,nuke,heal,1,White,nuke,wall,0.9976,216
Black,nuke,heal,2,White,freeze,heal,0.9976,216
Black,nuke,heal,3,White,firebomb,heal,0.9976,216
Black,nuke,heal,4,White,freeze,speed,0.9976,216
Black,nuke,heal,5,Black,nuke,heal,0.9976,216
Black,nuke,heal,6,Blue,nuke,heal,0.9975,216
Black,nuke,heal,7,Black,nuke,wall,0.9975,216
Black,nuke,reinforcements,0,White,nuke,reinforcements,0.9976,216
Black,nuke,reinforcements,1,White,nuke,heal,0.9976,216
Black,nuke,reinforcements,2,White,nuke,wall,0.9976,216
Black,nuke,reinforcements,3,White,freeze,reinforcements,0.9976,216
Black,nuke,reinforcements,4,White,freeze,heal,0.9976,216
Black,nuke,reinforcements,5,White,firebomb,heal,0.9976,216
Black,nuke,reinforcements,6,White,freeze,wall,0.9976,216
Black,nuke,reinforcements,7,White,freeze,speed,0.9976,216
Black,nuke,speed,0,White,nuke,heal,0.9977,216
Black,nuke,speed,1,White,nuke,wall,0.9977,216
Black,nuke,speed,2,White,firebomb,heal,0.9977,216
Black,nuke,speed,3,White,freeze,speed,0.9976,216
Black,nuke,speed,4,Black,nuke,heal,0.9976,216
Black,nuke,speed,5,Blue,nuke,heal,0.9976,216
Black,nuke,speed,6,Black,nuke,wall,0.9976,216
Black,nuke,speed,7,White,firebomb,speed,0.9976,216
Black,nuke,wall,0,White,nuke,reinforcements,0.9976,216
Black,nuke,wall,1,White,nuke,wall,0.9976,216
Black,nuke,wall,2,White,freeze,heal,0.9976,216
Black,nuke,wall,3,White,firebomb,heal,0.9976,216
Black,nuke,wall,4,White,firebomb,wall,0.9976,216
Black,nuke,wall,5,White,freeze,speed,0.9976,216
Black,nuke,wall,6,White,firebomb,reinforcements,0.9976,216
Black,nuke,wall,7,White,nuke,heal,0.9953,216
Black,firebomb,heal,0,White,nuke,reinforcements,0.9976,216
Black,firebomb,heal,1,White,nuke,heal,0.9976,216
Black,firebomb,heal,2,White,nuke,wall,0.9976,216
Black,firebomb,heal,3,White,freeze,reinforcements,0.9976,216
Black,firebomb,heal,4,White,freeze,heal,0.9976,216
Black,firebomb,heal,5,White,firebomb,heal,0.9976,216
Black,firebomb,heal,6,White,firebomb,wall,0.9976,216
Black,firebomb,heal,7,White,freeze,speed,0.9767,16
Black,firebomb,reinforcements,0,White,nuke,reinforcements,0.9977,216
Black,firebomb,reinforcements,1,White,nuke,heal,0.9977,216
Black,firebomb,reinforcements,2,White,nuke,wall,0.9977,216
Black,firebomb,reinforcements,3,White,freeze,reinforcements,0.9977,216
Black,firebomb,reinforcements,4,White,freeze,heal,0.9977,216
Black,firebomb,reinforcements,5,White,firebomb,heal,0.9977,216
Black,firebomb,reinforcements,6,White,firebomb,wall,0.9977,216
Black,firebomb,reinforcements,7,White,freeze,wall,0.9977,216
Black,firebomb,speed,0,White,nuke,reinforcements,0.9977,216
Black,firebomb,speed,1,White,nuke,wall,0.9977,216
Black,firebomb,speed,2,White,freeze,reinforcements,0.9977,216
Black,firebomb,speed,3,White,freeze,heal,0.9977,216
Black,firebomb,speed,4,White,firebomb,heal,0.9977,216
Black,firebomb,speed,5,White,freeze,speed,0.9977,216
Black,firebomb,speed,6,White,firebomb,reinforcements,0.9977,216
Black,firebomb,speed,7,Blue,nuke,heal,0.9977,216
Black,firebomb,wall,0,White,nuke,reinforcements,0.9976,216
Black,firebomb,wall,1,White,nuke,heal,0.9976,216
Black,firebomb,wall,2,White,freeze,reinforcements,0.9976,216
Black,firebomb,wall,3,White,freeze,heal,0.9976,216
Black,firebomb,wall,4,White,firebomb,heal,0.9976,216
Black,firebomb,wall,5,White,firebomb,wall,0.9976,216
Black,firebomb,wall,6,White,freeze,wall,0.9976,216
Black,firebomb,wall,7,White,freeze,speed,0.9976,216
Black,snipe,heal,0,White,nuke,reinforcements,0.9977,216
Black,snipe,heal,1,White,nuke,heal,0.9977,216
Black,snipe,heal,2,White,nuke,wall,0.9977,216
Black,snipe,heal,3,White,freeze,reinforcements,0.9977,216
Black,snipe,heal,4,White,freeze,heal,0.9977,216
Black,snipe,heal,5,White,firebomb,heal,0.9977,216
Black,snipe,heal,6,White,firebomb,wall,0.9977,216
Black,snipe,heal,7,White,freeze,speed,0.9977,216
Black,snipe,reinforcements,0,White,nuke,reinforcements,0.9977,216
Black,snipe,reinforcements,1,White,nuke,heal,0.9977,216
Black,snipe,reinforcements,2,White,nuke,wall,0.9977,216
Black,snipe,reinforcements,3,White,freeze,reinforcements,0.9977,216
Black,snipe,reinforcements,4,White,freeze,heal,0.9977,216
Black,snipe,reinforcements,5,White,firebomb,heal,0.9977,216
Black,snipe,reinforcements,6,White,firebomb,wall,0.9977,216
Black,snipe,reinforcements,7,White,freeze,wall,0.9977,216
Black,snipe,speed,0,White,nuke,reinforcements,0.9978,216
Black,snipe,speed,1,White,nuke,heal,0.9978,216
Black,snipe,speed,2,White,nuke,wall,0.9978,216
Black,snipe,speed,3,White,freeze,reinforcements,0.9978,216
Black,snipe,speed,4,White,freeze,heal,0.9978,216
Black,snipe,speed,5,White,firebomb,heal,0.9978,216
Black,snipe,speed,6,White,firebomb,wall,0.9978,216
Black,snipe,speed,7,White,freeze,wall,0.9978,216
Black,snipe,wall,0,White,nuke,reinforcements,0.9977,216
Black,snipe,wall,1,White,nuke,heal,0.9977,216
Black,snipe,wall,2,White,nuke,wall,0.9977,216
Black,snipe,wall,3,White,freeze,reinforcements,0.9977,216
Black,snipe,wall,4,White,freeze,heal,0.9977,216
Black,snipe,wall,5,White,firebomb,wall,0.9977,216
Black,snipe,wall,6,White,freeze,wall,0.9977,216
Black,snipe,wall,7,White,firebomb,heal,0.9889,216
Black,freeze,heal,0,White,nuke,reinforcements,0.9976,216
Black,freeze,heal,1,White,nuke,wall,0.9976,216
Black,freeze,heal,2,White,freeze,reinforcements,0.9976,216
Black,freeze,heal,3,White,freeze,heal,0.9976,216
Black,freeze,heal,4,White,firebomb,heal,0.9976,216
Black,freeze,heal,5,White,firebomb,wall,0.9976,216
Black,freeze,heal,6,White,freeze,wall,0.9976,216
Black,freeze,heal,7,White,firebomb,reinforcements,0.9976,216
Black,freeze,reinforcements,0,White,nuke,reinforcements,0.9976,216
Black,freeze,reinforcements,1,White,nuke,heal,0.9976,216
Black,freeze,reinforcements,2,White,nuke,wall,0.9976,216
Black,freeze,reinforcements,3,White,freeze,reinforcements,0.9976,216
Black,freeze,reinforcements,4,White,firebomb,heal,0.9976,216
Black,freeze,reinforcements,5,White,firebomb,wall,0.9976,216
Black,freeze,reinforcements,6,White,freeze,speed,0.9976,216
Black,freeze,reinforcements,7,White,firebomb,reinforcements,0.9976,216
Black,freeze,speed,0,White,nuke,reinforcements,0.9977,216
Black,freeze,speed,1,White,nuke,wall,0.9977,216
Black,freeze,speed,2,White,freeze,reinforcements,0.9977,216
Black,freeze,speed,3,White,freeze,heal,0.9977,216
Black,freeze,speed,4,White,firebomb,heal,0.9977,216
Black,freeze,speed,5,White,firebomb,wall,0.9977,216
Black,freeze,speed,6,White,freeze,wall,0.9977,216
Black,freeze,speed,7,White,freeze,speed,0.9977,216
Black,freeze,wall,0,White,nuke,reinforcements,0.9976,216
Black,freeze,wall,1,White,nuke,heal,0.9976,216
Black,freeze,wall,2,White,freeze,reinforcements,0.9976,216
