# Human policy table — conditional action distribution fitted from replays.
# games=141 bins=24 (investment 0-7 x pressure 0/1-5/6+ enemy units)
# act_rate is P(act | tick) in that bin; a1..a13 are raw action counts.
bin,invest,pressure,ticks,actions,act_rate,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
0,0,0,39130,140,0.003578,30,0,0,0,0,0,0,0,108,0,0,0,2
1,0,1,6698,31,0.004628,2,0,1,0,0,0,0,0,26,0,0,0,2
2,0,2,2386,3,0.001257,0,0,0,0,0,0,0,0,2,0,0,0,1
3,1,0,41456,176,0.004245,62,2,8,1,0,0,0,0,99,2,0,2,0
4,1,1,16640,160,0.009615,91,1,16,7,0,0,0,0,30,12,0,3,0
5,1,2,1953,11,0.005632,2,0,0,0,0,0,0,0,7,0,1,1,0
6,2,0,52290,255,0.004877,97,4,22,17,0,0,0,0,83,5,1,17,9
7,2,1,27876,380,0.013632,248,0,19,41,2,0,0,0,42,9,4,12,3
8,2,2,4586,33,0.007196,5,1,8,2,0,0,0,0,7,4,1,4,1
9,3,0,60207,481,0.007989,254,3,20,32,8,0,0,0,67,7,12,51,27
10,3,1,39617,446,0.011258,196,4,27,62,15,0,0,0,57,22,23,31,9
11,3,2,5236,44,0.008403,16,0,2,3,1,0,0,0,8,1,1,7,5
12,4,0,75047,1085,0.014458,540,0,12,109,47,48,0,0,55,23,44,136,71
13,4,1,47577,697,0.014650,310,0,21,117,48,17,0,0,40,17,45,63,19
14,4,2,12733,133,0.010445,10,0,1,11,25,17,0,0,14,7,12,20,16
15,5,0,29149,541,0.018560,270,0,0,58,59,46,7,0,16,4,4,44,33
16,5,1,24489,366,0.014945,33,0,2,61,106,57,9,1,10,5,22,38,22
17,5,2,22044,549,0.024905,5,0,2,120,181,61,27,1,11,22,53,38,28
18,6,0,5794,79,0.013635,0,0,0,4,14,32,9,0,1,3,1,9,6
19,6,1,5596,125,0.022337,0,0,1,46,22,25,7,0,1,0,4,10,9
20,6,2,8868,192,0.021651,0,0,3,67,39,26,6,2,6,7,14,12,10
21,7,0,539,31,0.057514,0,0,0,29,1,0,0,0,0,0,0,1,0
22,7,1,1389,57,0.041037,0,0,0,19,35,0,0,0,0,0,0,0,3
23,7,2,5955,145,0.024349,15,0,9,0,76,4,11,1,3,3,10,4,9
