generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
0,0,,0.52,0,nan,0.3,61274.611399,3897.829701,1276.611208,756.167737,0.040603,0.74509,2286.561064,35.167323,65.930888,8.504478
0,1,,0.51,0,nan,0.3,45121.958983,2828.098002,931.11365,438.032816,0.16457,0.716849,1954.213219,44.452669,75.837655,14.29842
0,2,,0.50667,0,nan,0.3,47461.169376,3601.652434,865.810091,838.08347,0.075519,0.945286,2730.87083,38.863878,88.205476,5.962602
0,3,,0.53333,0,nan,0.3,29890.828613,4525.766254,597.749511,866.896256,0.083245,0.719105,1080.342572,32.924316,69.41104,12.097446
0,4,,0.53,0,nan,0.3,49844.702216,4145.994084,796.278934,712.059639,0.087248,0.457798,1529.090541,52.36528,84.751497,11.186884
0,5,,0.41333,0,nan,0.3,68474.662796,4174.253697,569.155447,1044.129835,0.068411,0.857889,1219.607207,45.035674,89.158402,6.071063
0,6,,0.53,0,nan,0.3,57071.760365,1451.979572,583.784644,811.103238,0.125275,0.807104,2046.948567,79.24973,83.799256,10.93172
1,0,3,0.5,0,0.1429,0.3,29890.828613,4525.766254,597.749511,866.896256,0.083245,0.719105,1080.342572,32.924316,69.41104,12.097446
1,1,4,0.54,1,0.1429,0.3,49844.702216,4145.994084,796.278934,712.059639,0.087248,0.457798,1529.090541,52.36528,84.751497,11.186884
1,2,6,0.51,0,0.1429,0.3,57071.760365,1451.979572,583.784644,811.103238,0.125275,0.807104,2046.948567,79.24973,83.799256,10.93172
1,3,3,0.49,0,0.1429,0.3,29964.568703,5999.006571,558.399827,923.795308,0.092623,0.59777,887.065496,31.706733,80.765561,9.90519
1,4,4,0.51,0,0.1429,0.3,72842.815905,4306.036436,553.564783,737.897118,0.082292,0.499494,2703.168195,110.040358,78.49235,14.092644
1,5,6,0.49667,0,0.1429,0.3,38917.983422,1634.495628,665.231421,748.250629,0.194531,0.628183,2969.234489,65.882861,64.415085,8.516549
1,6,3,0.49667,0,0.1429,0.3,25753.021752,4965.059279,594.474637,1433.369038,0.154878,0.783779,716.028314,29.564194,83.429239,12.373748
2,0,1,0.47333,0,0.2857,0.3,49844.702216,4145.994084,796.278934,712.059639,0.087248,0.457798,1529.090541,52.36528,84.751497,11.186884
2,1,2,0.48333,0,0.2857,0.3,57071.760365,1451.979572,583.784644,811.103238,0.125275,0.807104,2046.948567,79.24973,83.799256,10.93172
2,2,4,0.51333,1,0.2857,0.3,72842.815905,4306.036436,553.564783,737.897118,0.082292,0.499494,2703.168195,110.040358,78.49235,14.092644
2,3,1,0.55667,1,0.2857,0.3,56537.04292,2643.446526,516.704557,885.007135,0.127867,0.343345,917.169351,56.622914,60.675055,7.465572
2,4,2,0.48667,0,0.2857,0.3,57689.16779,1113.60772,714.435437,751.108422,0.162352,1.911466,2320.871309,76.9627,72.999999,18.929629
2,5,4,0.50333,0,0.2857,0.3,76968.763488,1947.93606,285.493605,573.152919,0.091513,0.317074,3100.74678,109.269308,58.833759,8.935978
2,6,1,0.52667,0,0.2857,0.3,46702.054826,7093.697559,1027.312837,927.6714,0.129668,0.469695,2065.550671,44.987755,68.537948,18.975532
3,0,3,0.51,0,0.2857,0.3,56537.04292,2643.446526,516.704557,885.007135,0.127867,0.343345,917.169351,56.622914,60.675055,7.465572
3,1,6,0.53333,1,0.2857,0.3,46702.054826,7093.697559,1027.312837,927.6714,0.129668,0.469695,2065.550671,44.987755,68.537948,18.975532
3,2,2,0.45333,0,0.2857,0.3,72842.815905,4306.036436,553.564783,737.897118,0.082292,0.499494,2703.168195,110.040358,78.49235,14.092644
3,3,3,0.53,0,0.2857,0.3,80206.891015,2522.857625,235.354585,632.189029,0.122276,0.330561,1108.486672,55.398698,94.775449,11.933094
3,4,6,0.58333,1,0.2857,0.3,36953.03995,6935.056745,1615.224197,977.300991,0.110634,0.906611,1264.440491,43.416955,72.579765,12.210094
3,5,2,0.45333,0,0.2857,0.3,49959.03231,3940.889068,483.160248,706.872485,0.115445,0.416857,1438.405506,96.983038,48.224629,19.785804
3,6,3,0.50333,0,0.2857,0.3,36894.5624,2867.484518,491.145499,936.591287,0.130444,0.317935,889.009884,44.085801,53.525379,10.099277
4,0,4,0.52,0,0.0,0.3,36953.03995,6935.056745,1615.224197,977.300991,0.110634,0.906611,1264.440491,43.416955,72.579765,12.210094
4,1,1,0.49667,0,0.0,0.3,46702.054826,7093.697559,1027.312837,927.6714,0.129668,0.469695,2065.550671,44.987755,68.537948,18.975532
4,2,3,0.51333,0,0.0,0.3,80206.891015,2522.857625,235.354585,632.189029,0.122276,0.330561,1108.486672,55.398698,94.775449,11.933094
4,3,4,0.5,0,0.0,0.3,35151.345641,8356.749201,1286.771719,903.824161,0.213241,0.978437,1184.548678,51.610139,86.238651,4.816832
4,4,1,0.52333,0,0.0,0.3,37034.387403,4248.750527,922.121181,990.41008,0.100295,0.327264,1510.70807,30.2288,43.351841,26.567047
4,5,3,0.51,0,0.0,0.3,106791.837607,3185.405465,177.332983,559.865014,0.120157,0.541792,866.141607,108.938956,92.239214,14.347806
4,6,4,0.47333,0,0.0,0.3,27999.620782,11759.168497,1434.286753,1071.339887,0.169879,1.262796,1324.884488,79.852754,54.485172,17.064929
5,0,4,0.50667,0,0.4286,0.3,37034.387403,4248.750527,922.121181,990.41008,0.100295,0.327264,1510.70807,30.2288,43.351841,26.567047
5,1,0,0.47667,0,0.4286,0.3,36953.03995,6935.056745,1615.224197,977.300991,0.110634,0.906611,1264.440491,43.416955,72.579765,12.210094
5,2,2,0.45667,0,0.4286,0.3,80206.891015,2522.857625,235.354585,632.189029,0.122276,0.330561,1108.486672,55.398698,94.775449,11.933094
5,3,4,0.53,1,0.4286,0.3,28182.631953,3240.052937,833.75397,876.47384,0.117724,0.26661,1110.495247,42.555505,31.41149,27.722776
5,4,0,0.53,1,0.4286,0.3,35948.647923,8030.820132,2372.13977,924.549502,0.140991,0.915838,1773.741928,38.83427,74.699706,10.331277
5,5,2,0.50667,0,0.4286,0.3,117351.797236,3038.709018,196.067085,886.953944,0.231862,0.316973,716.776218,48.535522,68.955757,10.915829
5,6,4,0.53,1,0.4286,0.3,34808.452779,3099.237923,701.980598,759.915895,0.071629,0.219208,1336.966881,21.034839,76.378749,15.50076
6,0,3,0.51333,0,0.1429,0.3,28182.631953,3240.052937,833.75397,876.47384,0.117724,0.26661,1110.495247,42.555505,31.41149,27.722776
6,1,4,0.53,0,0.1429,0.3,35948.647923,8030.820132,2372.13977,924.549502,0.140991,0.915838,1773.741928,38.83427,74.699706,10.331277
6,2,6,0.50333,0,0.1429,0.3,34808.452779,3099.237923,701.980598,759.915895,0.071629,0.219208,1336.966881,21.034839,76.378749,15.50076
