generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse
0,0,,0.68333,0,nan,0.2,45026.524572,3871.141358,1032.596216,572.933611,0.080532,0.947642,1663.061283,43.767349
0,1,,0.71333,0,nan,0.2,87718.25569,2661.369088,766.193633,780.19429,0.085555,1.226296,1406.394027,59.424966
0,2,,0.79333,0,nan,0.2,42132.810026,2896.87654,824.113931,737.147336,0.071548,1.174276,2240.684891,51.321404
0,3,,0.78,0,nan,0.2,60223.409976,2640.895455,971.442241,746.932703,0.149305,1.463633,1635.168594,45.708827
0,4,,0.68,0,nan,0.2,41793.243249,2885.433754,951.018213,712.367107,0.135586,0.994027,2717.077153,35.626608
0,5,,0.63333,0,nan,0.2,73844.787129,2578.551797,808.794408,527.243346,0.107026,0.9183,1470.966349,36.253235
0,6,,0.71667,0,nan,0.2,73217.657068,3834.958225,841.914341,593.587288,0.092301,1.199699,1671.879467,51.499652
1,0,2,0.74,0,0.2857,0.2,42132.810026,2896.87654,824.113931,737.147336,0.071548,1.174276,2240.684891,51.321404
1,1,3,0.69333,0,0.2857,0.2,60223.409976,2640.895455,971.442241,746.932703,0.149305,1.463633,1635.168594,45.708827
1,2,6,0.77,1,0.2857,0.2,73217.657068,3834.958225,841.914341,593.587288,0.092301,1.199699,1671.879467,51.499652
1,3,2,0.67667,0,0.2857,0.2,38975.561383,4520.753693,958.681017,602.985503,0.073122,1.519027,2299.208879,50.625122
1,4,3,0.68333,0,0.2857,0.2,76518.597805,2648.859748,738.342733,823.658925,0.134034,1.523484,1568.437164,47.194801
1,5,6,0.75,1,0.2857,0.2,59622.771493,4754.091275,889.358115,607.764063,0.11374,0.944218,1757.537724,47.029493
1,6,2,0.77,0,0.2857,0.2,42610.229662,3152.195317,970.08502,917.633154,0.080065,1.308076,1831.816149,50.280568
2,0,2,0.77,0,0.2857,0.2,73217.657068,3834.958225,841.914341,593.587288,0.092301,1.199699,1671.879467,51.499652
2,1,6,0.69333,0,0.2857,0.2,42610.229662,3152.195317,970.08502,917.633154,0.080065,1.308076,1831.816149,50.280568
2,2,5,0.84,1,0.2857,0.2,59622.771493,4754.091275,889.358115,607.764063,0.11374,0.944218,1757.537724,47.029493
2,3,2,0.78,1,0.2857,0.2,79248.734368,3243.460526,1362.621852,696.508526,0.078279,1.107372,2240.47431,50.695533
2,4,6,0.70667,0,0.2857,0.2,31386.283565,6198.742171,1232.149546,665.32657,0.063571,1.257225,1678.62035,66.055925
2,5,5,0.69667,0,0.2857,0.2,61146.104192,6358.383701,737.473675,581.642337,0.112042,0.923215,1975.694573,43.990164
2,6,2,0.68,0,0.2857,0.2,62975.36973,2496.929901,979.636712,592.145358,0.083657,0.981783,1984.957221,44.534805
3,0,2,0.71,0,0.1429,0.2,59622.771493,4754.091275,889.358115,607.764063,0.11374,0.944218,1757.537724,47.029493
3,1,3,0.76,0,0.1429,0.2,79248.734368,3243.460526,1362.621852,696.508526,0.078279,1.107372,2240.47431,50.695533
3,2,0,0.77667,1,0.1429,0.2,73217.657068,3834.958225,841.914341,593.587288,0.092301,1.199699,1671.879467,51.499652
3,3,2,0.72667,0,0.1429,0.2,81250.370334,6192.524291,1132.301859,460.8693,0.185949,0.726585,1184.548473,50.241022
3,4,3,0.63333,0,0.1429,0.2,80188.445612,4107.232418,2213.134556,673.053233,0.061785,1.20653,3201.597901,57.966232
3,5,0,0.69667,0,0.1429,0.2,58071.833531,4419.128348,1155.922437,670.404766,0.090527,1.266666,1752.489937,41.293871
3,6,2,0.78,0,0.1429,0.2,63771.935383,4257.299912,967.390705,494.382265,0.12586,1.246824,1763.776921,45.8723
4,0,6,0.77333,0,0.2857,0.2,63771.935383,4257.299912,967.390705,494.382265,0.12586,1.246824,1763.776921,45.8723
