generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
0,0,,0.49667,0,nan,0.3,61109.207432,3857.332932,878.357391,895.482299,0.092281,0.689491,1924.71879,56.950538,85.225161,7.756096
0,1,,0.48667,0,nan,0.3,28007.740632,3299.369817,653.122749,910.717834,0.093938,1.034866,1760.546726,61.458553,98.536932,9.217039
0,2,,0.52,0,nan,0.3,45965.300859,2712.704909,980.785481,302.27317,0.095373,0.78801,1456.3077,45.460106,107.424077,6.958806
0,3,,0.52333,0,nan,0.3,74926.938727,4632.326028,634.03833,704.502558,0.118063,0.947666,899.690421,38.414151,108.553427,8.870939
0,4,,0.51,0,nan,0.3,60519.451546,3531.198328,1058.86041,550.207355,0.073929,1.143019,2086.556079,59.492773,150.368734,9.768508
0,5,,0.5,0,nan,0.3,32964.622674,2812.237322,1256.784278,878.736007,0.134439,0.702202,1443.092131,26.535891,89.383998,6.883931
0,6,,0.53,0,nan,0.3,59436.346844,3926.950236,599.151221,861.807185,0.094122,1.005372,1872.356912,43.679229,103.682352,11.816362
1,0,6,0.48667,0,0.1429,0.3,59436.346844,3926.950236,599.151221,861.807185,0.094122,1.005372,1872.356912,43.679229,103.682352,11.816362
1,1,3,0.51,0,0.1429,0.3,74926.938727,4632.326028,634.03833,704.502558,0.118063,0.947666,899.690421,38.414151,108.553427,8.870939
1,2,2,0.51333,0,0.1429,0.3,45965.300859,2712.704909,980.785481,302.27317,0.095373,0.78801,1456.3077,45.460106,107.424077,6.958806
1,3,6,0.52333,0,0.1429,0.3,59094.883641,2902.465105,740.370697,1480.232046,0.079238,1.191315,2782.794889,42.801599,71.565913,11.049642
1,4,3,0.49667,0,0.1429,0.3,61120.359628,4238.762987,715.313392,445.875814,0.084274,0.85249,625.196371,33.307924,73.2204,9.949004
1,5,2,0.44667,0,0.1429,0.3,50001.959994,3248.794901,975.98898,226.00949,0.092953,0.447257,1507.341737,43.577578,92.019589,9.150931
1,6,6,0.53667,1,0.1429,0.3,65655.690491,4163.625363,587.741899,1047.015589,0.122544,1.695018,1581.315823,31.507804,87.09897,10.508548
2,0,6,0.47333,0,0.0,0.3,65655.690491,4163.625363,587.741899,1047.015589,0.122544,1.695018,1581.315823,31.507804,87.09897,10.508548
2,1,3,0.49,0,0.0,0.3,59094.883641,2902.465105,740.370697,1480.232046,0.079238,1.191315,2782.794889,42.801599,71.565913,11.049642
2,2,2,0.51333,0,0.0,0.3,45965.300859,2712.704909,980.785481,302.27317,0.095373,0.78801,1456.3077,45.460106,107.424077,6.958806
2,3,6,0.48,0,0.0,0.3,109007.195155,4055.292678,809.969915,798.860737,0.114102,2.056225,1325.360766,51.177955,76.256366,17.865092
2,4,3,0.46333,0,0.0,0.3,56492.021703,6850.794564,577.98862,1429.757832,0.087545,0.703312,1539.819341,50.842864,89.237122,9.892576
2,5,2,0.51,0,0.0,0.3,45500.553825,3227.529558,1974.508837,209.701397,0.087314,0.725295,989.192944,40.610385,140.308697,4.660984
2,6,6,0.52333,0,0.0,0.3,55792.282707,4785.460753,344.082558,1451.725559,0.118056,1.635704,3173.734832,40.683481,64.463103,11.224947
3,0,6,0.55667,1,0.4286,0.3,55792.282707,4785.460753,344.082558,1451.725559,0.118056,1.635704,3173.734832,40.683481,64.463103,11.224947
3,1,2,0.48,0,0.4286,0.3,45965.300859,2712.704909,980.785481,302.27317,0.095373,0.78801,1456.3077,45.460106,107.424077,6.958806
3,2,5,0.44,0,0.4286,0.3,45500.553825,3227.529558,1974.508837,209.701397,0.087314,0.725295,989.192944,40.610385,140.308697,4.660984
3,3,6,0.51333,0,0.4286,0.3,67439.518899,3379.663226,387.821371,879.543955,0.163006,1.070823,2407.453693,55.161614,79.069834,10.675201
3,4,2,0.54,1,0.4286,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
3,5,5,0.51333,1,0.4286,0.3,27973.030643,2771.734407,1126.690272,242.154378,0.117841,1.122139,1016.515172,30.060277,131.016719,3.506607
3,6,6,0.46667,0,0.4286,0.3,51796.847938,6058.01564,878.338208,1514.846964,0.131824,2.214795,2200.884094,23.986183,54.835061,9.351998
4,0,0,0.50667,0,0.0,0.3,55792.282707,4785.460753,344.082558,1451.725559,0.118056,1.635704,3173.734832,40.683481,64.463103,11.224947
4,1,4,0.53,0,0.0,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
4,2,3,0.48333,0,0.0,0.3,67439.518899,3379.663226,387.821371,879.543955,0.163006,1.070823,2407.453693,55.161614,79.069834,10.675201
4,3,0,0.52,0,0.0,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
4,4,4,0.49333,0,0.0,0.3,21490.653179,2644.675284,460.320311,339.005837,0.114662,0.739386,1578.983579,30.293529,150.204836,5.984822
4,5,3,0.45333,0,0.0,0.3,91678.256186,3065.94647,421.270127,875.443486,0.189571,1.033466,2295.951658,51.219045,87.242382,5.894174
4,6,0,0.51667,0,0.0,0.3,65311.647788,4614.483372,630.485919,3464.751094,0.102718,1.371722,5577.296043,30.880382,91.928999,9.916379
5,0,1,0.5,0,0.0,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
5,1,3,0.48667,0,0.0,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
5,2,6,0.46667,0,0.0,0.3,65311.647788,4614.483372,630.485919,3464.751094,0.102718,1.371722,5577.296043,30.880382,91.928999,9.916379
5,3,1,0.52,0,0.0,0.3,35046.420845,3134.889763,575.528607,392.812732,0.077543,0.429577,1009.293054,30.858167,75.433781,11.843189
5,4,3,0.47667,0,0.0,0.3,59988.617012,4675.532127,431.660906,1700.014823,0.097345,1.041154,3057.53616,60.823422,89.692644,16.498365
5,5,6,0.47333,0,0.0,0.3,44156.527325,3848.182608,892.937845,4305.673123,0.073556,0.785787,3902.774074,23.708974,51.340522,10.355816
5,6,1,0.48,0,0.0,0.3,26284.833536,3669.528777,793.2154,291.968909,0.067971,0.585411,1324.618092,14.717248,126.296445,12.62869
6,0,3,0.48667,0,0.5714,0.3,35046.420845,3134.889763,575.528607,392.812732,0.077543,0.429577,1009.293054,30.858167,75.433781,11.843189
6,1,0,0.51333,1,0.5714,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
6,2,1,0.52667,1,0.5714,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
