timestep,overall_winrate,mean_ep_reward,avg_invests_per_game,sample_count,total_games
114688,0.6556,80.08,0.192,151,151
229376,0.6456,75.67,0.111,285,285
344064,0.6182,72.73,0.354,440,440
458752,0.6101,72.21,0.541,613,613
573440,0.6208,73.86,0.48,749,749
688128,0.6361,73.51,0.503,904,904
802816,0.6324,72.1,0.45,1061,1061
917504,0.6301,73.2,0.501,1222,1222
1032192,0.6274,72.61,0.469,1366,1366
1146880,0.6299,73.07,0.495,1516,1516
1261568,0.6279,72.2,0.458,1653,1653
1376256,0.6338,72.69,0.465,1813,1813
1490944,0.6316,72.56,0.481,1957,1957
1605632,0.626,73.33,0.481,2000,2121
1720320,0.6335,73.24,0.493,2000,2272
1835008,0.6435,74.01,0.473,2000,2407
1949696,0.645,73.8,0.485,2000,2544
2064384,0.6465,74.39,0.538,2000,2695
2179072,0.646,74.8,0.532,2000,2832
2293760,0.643,74.79,0.521,2000,2976
2408448,0.646,75.3,0.529,2000,3119
2523136,0.6485,75.3,0.515,2000,3259
2637824,0.644,75.41,0.519,2000,3420
2752512,0.646,75.62,0.507,2000,3584
2867200,0.6475,75.74,0.536,2000,3721
2981888,0.649,76.17,0.536,2000,3889
3096576,0.6525,76.29,0.542,2000,4043
3211264,0.652,75.95,0.531,2000,4199
3325952,0.645,75.72,0.549,2000,4345
3440640,0.636,75.59,0.576,2000,4511
3555328,0.6415,75.82,0.566,2000,4664
3670016,0.642,76.06,0.604,2000,4816
3784704,0.632,75.6,0.597,2000,4960
3899392,0.633,75.89,0.598,2000,5117
4014080,0.629,75.46,0.596,2000,5257
4128768,0.6335,75.55,0.611,2000,5412
4243456,0.6315,75.66,0.605,2000,5573
4358144,0.6365,75.42,0.616,2000,5734
4472832,0.6325,75.33,0.611,2000,5891
4587520,0.628,75.3,0.602,2000,6038
4702208,0.626,75.23,0.607,2000,6188
4816896,0.6295,75.39,0.605,2000,6343
4931584,0.6315,75.34,0.601,2000,6501
5046272,0.6275,75.22,0.598,2000,6651
5160960,0.625,75.36,0.593,2000,6806
5275648,0.6355,75.37,0.585,2000,6952
5390336,0.632,75.39,0.584,2000,7103
5505024,0.6335,75.27,0.578,2000,7245
5619712,0.632,75.08,0.57,2000,7402
5734400,0.634,75.16,0.581,2000,7535
5849088,0.6275,75.01,0.59,2000,7666
5963776,0.628,75.16,0.593,2000,7818
6078464,0.628,75.08,0.597,2000,7973
6193152,0.6295,75.22,0.615,2000,8136
6307840,0.631,75.19,0.617,2000,8294
6422528,0.6295,75.1,0.63,2000,8428
6537216,0.634,75.12,0.626,2000,8572
6651904,0.637,75.13,0.623,2000,8710
6766592,0.6355,74.95,0.629,2000,8845
6881280,0.63,74.91,0.62,2000,8995
6995968,0.6305,74.99,0.613,2000,9138
7110656,0.6395,75.15,0.61,2000,9295
7225344,0.639,75.24,0.618,2000,9451
7340032,0.64,74.86,0.611,2000,9612
7454720,0.6395,74.86,0.622,2000,9765
7569408,0.6375,74.8,0.628,2000,9911
7684096,0.64,74.99,0.629,2000,10066
7798784,0.64,74.95,0.644,2000,10229
7913472,0.634,74.85,0.643,2000,10378
8028160,0.6315,74.88,0.637,2000,10528
8142848,0.624,74.67,0.635,2000,10659
8257536,0.6235,74.69,0.637,2000,10819
8372224,0.6235,74.62,0.63,2000,10989
8486912,0.621,74.51,0.633,2000,11142
8601600,0.6215,74.58,0.626,2000,11277
8716288,0.6235,74.65,0.623,2000,11435
8830976,0.6285,74.66,0.615,2000,11572
8945664,0.6245,74.58,0.613,2000,11734
9060352,0.63,74.56,0.61,2000,11883
9175040,0.6295,74.51,0.608,2000,12049
9289728,0.629,74.43,0.611,2000,12198
9404416,0.637,74.36,0.606,2000,12329
9519104,0.6335,74.25,0.61,2000,12480
9633792,0.6355,74.16,0.607,2000,12620
9748480,0.6365,74.18,0.605,2000,12791
9863168,0.6365,74.16,0.601,2000,12936
9977856,0.6375,74.05,0.607,2000,13083
10092544,0.6355,74.11,0.608,2000,13237
