timestep,opponent,winrate,mean_ep_reward,sample_count
114688,Anti-Spam Bot,0.0,169.29,2
114688,Heuristic Bot,0.1081,169.29,37
114688,Random Dummy,1.0,169.29,2
114688,Self-Play,0.5472,169.29,53
114688,Spam Bot T1,1.0,169.29,2
114688,Spam Bot T2,1.0,169.29,2
114688,Spam Bot T6,0.0,169.29,1
114688,Spam Bot T7,1.0,169.29,1
114688,Spam Bot T8,0.0,169.29,1
114688,castle_defense_p1_v16,1.0,169.29,2
114688,castle_defense_p1_v25_bc,0.5,169.29,2
114688,castle_defense_p1_v27,1.0,169.29,1
114688,v28_snap_20260726_005800,0.0,169.29,1
114688,v28_snap_20260726_024418,1.0,169.29,1
114688,v28_snap_20260726_045639,1.0,169.29,1
114688,v29_snap_20260726_142419,1.0,169.29,1
114688,v29_snap_20260726_145116,1.0,169.29,1
114688,v29_snap_20260726_163913,1.0,169.29,1
114688,v30_snap_20260727_115518,0.0,169.29,2
229376,Anti-Spam Bot,0.0,161.57,4
229376,Heuristic Bot,0.1125,160.99,80
229376,Random Dummy,0.5,156.94,10
229376,Self-Play,0.5752,161.09,113
229376,Spam Bot T1,1.0,164.14,3
229376,Spam Bot T2,1.0,164.14,3
229376,Spam Bot T6,0.0,169.29,1
229376,Spam Bot T7,1.0,169.29,1
229376,Spam Bot T8,0.0,169.29,1
229376,castle_defense_p1_v16,1.0,169.29,2
229376,castle_defense_p1_v25_bc,0.5,169.29,2
229376,castle_defense_p1_v27,1.0,169.29,1
229376,castle_defense_p1_v27_last,1.0,153.86,1
229376,v28_snap_20260726_005800,0.0,169.29,1
229376,v28_snap_20260726_015042,1.0,153.86,1
229376,v28_snap_20260726_021730,1.0,153.86,1
229376,v28_snap_20260726_024418,1.0,161.57,2
229376,v28_snap_20260726_033659,1.0,153.86,1
229376,v28_snap_20260726_040326,1.0,153.86,1
229376,v28_snap_20260726_045639,1.0,169.29,1
229376,v29_snap_20260726_142419,1.0,169.29,1
229376,v29_snap_20260726_145116,0.5,161.57,2
229376,v29_snap_20260726_163913,1.0,169.29,1
229376,v30_snap_20260727_103227,1.0,153.86,2
229376,v30_snap_20260727_115518,0.0,169.29,2
229376,v30_snap_20260727_134517,1.0,153.86,1
344064,Anti-Spam Bot,0.0,161.57,4
344064,Heuristic Bot,0.1261,165.99,119
344064,Random Dummy,0.5385,161.4,13
344064,Self-Play,0.5595,166.05,168
344064,Spam Bot T1,0.8,168.98,5
344064,Spam Bot T2,1.0,167.17,4
344064,Spam Bot T3,1.0,176.24,1
344064,Spam Bot T6,0.0,169.29,1
344064,Spam Bot T7,1.0,169.29,1
344064,Spam Bot T8,0.3333,173.92,3
344064,castle_defense_p1_v16,1.0,169.29,2
344064,castle_defense_p1_v21,0.5,176.24,2
344064,castle_defense_p1_v25_bc,0.5,169.29,2
344064,castle_defense_p1_v27,1.0,169.29,1
344064,castle_defense_p1_v27_last,1.0,165.05,2
344064,v28_snap_20260726_005800,0.0,169.29,1
344064,v28_snap_20260726_015042,1.0,153.86,1
344064,v28_snap_20260726_021730,1.0,153.86,1
344064,v28_snap_20260726_024418,1.0,161.57,2
344064,v28_snap_20260726_033659,1.0,153.86,1
344064,v28_snap_20260726_040326,1.0,153.86,1
344064,v28_snap_20260726_045639,1.0,172.77,2
344064,v29_snap_20260726_142419,1.0,169.29,1
344064,v29_snap_20260726_145116,0.5,161.57,2
344064,v29_snap_20260726_163913,1.0,169.29,1
344064,v29_snap_20260726_173235,1.0,176.24,1
344064,v30_snap_20260727_103227,1.0,153.86,2
344064,v30_snap_20260727_112801,0.0,176.24,1
344064,v30_snap_20260727_115518,0.0,169.29,2
344064,v30_snap_20260727_134517,1.0,153.86,1
458752,Anti-Spam Bot,0.25,135.9,8
458752,Heuristic Bot,0.1197,156.96,142
458752,Random Dummy,0.5,151.8,16
458752,Self-Play,0.5689,151.91,225
458752,Spam Bot T1,0.7,139.6,10
458752,Spam Bot T2,1.0,167.17,4
458752,Spam Bot T3,1.0,143.23,2
458752,Spam Bot T5,0.0,110.22,1
458752,Spam Bot T6,0.5,139.75,2
458752,Spam Bot T7,1.0,139.75,2
458752,Spam Bot T8,0.3333,173.92,3
458752,castle_defense_p1_v16,1.0,169.29,2
458752,castle_defense_p1_v20,0.0,110.22,1
458752,castle_defense_p1_v21,0.5,176.24,2
458752,castle_defense_p1_v23,1.0,110.22,1
458752,castle_defense_p1_v25_bc,0.5,169.29,2
458752,castle_defense_p1_v27,0.5,139.75,2
458752,castle_defense_p1_v27_last,1.0,146.77,3
458752,v28_snap_20260726_005800,0.0,169.29,1
458752,v28_snap_20260726_012419,1.0,110.22,1
458752,v28_snap_20260726_015042,1.0,153.86,1
458752,v28_snap_20260726_021730,1.0,153.86,1
458752,v28_snap_20260726_024418,1.0,161.57,2
458752,v28_snap_20260726_033659,1.0,153.86,1
458752,v28_snap_20260726_040326,1.0,132.04,2
458752,v28_snap_20260726_045639,1.0,172.77,2
458752,v29_snap_20260726_142419,1.0,169.29,1
458752,v29_snap_20260726_145116,0.5,161.57,2
458752,v29_snap_20260726_163913,1.0,139.75,2
458752,v29_snap_20260726_173235,1.0,176.24,1
458752,v30_snap_20260727_103227,1.0,153.86,2
458752,v30_snap_20260727_112801,0.0,176.24,1
458752,v30_snap_20260727_115518,0.0,169.29,2
458752,v30_snap_20260727_134517,1.0,132.04,2
458752,v30_snap_20260727_141243,0.0,110.22,1
573440,Anti-Spam Bot,0.3333,134.2,12
573440,Heuristic Bot,0.1067,151.67,178
573440,Random Dummy,0.5,151.8,16
573440,Self-Play,0.5649,147.47,285
573440,Spam Bot T1,0.75,138.14,12
573440,Spam Bot T2,1.0,159.9,5
573440,Spam Bot T3,1.0,143.23,2
573440,Spam Bot T5,0.0,110.22,1
573440,Spam Bot T6,0.5,139.75,2
573440,Spam Bot T7,1.0,136.77,3
573440,Spam Bot T8,0.6,156.68,5
573440,castle_defense_p1_v16,1.0,169.29,2
573440,castle_defense_p1_v20,0.0,110.22,1
573440,castle_defense_p1_v21,0.25,153.53,4
573440,castle_defense_p1_v22,1.0,130.81,1
