Team,Tier,ID,Name,Price,Health,Damage,AttackSpeed,DPS,Speed,Width,Height,Description
black,1,evildoggo,evildoggo,3,11,3,2.933333333,8.8,11,50,50,"Like doggo, but corrupted by an evil force of black magic."
black,2,evilminnow,evilminnow,2,7,3,3.466666667,10.4,13,50,50,"Like a normal minnow, but evil"
black,3,eevil,eevil,5,17,6,2,12,15,50,50,"Like an eel, but evil. Hilarious."
black,4,evilnom,evilnom,5,14,9,1.155555556,10.4,13,50,50,NOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOMNOM
black,5,evilbirdo,evilbirdo,5,22,12,0.8666666667,10.4,13,50,50,"Like a bird, but evil"
black,6,weirdo,weirdo,17,59,50,0.2,10,1,100,100,No one knows what it is or where it comes from... This character will cost a random amount of money based on how much money you currently have (minimum of $2) All of the units stats (including damage type) are randomly generated based on how much money is spent on it.
black,7,gorillo,gorillo,17,191,87,0.2,17.4,5,75,75,The evil henchmen of the evil realm. They are strong and unmoving in their goal to serve their leader.
black,8,evilguy,evilguy,130,1454,1150,0.2,230,2,200,200,The leader and creator of all the evil characters. His evilness knows no bounds.
blue,1,fishy,fishy,3,9,3,3.2,9.6,12,50,50,It's a fish...
blue,2,lite,lite,5,6,10,1.12,11.2,14,50,50,Enjoys reading the paper and zapping things
blue,3,leggo,leggo,4,16,4,3,12,15,50,50,A fish that has evolved to optimize land-based combat.
blue,4,eel,eel,4,16,6,1.866666667,11.2,14,50,50,"He's like a snake, but in the water, but on land"
blue,5,squid,squid,6,23,14,0.6857142857,9.6,12,100,50,"Specialized in attacking submarines, unfortunately not the most relevant skillset in this situation, but she does her best."
blue,6,judge,judge,19,87,38,0.2,7.6,6,75,75,Don't let him rain on your parade :)
blue,7,octoboi,octoboi,21,218,94,0.2,18.8,4,100,100,Straight faced. No remorse. No feelings. Lethal suction cups
blue,8,lightningbear,lightningbear,172,1229,1800,0.2,360,4,200,200,"When you see a bear, you should get to the water as it is the safest place to avoid bears. When you're in the water and you hear thunder, you should get to land to be safe from the lightning... WHAT WILL YOU DO?!"
green,1,froggo,froggo,2,12,2,3.2,6.4,8,50,50,Hippity hoppity your castle is my property
green,2,minisnecko,minisnecko,1,4,1,9.6,9.6,12,50,50,s
green,3,durdle,durdle,3,26,2,0.8,1.6,2,75,50,Slow and steady wins the race :)
green,4,snecko,snecko,4,15,7,1.257142857,8.8,11,100,50,Some say that looking into his eye can cause serious confusion... I don't get it
green,5,gecko,gecko,3,15,10,0.96,9.6,12,50,50,
green,6,nom,nom,11,40,47,0.2042553191,9.6,12,50,50,nomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnomnom
green,7,geico,geico,3,48,61,0.2,12.2,15,50,75,Save 10% or more on car insurance!
green,8,trogdor,trogdor,160,1176,1750,0.2,350,5,200,200,BURNINATING THE COUNTRYSIDE! BURNINATING ALL THE PEASANTS!!! TROGDOR!!!!!
orange,1,phil,phil,4,10,4,2.4,9.6,12,50,50,"I know what you're thinking, and yes, it's short for Philip."
